predictor,predictor_label,outcome,outcome_label,r,p_value,n
rucc,Rurality (RUCC),copd,COPD,0.227,5.655277723034559e-37,3057
rucc,Rurality (RUCC),stroke,Stroke,0.194,2.2281016780376484e-27,3057
rucc,Rurality (RUCC),cad,Coronary artery disease,0.28,3.5471444928823865e-56,3057
rucc,Rurality (RUCC),depression,Depression,-0.017,0.33975347253560734,3057
rucc,Rurality (RUCC),hypertension,Hypertension,0.098,6.037865696376478e-08,3057
rucc,Rurality (RUCC),arteriosclerosis,Arteriosclerosis,-0.039,0.032145904547288016,3057
rucc,Rurality (RUCC),poverty,Poverty %,0.258,6.020226371744109e-49,3130
rucc,Rurality (RUCC),uninsured,Uninsured %,0.178,9.904339716718124e-24,3130
rucc,Rurality (RUCC),food_insecurity,Food insecurity %,0.165,1.3211023417549417e-20,3131
rucc,Rurality (RUCC),unemploy,Unemployment %,-0.019,0.2932058649524212,3130
rucc,Rurality (RUCC),lt_hs,< High school %,0.167,6.355526402898972e-21,3130
svi,Social Vulnerability Index,diabetes,Diabetes,0.711,0.0,3053
svi,Social Vulnerability Index,obesity,Obesity,0.364,1.7117501505957015e-96,3053
svi,Social Vulnerability Index,asthma,Asthma,0.43,1.7299995462986657e-137,3053
svi,Social Vulnerability Index,copd,COPD,0.481,2.343004637234959e-176,3053
svi,Social Vulnerability Index,stroke,Stroke,0.688,0.0,3053
svi,Social Vulnerability Index,cad,Coronary artery disease,0.579,1.989226055987529e-272,3053
svi,Social Vulnerability Index,depression,Depression,0.173,6.2951546528728265e-22,3053
svi,Social Vulnerability Index,hypertension,Hypertension,0.584,2.0102036361349727e-278,3053
svi,Social Vulnerability Index,arteriosclerosis,Arteriosclerosis,0.424,8.605492912734613e-134,3053
svi,Social Vulnerability Index,poverty,Poverty %,0.703,0.0,3130
svi,Social Vulnerability Index,uninsured,Uninsured %,0.548,6.6674093412381836e-245,3130
svi,Social Vulnerability Index,food_insecurity,Food insecurity %,0.695,0.0,3130
svi,Social Vulnerability Index,unemploy,Unemployment %,0.585,2.7394449509350456e-287,3130
svi,Social Vulnerability Index,lt_hs,< High school %,0.672,0.0,3130
water_pc,Water-monitoring features /10k,diabetes,Diabetes,-0.055,0.0022596940262571085,3045
water_pc,Water-monitoring features /10k,obesity,Obesity,-0.126,3.5009300987532718e-12,3045
water_pc,Water-monitoring features /10k,asthma,Asthma,0.003,0.8738844808115197,3045
water_pc,Water-monitoring features /10k,copd,COPD,-0.032,0.07543868388355701,3045
water_pc,Water-monitoring features /10k,stroke,Stroke,0.009,0.6380377063110199,3045
water_pc,Water-monitoring features /10k,cad,Coronary artery disease,0.023,0.2090103506531046,3045
water_pc,Water-monitoring features /10k,depression,Depression,-0.046,0.01166627878584341,3045
water_pc,Water-monitoring features /10k,hypertension,Hypertension,-0.12,2.892526040097034e-11,3045
water_pc,Water-monitoring features /10k,arteriosclerosis,Arteriosclerosis,-0.195,1.3092657042702704e-27,3045
water_pc,Water-monitoring features /10k,poverty,Poverty %,0.017,0.35259906595882046,3122
water_pc,Water-monitoring features /10k,uninsured,Uninsured %,0.131,1.8447105377553524e-13,3122
water_pc,Water-monitoring features /10k,food_insecurity,Food insecurity %,0.01,0.5903823799864807,3122
water_pc,Water-monitoring features /10k,unemploy,Unemployment %,0.007,0.6995540633888225,3122
water_pc,Water-monitoring features /10k,lt_hs,< High school %,-0.06,0.0008212625268403939,3122
