fips,n_fac
29131,455
29133,191
29135,213
29137,269
29139,301
29141,553
29143,310
29145,840
29147,289
29149,139
29151,264
29153,127
29155,268
29157,255
29159,670
29161,657
29163,330
29165,1150
29167,357
29169,673
29171,129
29173,199
29175,494
29177,415
29179,142
29181,143
29183,3808
29185,149
29186,312
29187,689
29189,8877
29195,438
29197,65
29199,115
29201,559
29203,122
29205,149
29207,397
29209,933
29211,217
29213,1327
29215,356
29217,366
29219,554
29221,311
29223,212
29225,359
29227,62
29229,312
29510,3736
30001,298
30003,361
30005,193
30007,137
30009,250
30011,51
30013,1317
30015,174
30017,348
30019,45
30021,393
30023,175
30025,239
30027,409
30029,1624
30031,1810
30033,31
30035,539
30037,38
30039,165
30041,354
30043,312
30045,95
30047,700
30049,1534
30051,66
30053,441
30055,81
30057,355
30059,62
30061,117
30063,1700
30065,125
30067,441
30069,16
30071,110
30073,173
30075,118
30077,163
30079,41
30081,517
30083,857
30085,397
30087,307
30089,289
30091,191
30093,706
30095,172
30097,101
30099,145
30101,239
30103,21
30105,258
30107,260
30109,46
30111,2414
31001,699
31003,508
31005,19
31007,132
31009,60
31011,431
31013,266
31015,129
31017,149
31019,874
31021,394
31023,414
31025,608
31027,616
31029,235
31031,199
31033,557
31035,425
31037,392
31039,871
31041,473
31043,396
31045,190
31047,846
31049,107
31051,274
31053,848
31055,4848
31057,207
31059,437
31061,187
31063,96
31065,351
31067,947
31069,119
31071,84
31073,127
31075,30
31077,172
31079,1193
31081,493
31083,212
31085,35
31087,194
31089,538
31091,22
31093,323
31095,379
31097,252
31099,311
31101,289
31103,33
31105,237
31107,584
31109,3376
31111,889
31113,23
31115,71
31117,21
31119,873
31121,408
31123,271
31125,118
31127,284
31129,272
31131,522
31133,217
31135,185
31137,365
31139,432
31141,954
31143,350
31145,342
31147,373
31149,67
31151,406
31153,1325
31155,667
31157,1409
31159,661
31161,171
31163,185
31165,70
31167,334
31169,294
31171,71
31173,252
31175,323
31177,469
31179,433
31181,136
31183,108
31185,581
32001,304
32003,6749
32005,488
32007,695
32009,62
32011,116
32013,298
32015,173
32017,112
32019,637
32021,186
32023,500
32027,221
32029,140
32031,3083
32033,184
32510,607
33001,1444
33003,1327
33005,1527
33007,964
33009,2298
33011,6279
33013,2956
33015,6031
33017,1817
33019,930
34001,14164
34003,33524
34005,15725
34007,14783
34009,8979
34011,5996
34013,28453
34015,10780
34017,20005
34019,8965
34021,12189
34023,27104
34025,30350
34027,27003
34029,31520
34031,17838
34033,3532
34035,13969
34037,11162
34039,21122
34041,5533
35001,5263
35003,120
35005,890
35006,457
35007,335
35009,608
35011,41
35013,1788
35015,4467
35017,401
35019,170
35021,45
35023,165
35025,3559
35027,359
35028,241
35029,324
35031,1232
35033,84
35035,598
35037,275
35039,672
35041,390
35043,1025
35045,2881
35047,391
35049,1654
35051,244
35053,339
35055,450
35057,272
35059,133
35061,532
36001,3772
36003,1625
36005,6483
36007,2466
36009,2313
36011,2160
36013,3123
36015,1160
36017,1166
36019,2335
36021,2075
36023,1180
36025,4786
36027,3899
36029,8955
36031,2203
36033,1600
36035,1278
36037,974
36039,2160
36041,978
36043,1931
36045,4898
36047,14937
36049,860
36051,1357
36053,2410
36055,6772
36057,803
36059,12350
36061,14257
36063,2978
36065,3381
36067,6215
36069,2265
36071,4757
36073,1174
36075,2711
36077,2995
36079,1608
36081,15998
36083,2315
36085,5049
36087,2484
36089,3104
36091,3587
36093,1527
36095,1196
