fips,n_fac
48501,378
48503,303
48505,307
48507,202
49001,197
49003,698
49005,1294
49007,504
49009,51
49011,1932
49013,1862
49015,274
49017,165
49019,363
49021,602
49023,200
49025,133
49027,292
49029,181
49031,17
49033,79
49035,10511
49037,451
49039,263
49041,409
49043,886
49045,709
49047,6160
49049,4568
49051,513
49053,2001
49055,112
49057,2514
50001,432
50003,493
50005,410
50007,1502
50009,81
50011,505
50013,92
50015,310
50017,313
50019,319
50021,779
50023,761
50025,693
50027,750
51001,222
51003,539
51005,153
51007,79
51009,131
51011,79
51013,743
51015,444
51017,68
51019,368
51021,52
51023,248
51025,91
51027,310
51029,89
51031,286
51033,169
51035,139
51036,78
51037,86
51041,1230
51043,74
51045,24
51047,314
51049,37
51051,178
51053,131
51057,69
51059,2476
51061,486
51063,64
51065,183
51067,210
51069,487
51071,103
51073,171
51075,283
51077,77
51079,84
51081,143
51083,275
51085,716
51087,1121
51089,311
51091,27
51093,183
51095,224
51097,42
51099,119
51101,105
51103,92
51105,125
51107,1420
51109,232
51111,66
51113,68
51115,47
51117,265
51119,72
51121,373
51125,108
51127,138
51131,113
51133,76
51135,122
51137,190
51139,154
51141,95
51143,252
51145,117
51147,154
51149,168
51153,1244
51155,239
51157,36
51159,76
51161,381
51163,189
51165,656
51167,205
51169,119
51171,310
51173,272
51175,113
51177,545
51179,494
51181,59
51183,113
51185,358
51187,226
51191,332
51193,80
51195,381
51197,249
51199,248
51510,534
51520,176
51530,38
51540,232
51550,1040
51570,65
51580,57
51590,311
51600,137
51610,60
51620,53
51630,183
51640,83
51650,465
51660,312
51670,140
51678,26
51680,566
51683,231
51685,70
51690,149
51700,631
51710,1184
51720,83
51730,220
51735,30
51740,491
51750,95
51760,1364
51770,633
51775,242
51790,179
51800,528
51810,1161
51820,184
51830,113
51840,237
53001,481
53003,200
53005,1635
53007,1283
53009,1096
53011,3552
53013,129
53015,1442
53017,626
53019,172
53021,1010
53023,84
53025,1639
53027,1302
53029,743
53031,492
53033,18044
53035,2549
53037,940
53039,494
53041,1428
53043,400
53045,746
53047,865
53049,449
53051,256
53053,8073
53055,504
53057,2100
53059,233
53061,6155
53063,5242
53065,758
53067,2463
53069,98
53071,919
53073,3407
53075,796
53077,2816
54001,258
54003,1017
54005,518
54007,307
54009,360
54011,949
54013,104
54015,162
54017,338
54019,800
54021,163
54023,218
54025,559
54027,352
54029,313
54031,266
54033,1479
54035,448
54037,612
54039,2688
54041,471
54043,346
54045,619
54047,480
54049,1057
54051,667
54053,319
54055,579
54057,342
54059,496
54061,1764
54063,134
54065,173
54067,461
54069,580
54071,155
54073,180
54075,225
54077,589
54079,787
54081,997
54083,571
54085,253
54087,283
54089,182
54091,318
54093,270
54095,197
54097,576
54099,748
54101,128
54103,467
54105,104
54107,1128
54109,464
55001,289
55003,338
55005,687
55007,415
55009,1647
55011,209
55013,345
55015,303
55017,848
55019,363
55021,521
55023,196
55025,2353
55027,669
55029,725
55031,856
55033,439
55035,654
55037,83
55039,817
55041,158
55043,408
55045,228
55047,239
55049,209
55051,163
55053,275
55055,756
55057,342
55059,1010
55061,252
55063,783
55065,153
55067,283
55069,310
55071,775
55073,1251
55075,547
55077,252
55078,70
55079,5248
55081,389
55083,420
55085,719
55087,1123
55089,901
55091,85
55093,397
55095,682
55097,594
55099,274
55101,1238
55103,191
55105,1019
55107,286
55109,915
55111,569
55113,445
55115,386
55117,978
55119,215
55121,355
55123,261
55125,702
55127,964
55129,375
55131,1038
55133,3378
55135,570
55137,811
55139,1209
55141,704
56001,875
56003,521
56005,2816
56007,1552
56009,1860
56011,271
56013,3473
56015,400
56017,234
56019,672
56021,2642
56023,1218
56025,2405
56027,281
56029,1184
56031,459
56033,866
56035,1445
56037,1826
56039,687
56041,880
56043,448
56045,315
