fips,label,stateName,consensus,burden_index,service_capacity,mismatch_index,n_prov,primary care physicians,mental health providers
13193,Macon County,Georgia,4.0,0.8970604131893046,-2.067825216176801,4.274314762554939,0.0,12712.0,6002.0
01131,Wilcox County,Alabama,4.0,1.666013389651884,-1.5085580523684052,4.1278386751335585,0.0,5103.0,10446.0
28119,Quitman County,Mississippi,4.0,1.2017230881334593,-1.3797929946041063,3.4527809910149285,0.0,6760.0,2968.0
01023,Choctaw County,Alabama,4.0,1.0768112053579262,-1.4459285139794515,3.436122158854742,1.0,2484.0,12533.0
28021,Claiborne County,Mississippi,4.0,1.1462584592067655,-1.1414378658885393,3.007167920570244,2.0,2228.0,2969.0
48405,San Augustine County,Texas,4.0,0.8962650562161963,-1.1734161208836411,2.80951770153395,1.0,4124.0,7922.0
40127,Pushmataha County,Oklahoma,5.0,0.9571388829840403,-1.080627339205364,2.718511437626957,0.0,5485.0,96.0
28093,Marshall County,Mississippi,4.0,0.6848886903213791,-1.1892992918530652,2.6241394940738916,2.0,8825.0,3066.0
28005,Amite County,Mississippi,4.0,0.6949213056279172,-1.1632946367359016,2.5916067334187436,0.0,6103.0,6319.0
21171,Monroe County,Kentucky,4.0,0.5869569882136159,-1.21581033603693,2.5696020441774667,1.0,2110.0,1605.0
05077,Lee County,Arkansas,4.0,0.9124395741798064,-0.9866442459096483,2.5199771449650052,1.0,8513.0,2873.0
22085,Sabine Parish,Louisiana,5.0,0.7322060002654971,-1.0626466708012396,2.4641471355253963,0.0,7934.0,791.0
22081,Red River Parish,Louisiana,5.0,0.8803656613483319,-0.9329195162741372,2.3999646186402055,0.0,4143.0,946.0
40029,Coal County,Oklahoma,4.0,0.7316416866238793,-1.0119161946324082,2.380545312595049,0.0,5587.0,1759.0
22013,Bienville Parish,Louisiana,5.0,0.884332041197783,-0.8999327996470656,2.3499371274443845,0.0,6492.0,312.0
01129,Washington County,Alabama,4.0,0.8867833274538152,-0.8358677426286982,2.247524372023747,0.0,7988.0,3029.0
22021,Caldwell Parish,Louisiana,4.0,0.6836883526129061,-0.9318550470960963,2.2015449476023843,1.0,3280.0,684.0
28125,Sharkey County,Mississippi,4.0,1.2329543425294174,-0.5804626673558109,2.175638965949666,1.0,4160.0,3663.0
40023,Choctaw County,Oklahoma,4.0,0.8022891555806301,-0.8120543235293202,2.1240515198976864,1.0,2092.0,118.0
28051,Holmes County,Mississippi,4.0,1.7166481747209588,-0.19967813005290158,2.036050662013308,1.0,1858.0,2749.0
22029,Concordia Parish,Louisiana,4.0,0.9000908726140087,-0.6940734586239095,2.028737817850996,1.0,3783.0,198.0
45061,Lee County,South Carolina,4.0,0.6473004804334573,-0.8344252668602299,2.005680427610486,1.0,8351.0,857.0
01005,Barbour County,Alabama,5.0,1.0769613251052355,-0.5532834791015748,1.9751580535250453,1.0,3074.0,4161.0
22117,Washington Parish,Louisiana,4.0,0.8773381146045299,-0.6610713250168427,1.9519659537163436,2.0,5086.0,627.0
28063,Jefferson County,Mississippi,4.0,1.459812792103193,-0.3009338145032081,1.9449543079451068,1.0,3499.0,2402.0
29155,Pemiscot County,Missouri,4.0,0.9374608623795044,-0.5994941258318289,1.9112968770210987,2.0,3120.0,544.0
28133,Sunflower County,Mississippi,4.0,1.1033986165925338,-0.4628381118955618,1.853551041337817,2.0,2749.0,2822.0
48455,Trinity County,Texas,4.0,0.5902937758738984,-0.7708789628202327,1.8446587953292815,0.0,7442.0,2765.0
22027,Claiborne Parish,Louisiana,4.0,0.9798561389057383,-0.5300326828244655,1.8399951088017472,0.0,2585.0,936.0
48387,Red River County,Texas,4.0,0.5446338542471344,-0.7882849550407154,1.8274896419712352,0.0,5998.0,2889.0
21153,Magoffin County,Kentucky,4.0,1.0711120465332167,-0.46599216855851555,1.8264271472324092,2.0,3004.0,575.0
28153,Wayne County,Mississippi,5.0,1.0309679309795068,-0.484272355470396,1.8162047139716715,0.0,2902.0,1792.0
45069,Marlboro County,South Carolina,4.0,0.7367392593878597,-0.63067032286526,1.7616056200119214,1.0,6395.0,352.0
21065,Estill County,Kentucky,4.0,0.7136067024090513,-0.6237878810812411,1.7272076291809322,1.0,4703.0,1084.0
28163,Yazoo County,Mississippi,4.0,1.1524211382963963,-0.34591039474616386,1.7111819749440218,0.0,5396.0,599.0
28011,Bolivar County,Mississippi,4.0,0.972838785321283,-0.43999595700894023,1.685602330800777,0.0,1773.0,1263.0
48419,Shelby County,Texas,4.0,0.5898182749884205,-0.6530487404242604,1.6513144525638999,0.0,4983.0,1496.0
01053,Escambia County,Alabama,4.0,0.7974966830647618,-0.523745266087372,1.6473441779907552,0.0,3023.0,1265.0
12107,Putnam County,Florida,5.0,0.8470206306077444,-0.4930881230387272,1.6466873862046674,0.0,2580.0,1399.0
28151,Washington County,Mississippi,4.0,1.340264749794662,-0.18177853018324344,1.6303685136629549,2.0,2142.0,598.0
