fips,n_prov
20111,1
20113,1
20115,1
20117,1
20121,2
20123,1
20127,1
20133,1
20139,1
20145,2
20161,1
20169,3
20173,11
20175,2
20177,4
20191,1
20197,1
20207,1
20209,2
21001,1
21003,2
21005,1
21009,2
21011,1
21013,2
21015,1
21017,2
21019,3
21021,4
21025,1
21027,1
21029,2
21031,1
21033,2
21035,1
21037,3
21041,1
21043,1
21045,1
21047,4
21049,2
21051,1
21053,2
21059,7
21061,1
21063,1
21065,1
21067,6
21069,1
21071,2
21073,2
21077,1
21081,1
21083,4
21085,1
21087,1
21089,1
21091,1
21093,5
21095,2
21097,1
21099,1
21101,2
21107,1
21109,1
21111,15
21113,2
21115,1
21117,2
21121,1
21123,1
21125,2
21127,2
21129,1
21131,1
21133,2
21135,1
21137,1
21139,1
21141,1
21145,4
21147,1
21151,2
21153,2
21161,1
21163,1
21165,1
21169,1
21171,1
21173,1
21175,1
21177,1
21179,1
21183,1
21185,1
21187,1
21191,1
21193,5
21195,1
21197,1
21199,3
21203,1
21205,2
21207,2
21209,1
21211,1
21213,1
21215,1
21217,1
21221,1
21225,1
21227,5
21229,1
21231,2
21233,1
21235,3
21237,1
22001,1
22003,2
22005,1
22009,4
22011,1
22017,5
22019,4
22021,1
22029,1
22031,1
22033,8
22039,2
22045,1
22051,2
22053,2
22055,3
22057,3
22059,2
22061,3
22065,1
22067,2
22069,3
22071,10
22073,7
22079,4
22083,1
22087,1
22093,1
22097,1
22101,1
22103,5
22105,2
22109,3
22111,1
22113,1
22115,2
22117,2
22119,2
23001,15
23003,3
23005,17
23009,1
23011,15
23013,4
23019,13
23027,2
23029,2
23031,5
24001,3
24003,14
24005,21
24011,4
24013,4
24015,3
24017,3
24019,5
24021,5
24025,5
24027,5
24029,1
24031,18
24033,12
24035,4
24037,2
24039,2
24041,3
24043,5
24045,7
24047,3
24510,48
25001,1
25003,8
25005,9
25007,1
25009,19
25013,24
25015,5
25017,19
25021,3
25023,6
25025,8
25027,17
26003,1
26007,2
26011,2
26015,2
26017,3
26019,1
26021,1
26023,1
26025,7
26027,1
26031,1
26033,2
26035,2
26039,2
26041,3
26043,1
26045,1
26047,2
26049,6
26051,1
26053,2
26055,4
26057,1
26059,1
26061,4
26063,4
26065,4
26067,3
26069,3
26071,1
26073,2
26075,3
26077,4
26081,19
26085,1
26087,4
26091,2
26093,4
26095,2
26099,15
26101,1
26103,5
26105,1
26107,1
26109,1
26111,2
26115,4
26117,1
26121,3
26123,2
26125,29
26127,1
26129,1
26131,1
26133,1
26135,1
26137,2
26139,11
26143,1
26145,5
26147,6
26153,1
26155,1
26157,3
26161,6
26163,48
26165,2
27001,2
27003,5
27005,3
27007,1
27013,9
27015,2
27017,1
27019,3
27021,1
27025,1
27027,4
27033,1
27035,7
27037,9
27039,2
27041,5
27047,2
27049,2
27053,29
27055,1
27059,2
27061,4
27063,1
27067,1
27071,1
27075,1
27083,2
27085,2
27095,1
27097,1
27099,1
27103,1
27105,2
27109,3
27111,4
27113,1
27115,1
27117,1
27119,3
27121,1
27123,10
27131,1
27133,1
27137,22
27139,4
27141,1
27145,6
27147,5
27151,1
27153,1
27157,1
27159,3
27161,2
27163,7
27165,1
27169,3
28003,2
28007,1
28009,2
28013,1
28017,1
28021,2
28023,1
28025,1
28027,1
28029,1
28031,1
28033,2
28035,6
28037,1
28047,6
28049,16
28051,1
28059,1
28061,1
28063,1
28069,1
28071,2
28073,1
28075,4
28079,1
28083,2
28085,1
28087,4
28089,3
28091,1
28093,2
28099,2
28101,2
28103,1
28107,2
28111,1
28113,9
28115,2
28117,1
28121,4
28123,1
28125,1
28127,1
28129,1
28133,2
28135,1
28137,2
28141,1
28147,1
28149,2
28151,2
28159,1
28161,1
29001,1
29007,1
29009,1
29013,1
29015,1
29017,1
29019,7
29023,1
29027,3
29029,2
29031,1
29033,1
29035,1
29037,4
29039,2
29043,1
29047,1
29049,2
29051,5
29053,1
29055,1
29065,1
29069,1
29071,2
29073,1
29077,7
29079,2
29081,1
29083,2
29091,1
29095,24
29097,6
