fips,n_case
51137,23
51139,13
51141,16
51143,72
51145,12
51147,63
51149,153
51153,372
51155,65
51157,11
51159,66
51161,218
51163,13
51165,48
51167,21
51169,49
51171,19
51173,37
51175,63
51177,30
51179,102
51181,2
51183,141
51185,37
51187,19
51191,124
51193,6
51195,373
51197,34
51199,31
51510,327
51520,37
51530,1
51540,82
51550,154
51570,9
51580,3
51590,54
51595,7
51600,18
51610,16
51620,4
51630,35
51640,7
51650,137
51660,21
51670,18
51678,8
51680,102
51683,23
51685,1
51690,33
51700,358
51710,541
51720,2
51730,185
51735,2
51740,246
51750,6
51760,795
51770,145
51775,34
51790,18
51800,65
51810,399
51820,11
51830,50
51840,36
53001,32
53003,2
53005,229
53007,80
53009,182
53011,290
53013,3
53015,120
53017,17
53019,11
53021,110
53023,1
53025,111
53027,130
53029,94
53031,26
53033,3006
53035,305
53037,51
53039,32
53041,84
53043,7
53045,74
53047,55
53049,16
53051,11
53053,1602
53055,8
53057,116
53059,10
53061,530
53063,872
53065,29
53067,249
53069,5
53071,112
53073,171
53075,12
53077,467
54001,16
54003,194
54005,39
54007,22
54009,27
54011,302
54013,3
54015,9
54017,24
54019,95
54021,158
54023,46
54025,66
54027,15
54029,45
54031,7
54033,129
54035,30
54037,70
54039,655
54041,27
54043,25
54045,53
54047,113
54049,71
54051,66
54053,55
54055,99
54057,17
54059,45
54061,146
54063,25
54065,8
54067,20
54069,132
54071,6
54073,31
54075,10
54077,261
54079,74
54081,230
54083,70
54085,10
54087,13
54089,15
54091,17
54093,2
54095,8
54097,27
54099,52
54101,7
54103,23
54105,6
54107,86
54109,23
55001,26
55003,16
55005,25
55007,10
55009,310
55011,7
55013,10
55015,12
55017,65
55019,16
55021,159
55023,6
55025,722
55027,303
55029,14
55031,33
55033,14
55035,60
55037,3
55039,142
55041,7
55043,154
55045,9
55047,8
55049,6
55051,9
55053,35
55055,36
55057,77
55059,141
55061,3
55063,47
55065,5
55067,13
55069,15
55071,24
55073,75
55075,24
55077,76
55078,25
55079,1387
55081,25
55083,23
55085,16
55087,87
55089,38
55091,1
55093,8
55095,12
55097,29
55099,14
55101,183
55103,6
55105,53
55107,16
55109,18
55111,30
55113,24
55115,27
55117,77
55119,8
55121,9
55123,12
55125,7
55127,46
55129,15
55131,58
55133,206
55135,14
55137,51
55139,207
55141,26
56001,31
56003,5
56005,30
56007,42
56009,5
56011,5
56013,24
56015,9
56017,1
56019,8
56021,63
56023,10
56025,34
56027,2
56029,48
56031,5
56033,6
56035,2
56037,21
56039,60
56041,7
56043,5
56045,4
