fips,n_case
17155,6
17157,1217
17159,17
17161,504
17163,564
17165,32
17167,276
17169,324
17171,6
17173,64
17175,6
17177,281
17179,368
17181,20
17183,361
17185,6
17187,237
17189,28
17191,44
17193,15
17195,232
17197,6188
17199,206
17201,3705
17203,15
18001,210
18003,620
18005,101
18007,7
18009,6
18011,61
18013,15
18015,7
18017,22
18019,146
18021,27
18023,36
18025,6
18027,13
18029,24
18031,25
18033,55
18035,101
18037,14
18039,175
18041,19
18043,91
18045,12
18047,15
18049,17
18051,31
18053,57
18055,25
18057,283
18059,48
18061,25
18063,309
18065,292
18067,66
18069,22
18071,38
18073,30
18075,15
18077,33
18079,20
18081,145
18083,45
18085,54
18087,26
18089,919
18091,732
18093,30
18095,478
18097,2657
18099,35
18101,8
18103,259
18105,2629
18107,26
18109,54
18111,6
18113,45
18115,2
18117,16
18119,7
18121,21
18123,50
18125,4
18127,158
18129,17
18131,12
18133,192
18135,10
18137,17
18139,12
18141,430
18143,16
18145,46
18147,15
18149,35
18151,57
18153,328
18155,4
18157,134
18159,4
18161,5
18163,337
18165,11
18167,488
18169,26
18171,1
18173,27
18175,15
18177,62
18179,10
18181,18
18183,22
19001,8
19003,5
19005,9
19007,8
19009,2
19011,16
19013,223
19015,10
19017,11
19019,16
19021,22
19023,13
19025,8
19027,21
19029,9
19031,17
19033,66
19035,14
19037,8
19039,8
19041,14
19043,10
19045,27
19047,11
19049,28
19051,7
19053,5
19055,29
19057,33
19059,11
19061,135
19063,10
19065,20
19067,11
19069,19
19071,9
19073,7
19075,4
19077,6
19079,23
19081,11
19083,19
19085,13
19087,3
19089,3
19091,6
19093,3
19095,7
19097,14
19099,19
19101,12
19103,61
19105,38
19107,1
19109,12
19111,11
19113,409
19115,3
19117,3
19119,5
19121,5
19123,9
19125,21
19127,25
19129,12
19133,10
19135,3
19137,9
19139,21
19141,10
19143,8
19145,7
19147,6
19149,8
19151,6
19153,1154
19155,112
19157,6
19159,1
19161,11
19163,210
19165,14
19167,22
19169,33
19171,20
19173,2
19175,14
19177,3
19179,17
19181,18
19183,7
19185,4
19187,75
19189,9
19191,6
19193,224
19195,10
19197,22
20001,248
20003,4
20005,14
20007,1
20009,15
20011,8
20013,4
20015,122
20017,11
20019,2
20021,10
20025,6
20027,8
20029,4
20031,10
20033,1
20035,34
20037,20
20039,2
20041,12
20043,4
20045,92
20047,2
20049,4
20051,24
20053,24
20055,31
20057,34
20059,23
20061,42
20063,2
20065,1
20067,3
20069,3
20073,3
20075,4
20077,6
20079,18
20081,3
20083,2
20085,17
20087,14
20091,474
20093,2
20095,5
20097,1
20099,14
20103,239
20105,5
20107,3
20109,3
20111,17
20113,12
20115,5
20117,4
20119,1
20121,26
20123,6
20125,28
20127,1
20131,1
20133,5
20135,1
20137,10
20139,9
20141,1
20143,2
20145,21
20149,7
20151,5
20153,3
20155,82
20157,3
20159,8
20161,24
20163,2
20165,3
20167,13
20169,45
20171,3
20173,613
20175,26
20177,321
20179,1
20181,8
20183,5
20185,2
20189,3
20191,7
20193,8
20195,4
20197,14
20201,3
20205,8
20207,3
20209,489
21001,58
21003,31
21005,30
21007,10
21009,52
21011,10
21013,36
21015,163
21017,28
21019,106
21021,46
21023,13
21025,17
21027,15
21029,62
21031,6
21033,12
21035,31
21037,78
21039,3
21041,16
21043,34
21045,10
21047,86
21049,46
21051,97
21053,13
21055,4
21057,6
21059,148
21061,16
21063,11
21065,15
21067,520
21069,18
21071,122
21073,54
21075,27
21077,6
21079,21
21081,30
21083,33
21085,29
21087,9
21089,39
21091,4
21093,164
21095,53
21097,19
21099,19
21101,69
21103,16
21105,4
21107,46
21109,9
21111,1393
21113,63
21115,37
21117,183
21119,29
21121,35
21123,10
21125,108
21127,25
21129,13
21131,15
21133,42
21135,21
21137,31
21139,11
21141,26
21143,54
21145,109
21147,175
21149,5
21151,92
21153,31
21155,17
21157,20
21159,124
21161,29
21163,18
21165,11
21167,37
21169,9
21171,9
21173,36
21175,20
21177,22
21179,39
21181,3
21183,18
21185,111
21187,5
21189,12
21191,11
21193,49
21195,133
21197,31
21199,64
21201,1
21203,15
21205,31
21207,22
21209,58
21211,46
21213,19
21215,7
21217,21
21219,9
21221,4
21223,9
21225,13
21227,160
21229,6
21231,17
21233,9
21235,50
21237,13
21239,30
