fips,var,val,year
17145,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.6031(0.4596,0.5328,0.4367,0.8507)",2020
32029,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1165(0.2279,0.33,0.5261,0.0156)",2020
18067,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.3775(0.3084,0.682,0.4682,0.2801)",2020
05025,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.2616(0.2307,0.6423,0.4701,0.1556)",2020
23009,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.2043(0.2537,0.1353,0.1181,0.4255)",2020
13241,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.6222(0.8616,0.5882,0.3794,0.2616)",2020
42087,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.4752(0.5656,0.508,0.0589,0.5267)",2020
19117,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.2871(0.1922,0.7556,0.0223,0.3845)",2020
31007,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.0232(0.0035,0.9208,0.289,0.0003)",2020
05067,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.6862(0.8835,0.4612,0.6034,0.3568)",2020
20199,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1913(0.043,0.9526,0.3304,0.1066)",2020
35053,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.937(0.6967,0.9157,0.9497,0.985)",2020
46117,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.015(0.0006,0.0369,0.4125,0.1419)",2020
04027,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.9936(0.9739,0.964,0.9621,0.965)",2020
46099,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.4013(0.1677,0.5484,0.5242,0.7072)",2020
47117,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.4933(0.6499,0.683,0.4736,0.1595)",2020
47011,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.7292(0.6996,0.7393,0.451,0.6948)",2020
47037,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.6916(0.6725,0.3087,0.8313,0.7693)",2020
30091,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1158(0.1502,0.1165,0.3189,0.2069)",2020
22079,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.9023(0.7839,0.8504,0.7826,0.9433)",2020
