k,nKeywords,nProjects,nDaacs
vissr-gms,14,7,3
vissr-meteosat,19,9,4
vtpr,2,0,1
wfc,17,3,2
wind profilers,3,1,1
windsat,14,7,3
wv110,10,2,2
wv60,9,1,2
x-sar,27,8,5
xps,2,1,1
