rank,instr,k,category,tier,riskClass,criticality,footprint_score,footprint_frac_score,rank_gap,corroboration,DB,IR,nPlat,nDs,fracDs,allPubs,nKeywords,nProjects,nDaacs,firstStartYear,lastStartYear,R1_cmMentionPapers,R1b_platMentionPapers,R2_cmModelPapers,R2_cmDistinctModels,R3_doiPapers,R4_modelTitlePubs,R5_nModelVars,R5_nSoleVars,R5_soleVars,soleKeyword,nSources
26,HSB,hsb,science instrument,B,A: broadly relied on,37.2715,84.7419,70.1551,-8.0,3,0.514,0.0,1,717,59.75,6624.0,49,31,14,1978,2023,0.0,73.0,0.0,0.0,7.0,127.0,0,0.0,,,2
27,ERBE,erbe,science instrument,A,A: broadly relied on,37.0314,60.1268,50.7232,25.0,5,0.4006,0.0,3,129,22.6,644.0,32,15,7,1970,2016,8.0,5.0,4.0,3.0,1.0,19.0,0,0.0,,,2
28,MERIS,meris,science instrument,A,A: broadly relied on,36.5644,51.2103,34.7665,46.0,5,0.3921,0.0,1,69,9.8571,657.0,39,8,6,1982,2021,6.0,36.0,1.0,1.0,1.0,8.0,0,0.0,,,2
29,TMI,tmi,science instrument,A,A: broadly relied on,36.3268,53.3126,37.5446,29.0,5,0.3878,0.0,1,80,11.4286,200.0,29,11,5,1982,2014,3.0,17.0,3.0,4.0,1.0,12.0,0,0.0,,,2
30,TOMS,toms,science instrument,A,A: broadly relied on,35.9846,63.5608,59.4874,5.0,4,0.4361,0.0,5,164,35.1508,1888.0,31,17,7,1966,2022,10.0,0.0,1.0,3.0,6.0,80.0,0,0.0,,,2
31,AATSR,aatsr,science instrument,A,A: broadly relied on,35.3671,51.2103,34.7665,43.0,5,0.3703,0.0,1,69,9.8571,657.0,39,8,6,1982,2021,3.0,36.0,1.0,1.0,1.0,8.0,0,0.0,,,2
32,MSU,msu,science instrument,A,A: broadly relied on,34.3612,61.3985,69.2599,7.0,5,0.352,0.0,9,141,57.1607,679.0,35,15,8,1970,2021,4.0,4.0,2.0,2.0,1.0,23.0,0,0.0,,,2
33,SBUV,sbuv,science instrument,A,A: broadly relied on,33.7501,52.2041,31.4123,33.0,4,0.3955,0.0,1,74,8.2222,1536.0,24,6,5,1966,2005,5.0,0.0,1.0,1.0,5.0,69.0,0,0.0,,,2
34,HIRDLS,hirdls,science instrument,A,A: broadly relied on,33.3839,74.185,73.009,-11.0,4,0.3888,0.0,1,344,68.8,924.0,31,7,2,1978,2021,3.0,25.0,0.0,0.0,2.0,23.0,0,0.0,,,2
35,GOME-2,gome-2,science instrument,B,—,33.3261,51.8148,35.2417,36.0,3,0.2074,0.4307,2,72,10.1111,134.0,23,12,6,1982,2025,8.0,0.0,1.0,5.0,0.0,10.0,0,1.0,total_solar_irradiance,,2
