rank,instr,k,category,tier,riskClass,criticality,footprint_score,footprint_frac_score,rank_gap,corroboration,DB,IR,nPlat,nDs,fracDs,allPubs,nKeywords,nProjects,nDaacs,firstStartYear,lastStartYear,R1_cmMentionPapers,R1b_platMentionPapers,R2_cmModelPapers,R2_cmDistinctModels,R3_doiPapers,R4_modelTitlePubs,R5_nModelVars,R5_nSoleVars,R5_soleVars,soleKeyword,nSources
113,GPSP,gpsp,science instrument,B,—,12.4648,62.3788,57.061,-76.0,2,0.1175,0.0,3,151,31.125,153.0,29,9,4,1950,2022,0.0,4.0,0.0,0.0,0.0,3.0,0,0.0,,,2
114,HALOE,haloe,science instrument,B,—,12.3853,31.6483,19.8339,58.0,2,0.1161,0.0,1,17,4.25,44.0,8,4,2,1979,2004,6.0,0.0,0.0,0.0,0.0,2.0,0,0.0,,,2
115,WV110,wv110,science instrument,B,—,12.2976,30.825,33.0764,61.0,2,0.1145,0.0,3,16,9.0,183.0,10,2,2,2002,2016,0.0,5.0,0.0,0.0,0.0,2.0,0,0.0,,,2
116,VISSR-GMS,vissr-gms,science instrument,B,—,12.2342,30.825,35.0352,60.0,2,0.1133,0.0,3,16,10.0,49.0,14,7,3,1983,2013,0.0,1.0,0.0,0.0,0.0,9.0,0,0.0,,,2
117,POSEIDON-3,poseidon-3,science instrument,B,—,12.1231,39.0061,35.497,15.0,2,0.1113,0.0,2,29,10.25,92.0,10,8,3,1950,2021,0.0,2.0,0.0,0.0,0.0,5.0,0,0.0,,,2
118,AHI,ahi,science instrument,B,—,11.9274,36.3799,51.9075,34.0,2,0.1078,0.0,2,24,24.0,56.0,6,6,4,1983,2022,1.0,0.0,0.0,0.0,0.0,8.0,0,0.0,,,2
119,TROPOMI,tropomi,science instrument,B,—,11.298,38.5178,54.9578,15.0,2,0.0963,0.0,1,28,28.0,70.0,11,4,1,1978,2019,4.0,0.0,1.0,1.0,0.0,0.0,0,0.0,,,2
120,HRS,hrs,science instrument,B,—,11.1114,19.9678,10.4982,90.0,2,0.0929,0.0,1,7,2.3333,191.0,8,1,2,1950,2003,0.0,0.0,0.0,0.0,1.0,2.0,0,0.0,,,2
121,ERBE WFOV Nonscanner,erbe wfov nonscanner,science instrument,B,—,10.8321,51.8148,38.3097,-50.0,2,0.0879,0.0,2,72,11.9,189.0,23,13,5,1978,1992,0.0,1.0,0.0,0.0,0.0,4.0,0,0.0,,,2
122,CATS,cats,science instrument,B,—,10.721,60.3467,38.3242,-79.0,2,0.0858,0.0,1,131,11.9091,350.0,37,10,6,1979,2022,0.0,2.0,0.0,0.0,0.0,2.0,0,0.0,,,2
123,SAGE III,sage iii,science instrument,B,—,10.721,61.1942,48.2352,-81.0,2,0.0858,0.0,2,139,19.9091,362.0,37,12,6,1979,2022,0.0,2.0,0.0,0.0,0.0,2.0,0,0.0,,,2
124,HICO,hico,science instrument,B,—,10.721,60.3467,38.3242,-79.0,2,0.0858,0.0,1,131,11.9091,350.0,37,10,6,1979,2022,0.0,2.0,0.0,0.0,0.0,2.0,0,0.0,,,2
125,TEMPEST,tempest,science instrument,B,—,10.721,60.3467,38.3242,-79.0,2,0.0858,0.0,1,131,11.9091,350.0,37,10,6,1979,2022,0.0,2.0,0.0,0.0,0.0,2.0,0,0.0,,,2
126,COWVR,cowvr,science instrument,B,—,10.721,60.3467,38.3242,-79.0,2,0.0858,0.0,1,131,11.9091,350.0,37,10,6,1979,2022,0.0,2.0,0.0,0.0,0.0,2.0,0,0.0,,,2
127,RapidScat,rapidscat,science instrument,B,—,10.721,60.3467,38.3242,-79.0,2,0.0858,0.0,1,131,11.9091,350.0,37,10,6,1979,2022,0.0,2.0,0.0,0.0,0.0,2.0,0,0.0,,,2
128,OCO-3,oco-3,science instrument,B,—,10.721,60.3467,38.3242,-79.0,2,0.0858,0.0,1,131,11.9091,350.0,37,10,6,1979,2022,0.0,2.0,0.0,0.0,0.0,2.0,0,0.0,,,2
129,EMIT Imaging Spectrometer,emit imaging spectrometer,science instrument,B,—,10.721,60.3467,38.3242,-79.0,2,0.0858,0.0,1,131,11.9091,350.0,37,10,6,1979,2022,0.0,2.0,0.0,0.0,0.0,2.0,0,0.0,,,2
130,GFO Altimeter,gfo altimeter,science instrument,B,—,10.3807,9.9839,14.2452,97.0,2,0.0796,0.0,1,3,3.0,32.0,2,1,1,1993,2021,0.0,1.0,0.0,0.0,0.0,3.0,0,0.0,,,2
131,IGOR,igor,science instrument,B,—,10.3721,29.0221,39.4962,55.0,2,0.0795,0.0,4,14,12.6667,590.0,4,1,2,1995,2014,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,,,2
132,SIR-C,sir-c,science instrument,B,—,10.2912,21.6643,18.8312,77.0,2,0.078,0.0,1,8,4.0,305.0,7,2,2,1994,2000,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,,,2
133,CLAES,claes,science instrument,B,—,9.7052,31.6483,19.8339,39.0,2,0.0674,0.0,1,17,4.25,44.0,8,4,2,1979,2004,1.0,0.0,0.0,0.0,0.0,2.0,0,0.0,,,2
134,GOES I-M Imager,goes i-m imager,science instrument,C,—,7.8504,43.8525,55.938,-29.0,1,0.0882,0.0,9,41,29.4167,119.0,28,18,4,1966,2014,0.0,0.0,0.0,0.0,0.0,10.0,0,0.0,,,1
135,KU-BAND RADAR,ku-band radar,science instrument,C,—,7.8504,36.3799,12.457,18.0,1,0.0882,0.0,1,24,2.6667,744.0,27,9,5,1985,2021,0.0,0.0,0.0,0.0,0.0,10.0,0,0.0,,,1
136,ERS-1 ALTIMETER,ers-1 altimeter,science instrument,C,—,7.8504,36.9449,8.896,17.0,1,0.0882,0.0,1,25,2.0833,738.0,26,8,4,1985,2021,0.0,0.0,0.0,0.0,0.0,10.0,0,0.0,,,1
137,RA,ra,science instrument,C,—,7.8504,39.9357,21.7035,-7.0,1,0.0882,0.0,2,31,4.75,746.0,31,10,5,1985,2021,0.0,0.0,0.0,0.0,0.0,10.0,0,0.0,,,1
138,ATSR-2,atsr-2,science instrument,C,—,7.8504,39.9357,21.7035,-7.0,1,0.0882,0.0,2,31,4.75,746.0,31,10,5,1985,2021,0.0,0.0,0.0,0.0,0.0,10.0,0,0.0,,,1
139,VISSR,vissr,science instrument,C,—,7.8504,49.6927,72.142,-52.0,1,0.0882,0.0,20,62,65.9167,120.0,31,20,6,1966,2015,0.0,0.0,0.0,0.0,0.0,10.0,0,0.0,,,1
140,AMI,ami,science instrument,C,—,7.8504,39.9357,21.7035,-7.0,1,0.0882,0.0,2,31,4.75,746.0,31,10,5,1985,2021,0.0,0.0,0.0,0.0,0.0,10.0,0,0.0,,,1
141,ERS-2 Altimeter,ers-2 altimeter,science instrument,C,—,7.8504,36.3799,12.457,18.0,1,0.0882,0.0,1,24,2.6667,744.0,27,9,5,1985,2021,0.0,0.0,0.0,0.0,0.0,10.0,0,0.0,,,1
142,MTSAT 2 Imager,mtsat 2 imager,science instrument,C,—,7.6576,28.0284,20.7899,50.0,1,0.0847,0.0,2,13,4.5,53.0,7,4,3,1983,2015,0.0,0.0,0.0,0.0,0.0,9.0,0,0.0,,,1
143,KBR,kbr,science instrument,C,—,7.4445,42.0268,18.8312,-31.0,1,0.0808,0.0,1,36,4.0,156.0,21,7,2,1900,2021,0.0,0.0,0.0,0.0,0.0,8.0,0,0.0,,,1
144,SSU,ssu,science instrument,C,—,7.4445,23.1819,9.9779,65.0,1,0.0808,0.0,1,9,2.25,86.0,6,3,5,1978,2015,0.0,0.0,0.0,0.0,0.0,8.0,0,0.0,,,1
145,GRACE ACC,grace acc,science instrument,C,—,7.4445,45.7759,30.1355,-45.0,1,0.0808,0.0,2,47,7.6667,169.0,21,7,2,1900,2021,0.0,0.0,0.0,0.0,0.0,8.0,0,0.0,,,1
146,GRACE INTERFEROMETER,grace interferometer,science instrument,C,—,7.4445,42.0268,18.8312,-31.0,1,0.0808,0.0,1,36,4.0,156.0,21,7,2,1900,2021,0.0,0.0,0.0,0.0,0.0,8.0,0,0.0,,,1
147,ACC,acc,science instrument,C,—,7.4445,45.7759,30.1355,-45.0,1,0.0808,0.0,2,47,7.6667,169.0,21,7,2,1900,2021,0.0,0.0,0.0,0.0,0.0,8.0,0,0.0,,,1
148,GRACE-FO KBR,grace-fo kbr,science instrument,C,—,7.4445,42.0268,18.8312,-31.0,1,0.0808,0.0,1,36,4.0,156.0,21,7,2,1900,2021,0.0,0.0,0.0,0.0,0.0,8.0,0,0.0,,,1
149,MTSAT 1R Imager,mtsat 1r imager,science instrument,C,—,7.4445,15.8241,11.501,78.0,1,0.0808,0.0,1,5,2.5,51.0,4,2,2,1983,2015,0.0,0.0,0.0,0.0,0.0,8.0,0,0.0,,,1
150,GRACE-FO ACC,grace-fo acc,science instrument,C,—,7.4445,45.7759,30.1355,-45.0,1,0.0808,0.0,2,47,7.6667,169.0,21,7,2,1900,2021,0.0,0.0,0.0,0.0,0.0,8.0,0,0.0,,,1
151,GLM,glm,science instrument,C,—,6.6606,45.1629,49.2804,-49.0,1,0.0666,0.0,4,45,21.0,57.0,17,13,5,1982,2023,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,,,2
152,GOES-17 Imager,goes-17 imager,science instrument,C,—,6.6606,35.1789,24.2231,9.0,1,0.0666,0.0,1,22,5.5,16.0,12,10,5,2000,2021,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,,,2
153,SENTINEL-1 C-SAR,sentinel-1 c-sar,science instrument,C,—,6.6606,33.8686,48.3243,16.0,1,0.0666,0.0,2,20,20.0,193.0,16,1,3,1972,2024,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,,,2
154,Jason-class Altimeter,jason-class altimeter,science instrument,C,—,6.6606,43.1498,22.1455,-42.0,1,0.0666,0.0,1,39,4.875,31.0,18,1,1,1950,2022,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,,,2
155,KaRIn,karin,science instrument,C,—,6.6606,43.1498,22.1455,-42.0,1,0.0666,0.0,1,39,4.875,31.0,18,1,1,1950,2022,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,,,2
156,POAM III,poam iii,science instrument,C,—,5.9658,24.5548,8.3329,46.0,1,0.0539,0.0,1,10,2.0,4.0,15,4,3,1990,2012,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,2
157,TDX-1,tdx-1,science instrument,C,—,5.8891,24.5548,15.8902,45.0,1,0.0525,0.0,1,10,3.3333,504.0,2,0,1,1996,2014,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,,,2
158,AMR-2,amr-2,science instrument,C,—,5.8042,34.5387,16.6658,7.0,1,0.051,0.0,1,21,3.5,72.0,10,5,3,1992,2021,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,,,1
159,SEAWINDS,seawinds,science instrument,C,—,5.8042,35.792,37.6623,0.0,1,0.051,0.0,1,23,11.5,62.0,23,5,4,1993,2021,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,,,1
160,OCO SPECTROMETERS,oco spectrometers,science instrument,C,—,5.4988,42.0268,46.2675,-48.0,1,0.0454,0.0,1,36,18.0,159.0,6,3,1,2014,2019,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,,,2
161,AMSR,amsr,science instrument,C,—,5.3504,9.9839,4.5859,66.0,1,0.0427,0.0,1,3,1.5,31.0,8,1,2,1978,2003,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,2
162,WV60,wv60,science instrument,C,—,5.2222,18.0445,14.2452,53.0,1,0.0404,0.0,1,6,3.0,181.0,9,1,2,2002,2012,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,,,1
163,ESMR,esmr,science instrument,C,—,5.2222,38.0123,21.9992,-21.0,1,0.0404,0.0,2,27,4.8333,49.0,12,3,2,1970,1978,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,,,1
164,QUICKBIRD/BHRC-60,quickbird/bhrc-60,science instrument,C,—,5.2222,15.8241,22.5781,59.0,1,0.0404,0.0,1,5,5.0,165.0,6,1,2,2001,2002,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,,,1
165,SCR,scr,science instrument,C,—,5.2222,43.5054,24.0467,-55.0,1,0.0404,0.0,2,40,5.4444,48.0,14,2,2,1969,1978,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,,,1
166,SCMR,scmr,science instrument,C,—,5.2222,29.0221,10.4982,24.0,1,0.0404,0.0,1,14,2.3333,48.0,11,1,2,1970,1978,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,,,1
167,NEMS,nems,science instrument,C,—,5.2222,29.0221,10.4982,24.0,1,0.0404,0.0,1,14,2.3333,48.0,11,1,2,1970,1978,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,,,1
168,ACRIM II,acrim ii,science instrument,C,—,5.2222,31.6483,19.8339,10.0,1,0.0404,0.0,1,17,4.25,44.0,8,4,2,1979,2004,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,,,1
169,ITPR,itpr,science instrument,C,—,5.2222,29.0221,10.4982,24.0,1,0.0404,0.0,1,14,2.3333,48.0,11,1,2,1970,1978,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,,,1
170,ALTIKA Altimeter,altika altimeter,science instrument,C,—,4.5765,15.8241,11.501,51.0,1,0.0287,0.0,1,5,2.5,7.0,7,2,2,1992,2020,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,2
171,ACRIM,acrim,science instrument,C,—,4.5765,5.8402,8.3329,63.0,1,0.0287,0.0,1,2,2.0,0.0,4,1,1,2000,2000,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,2
172,Poseidon-4 Radar Altimeter,poseidon-4 radar altimeter,science instrument,C,—,4.5765,46.3639,24.0467,-77.0,1,0.0287,0.0,1,49,5.4444,24.0,12,4,3,1992,2020,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,2
173,EPIC,epic,science instrument,C,—,4.5765,37.4885,32.3797,-27.0,1,0.0287,0.0,1,26,8.6667,17.0,19,1,1,2015,2020,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,2
174,NISTAR,nistar,science instrument,C,—,4.5765,37.4885,32.3797,-27.0,1,0.0287,0.0,1,26,8.6667,17.0,19,1,1,2015,2020,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,2
175,REIS,reis,science instrument,C,—,4.5765,9.9839,14.2452,57.0,1,0.0287,0.0,1,3,3.0,4.0,4,1,1,2009,2012,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,2
176,AMR-C,amr-c,science instrument,C,—,4.5765,46.3639,24.0467,-77.0,1,0.0287,0.0,1,49,5.4444,24.0,12,4,3,1992,2020,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,2
177,SLSTR,slstr,science instrument,C,—,4.4829,41.2264,47.8291,-58.0,1,0.027,0.0,2,34,19.5,3.0,20,1,2,1982,2018,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,2
178,OLCI,olci,science instrument,C,—,4.4829,41.2264,47.8291,-58.0,1,0.027,0.0,2,34,19.5,3.0,20,1,2,1982,2018,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,2
179,ATMOS,atmos,science instrument,C,—,4.4829,19.9678,54.9578,33.0,1,0.027,0.0,5,7,28.0,0.0,5,1,1,1985,1985,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,2
180,MWRI,mwri,science instrument,C,—,4.4829,0.0,0.0,62.0,1,0.027,0.0,1,1,1.0,8.0,2,0,1,1979,1979,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,2
181,NSCAT,nscat,science instrument,C,—,4.4829,37.4885,39.9914,-34.0,1,0.027,0.0,1,26,13.0,1.0,6,2,3,1996,1996,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,2
182,JAMI,jami,science instrument,C,—,4.4021,29.9517,23.6893,0.0,1,0.0255,0.0,2,15,5.3333,5.0,16,5,4,1983,2015,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,,,1
183,SMOS L-BAND RADIOMETER,smos l-band radiometer,science instrument,C,—,4.4021,18.0445,14.2452,33.0,1,0.0255,0.0,1,6,3.0,20.0,8,1,2,2011,2015,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,,,1
184,MIR,mir,science instrument,C,—,4.4021,29.0221,34.4669,4.0,1,0.0255,0.0,3,14,9.7,4.0,14,3,1,1983,2000,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,,,1
185,GOES-9 Imager,goes-9 imager,science instrument,C,—,4.4021,28.0284,15.4912,10.0,1,0.0255,0.0,1,13,3.25,4.0,16,7,2,1983,2003,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,,,1
186,GOES-8 Imager,goes-8 imager,science instrument,C,—,4.4021,32.427,20.7899,-11.0,1,0.0255,0.0,1,18,4.5,4.0,24,10,3,1983,2013,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,,,1
187,GOES-14 Imager,goes-14 imager,science instrument,C,—,4.4021,19.9678,10.4982,28.0,1,0.0255,0.0,1,7,2.3333,2.0,4,3,3,2000,2014,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,,,1
188,MSIR,msir,science instrument,C,—,4.4021,29.0221,23.252,4.0,1,0.0255,0.0,2,14,5.2,4.0,14,3,1,1983,2000,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,,,1
189,GOES-13 Imager,goes-13 imager,science instrument,C,—,4.4021,33.1658,26.7022,-12.0,1,0.0255,0.0,1,19,6.3333,5.0,7,11,4,1982,2021,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,,,1
190,GOES-12 Imager,goes-12 imager,science instrument,C,—,4.4021,28.0284,20.1575,10.0,1,0.0255,0.0,1,13,4.3333,9.0,17,6,3,1983,2005,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,,,1
191,CloudSat-CPR,cloudsat-cpr,science instrument,C,—,4.4021,18.0445,25.7462,33.0,1,0.0255,0.0,1,6,6.0,20.0,9,2,2,2006,2006,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,,,1
192,GOES-11 Imager,goes-11 imager,science instrument,C,—,4.4021,39.4784,42.9487,-51.0,1,0.0255,0.0,2,30,15.1667,11.0,17,10,4,1983,2023,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,,,1
193,GOES-10 Imager,goes-10 imager,science instrument,C,—,4.4021,28.0284,20.1575,10.0,1,0.0255,0.0,1,13,4.3333,9.0,20,6,3,1983,2013,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,,,1
194,AQUARIUS_RADIOMETER,aquarius_radiometer,science instrument,C,—,4.4021,64.3258,77.6537,-150.0,1,0.0255,0.0,3,173,86.5,64.0,14,2,2,2011,2011,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,,,1
195,AQUARIUS_SCATTEROMETER,aquarius_scatterometer,science instrument,C,—,4.4021,64.3258,77.6537,-150.0,1,0.0255,0.0,3,173,86.5,64.0,14,2,2,2011,2011,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,,,1
196,Thermal Radiation Experiment,thermal radiation experiment,science instrument,C,—,0.0,5.8402,8.3329,37.0,0,0.0,0.0,1,2,2.0,0.0,2,1,1,1959,1959,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
197,AVCS Nimbus-2,avcs nimbus-2,science instrument,C,—,0.0,26.961,14.2452,2.0,0,0.0,0.0,1,12,3.0,3.0,5,1,2,1964,1969,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
198,TMWS,tmws,science instrument,C,"C: footprint, no uptake",0.0,41.6322,45.7194,-79.0,0,0.0,0.0,4,35,17.5,1.0,4,1,1,2021,2023,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
199,TMS,tms,science instrument,C,"C: footprint, no uptake",0.0,43.8525,51.4924,-91.0,0,0.0,0.0,5,41,23.5,1.0,4,1,1,2021,2023,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
200,TEMPO,tempo,science instrument,C,"C: footprint, no uptake",0.0,40.8089,58.2268,-74.0,0,0.0,0.0,1,33,33.0,3.0,9,2,1,2023,2025,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
201,TIRS-PREFIRE,tirs-prefire,science instrument,C,"C: footprint, no uptake",0.0,41.2264,58.8226,-77.0,0,0.0,0.0,2,34,34.0,0.0,16,1,1,2024,2024,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
202,VEGETATION-1,vegetation-1,science instrument,C,—,0.0,24.5548,8.3329,6.0,0,0.0,0.0,1,10,2.0,4.0,15,4,3,1990,2012,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
203,VHRR,vhrr,science instrument,C,—,0.0,13.198,18.8312,29.0,0,0.0,0.0,1,4,4.0,2.0,13,1,1,1983,1983,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
204,AVCS Nimbus-1,avcs nimbus-1,science instrument,C,—,0.0,24.5548,15.8902,6.0,0,0.0,0.0,1,10,3.3333,3.0,5,1,2,1964,1969,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
205,VTPR,vtpr,science instrument,C,—,0.0,0.0,0.0,43.0,0,0.0,0.0,1,1,1.0,8.0,2,0,1,1958,1958,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
206,HARP2,harp2,science instrument,C,"C: footprint, no uptake",0.0,51.0031,50.7812,-117.0,0,0.0,0.0,1,68,22.6667,1.0,0,0,1,2024,2024,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
207,GEOS-3 ALTIMETER,geos-3 altimeter,science instrument,C,—,0.0,5.8402,0.0,37.0,0,0.0,0.0,1,2,1.0,0.0,5,2,2,1975,1975,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
208,AWIFS,awifs,science instrument,C,—,0.0,9.9839,14.2452,31.0,0,0.0,0.0,1,3,3.0,0.0,4,2,1,2007,2008,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
209,SPEXone,spexone,science instrument,C,"C: footprint, no uptake",0.0,51.0031,50.7812,-117.0,0,0.0,0.0,1,68,22.6667,1.0,0,0,1,2024,2024,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
210,Medium-Resolution Scanning Radiometer,medium-resolution scanning radiometer,science instrument,C,—,0.0,19.9678,20.7899,14.0,0,0.0,0.0,4,7,4.5,0.0,5,1,1,1960,1963,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
211,MAPS,maps,science instrument,C,—,0.0,18.0445,14.2452,19.0,0,0.0,0.0,3,6,3.0,0.0,3,1,1,1984,1994,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
212,LRIR,lrir,science instrument,C,—,0.0,29.9517,11.501,-14.0,0,0.0,0.0,1,15,2.5,1.0,7,3,2,1970,1975,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
213,Low-Resolution Omnidirectional Radiometer,low-resolution omnidirectional radiometer,science instrument,C,—,0.0,15.8241,11.501,25.0,0,0.0,0.0,2,5,2.5,0.0,5,1,1,1961,1962,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
214,6.7um Radiometer,6.7um radiometer,science instrument,C,—,0.0,38.5178,14.8083,-62.0,0,0.0,0.0,1,28,3.1111,0.0,7,2,2,1969,1970,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
215,IRIS,iris,science instrument,C,—,0.0,38.5178,14.8083,-62.0,0,0.0,0.0,1,28,3.1111,0.0,7,2,2,1969,1970,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
216,IDCS Nimbus-4,idcs nimbus-4,science instrument,C,—,0.0,38.5178,14.8083,-62.0,0,0.0,0.0,1,28,3.1111,0.0,7,2,2,1969,1970,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
217,IDCS Nimbus-3,idcs nimbus-3,science instrument,C,—,0.0,28.0284,12.0799,-4.0,0,0.0,0.0,1,13,2.6,5.0,5,1,2,1964,1969,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
218,HYPERION,hyperion,science instrument,C,—,0.0,9.9839,14.2452,31.0,0,0.0,0.0,1,3,3.0,8.0,7,1,2,2002,2008,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
219,GRACE-FO LRI,grace-fo lri,science instrument,C,—,0.0,35.1789,17.4133,-36.0,0,0.0,0.0,1,22,3.6667,34.0,16,4,1,1900,2018,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
220,HRVIR,hrvir,science instrument,C,—,0.0,24.5548,8.3329,6.0,0,0.0,0.0,1,10,2.0,4.0,15,4,3,1990,2012,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
221,HRV,hrv,science instrument,C,—,0.0,0.0,0.0,43.0,0,0.0,0.0,1,1,1.0,0.0,2,1,1,2008,2008,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
222,HRIR,hrir,science instrument,C,—,0.0,35.1789,32.9389,-36.0,0,0.0,0.0,3,22,8.9333,5.0,5,1,2,1964,1969,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
223,GRACE-FO MWI,grace-fo mwi,science instrument,C,—,0.0,35.1789,17.4133,-36.0,0,0.0,0.0,1,22,3.6667,34.0,16,4,1,1900,2018,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
224,GVHRR,gvhrr,science instrument,C,—,0.0,5.8402,8.3329,37.0,0,0.0,0.0,1,2,2.0,0.0,3,1,1,1974,1974,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
225,MRIR,mrir,science instrument,C,—,0.0,33.8686,24.5369,-29.0,0,0.0,0.0,2,20,5.6,5.0,5,1,2,1964,1969,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
226,OCI,oci,science instrument,C,"C: footprint, no uptake",0.0,51.0031,50.7812,-117.0,0,0.0,0.0,1,68,22.6667,1.0,0,0,1,2024,2024,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
227,OCTS,octs,science instrument,C,—,0.0,37.4885,39.9914,-53.0,0,0.0,0.0,1,26,13.0,1.0,6,2,3,1996,1996,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
228,SAGE I,sage i,science instrument,C,—,0.0,9.9839,14.2452,31.0,0,0.0,0.0,1,3,3.0,11.0,4,2,2,1979,1979,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
229,BUV,buv,science instrument,C,—,0.0,38.5178,14.8083,-62.0,0,0.0,0.0,1,28,3.1111,0.0,7,2,2,1969,1970,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
230,SIRS,sirs,science instrument,C,"C: footprint, no uptake",0.0,42.7851,24.88,-85.0,0,0.0,0.0,2,38,5.7111,5.0,9,2,2,1964,1970,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
231,Sentinel-2 MSI,sentinel-2 msi,science instrument,C,—,0.0,30.825,59.9646,-20.0,0,0.0,0.0,3,16,36.0,191.0,19,4,3,1972,2023,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
232,SCAMS,scams,science instrument,C,—,0.0,29.9517,11.501,-14.0,0,0.0,0.0,1,15,2.5,1.0,7,3,2,1970,1975,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
233,SASS,sass,science instrument,C,—,0.0,18.0445,14.2452,19.0,0,0.0,0.0,1,6,3.0,0.0,6,0,2,1978,1978,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1
