instr,firstStartYear,lastStartYear,nDsDated
RADAR ALTIMETERS,1962,2021,72
RADIO TRANSPONDERS,1971,1971,1
RADIOMETERS,1962,2021,193
RapidScat,1979,2022,131
REIS,2009,2012,3
RO,1992,2020,49
SAGE I,1979,1979,3
SAGE II,1979,1985,49
SAGE III,1979,2022,139
SAMS,1966,2005,74
SAPHIR,2011,2014,7
SAR,1972,2025,116
SASS,1978,1978,6
SBUV,1966,2005,74
SBUV/2,1970,2022,193
SCAMS,1970,1975,15
SCATTEROMETERS,1978,2021,31
SCIAMACHY,1982,2021,69
SCMR,1970,1978,14
SCR,1969,1978,40
SeaWiFS,1978,2005,58
SEAWINDS,1993,2021,23
SENTINEL-1 C-SAR,1972,2024,20
Sentinel-2 MSI,1972,2023,16
SEVIRI,1982,2023,46
SIM,2003,2018,20
SIR-C,1994,2000,8
SIRAL,1985,2018,11
SIRS,1964,1970,38
SLSTR,1982,2018,34
SMAP L-BAND RADAR,2011,2025,61
SMAP L-BAND RADIOMETER,2011,2025,61
SMMR,1966,2005,74
SMOS L-BAND RADIOMETER,2011,2015,6
SOLSTICE,2003,2003,16
SOUNDERS,1983,2003,13
SPEXone,2024,2024,68
SRTM,1994,2000,24
SRTM C-BAND RADAR,1994,2000,16
SSALT,1950,2021,26
SSM/I,1958,2021,143
SSMIS,1958,2024,170
SSU,1978,2015,9
Star Tracker,1950,2022,88
SUN PHOTOMETERS,1966,2005,123
TANSO-FTS,2009,2014,11
TDX-1,1996,2014,10
TEMPEST,1979,2022,131
TEMPO,2023,2025,32
TES,1978,2021,344
Thermal Radiation Experiment,1959,1959,2
THIR,1966,2005,125
TIM,2003,2018,22
TIRS,1972,2023,48
TIRS-PREFIRE,2024,2024,34
TM,1948,2013,61
TMI,1982,2014,80
TMR,1950,2021,26
TMS,2021,2023,41
TMWS,2021,2023,35
TOMS,1966,2022,164
TOVS,1962,2021,238
TRANSPONDERS,1975,1975,2
TROPOMI,1978,2019,28
TRSR,1950,2021,32
VAS,1966,2015,17
VEGETATION-1,1990,2012,10
VHRR,1983,1983,4
VIIRS,1978,2025,1622
VIRS,1982,2014,80
VISSR,1966,2015,62
VISSR-GMS,1983,2013,16
VISSR-METEOSAT,1982,2019,28
VTPR,1958,1958,1
WFC,1979,2020,76
WIND PROFILERS,2021,2021,1
WINDSAT,1988,2014,21
WV110,2002,2016,16
WV60,2002,2012,6
X-SAR,1985,2021,35
XPS,2003,2003,16
