name,lat,lon,fcode,nPapers
Irminger Sea,63.0541,-34.041,SEA,14
Iceland Sea,68.56044,-18.01398,SEA,8
Sulu Sea,8.0,120.0,SEA,2
Arafura Shelf,-10.0,137.0,SHFU,1
West Florida Shelf,27.0,-83.33333,SHFU,1
Scotian Shelf,44.0,-62.0,SHFU,1
Sunda Shelf,5.0,107.0,SHFU,1
East Siberian Shelf,74.4,-162.26667,SHFU,4
Porcupine Seabight,50.0,-14.0,SHVU,1
Mid-Pacific Mountains,20.0,-178.0,SMSU,3
New England Seamounts,38.0,-61.0,SMSU,1
Atacama Deep,-23.41118,-71.3414,SMU,5
Faroe Bank,60.91667,-8.66667,SMU,1
Drake Passage,-60.0,-60.0,STRT,18
Strait of Otranto,40.18333,18.95,STRT,1
Faeroe-Shetland Channel,61.0,-4.0,STRT,2
Hudson Strait,62.0,-70.0,STRT,4
Denmark Strait,67.5403,-25.68784,STRT,15
Nares Strait,81.0,-66.0,STRT,1
Okinawa Trough,25.5,125.0,TRGU,1
Nankai Trough,32.16667,135.0,TRGU,1
Rockall Trough,57.0,-12.0,TRGU,2
North Pole,89.1906,0.08034,TRIG,8
Hudson Valley,38.46667,-70.95,VALU,1
Bering Strait Valley,65.75,-168.5,VALU,23
Storfjordrenna,76.0,17.0,VALU,1
European Union,50.83857,4.37599,ZN,11
