fips5,lat,lon
12001,29.747679364377905,-82.4299425913659
12003,30.457216096353836,-82.25650767548719
12005,30.063804323352883,-85.59707056676258
12007,29.994718314830987,-82.12962161063133
12009,28.245942825362878,-80.83038906677767
12011,26.11823749256257,-80.55238011597748
12013,30.3946890531829,-85.27724460622655
12015,26.952491810959444,-82.00575596076499
12017,28.82893634608188,-82.6673803811939
12019,30.06037823345315,-81.82769081121819
12021,26.12475077294162,-81.1463161211935
12023,30.269742937978908,-82.58522833564639
12027,27.15938340081132,-81.74374798691413
12029,29.45565233248205,-83.3660880353189
12031,30.246817602720814,-81.75464975010921
12033,30.77900285928655,-87.37585586179792
12035,29.441752960549007,-81.37840920315203
12037,29.96571430542564,-84.70126741314157
12039,30.54571566514775,-84.53430424051304
12041,29.70267721799804,-82.79035312255256
12043,26.997203195715787,-81.37816793850926
12045,29.803672200101236,-85.19096920056063
12047,30.523784623728403,-82.96235429911742
12049,27.446500416457273,-81.72937125003942
12051,26.587124114337936,-81.11355434266586
12053,28.58129013344362,-82.65724067139712
12055,27.339409199368713,-81.3746008289168
12057,28.010145477152573,-82.418986425114
12059,30.858910952458704,-85.8772468924296
12061,27.671410072733128,-80.63046059303447
12063,30.851668457628932,-85.11492966299454
12065,30.19800765490457,-84.02905852163313
12067,29.985660437416126,-83.05917885028005
12069,28.62392183557449,-81.79124705895957
12071,26.746605108105303,-81.95127561002303
12073,30.45472026465805,-84.28561742869873
12075,29.1524113491336,-82.94070012870873
12077,30.38733255651748,-84.87934954093932
12079,30.43237542370881,-83.48353451957558
12081,27.52895944163995,-82.42958379039023
12083,29.363827864455626,-82.16948793283655
12085,26.973007001376526,-80.46357061141781
12086,25.58527936881842,-80.70451265047141
12087,25.13947963570052,-81.6540785876179
12089,30.492469589551472,-81.53918408848806
12091,30.76545882256282,-86.7600696602539
12093,27.017007824456872,-80.82670027712663
12095,28.499320560769615,-81.57973854557652
12097,28.257792992853933,-81.30817852077075
12099,26.69963254942522,-79.99199953131671
12101,28.278183951670666,-82.7176991548576
12103,27.865651551173226,-82.9842005084923
12105,27.675916725573828,-81.48039780891368
12107,29.64367220657317,-81.78027808142588
12109,29.84898480155067,-81.21699840343739
12111,27.44682143438291,-80.51948770224774
12113,30.984546398014903,-86.96393265524841
12115,27.32019707772083,-82.60251750242672
12117,28.773993732448,-81.4040838957511
12119,28.535455312243254,-82.1186953043933
12121,30.017704714660187,-82.79762265632753
12123,29.867772491664454,-83.38071940996305
12125,30.12707772499445,-82.23108211863344
12127,28.7402627039306,-80.7785933432176
12129,30.123200465558657,-84.60080170880354
12131,30.240197150846896,-86.32236411121448
12133,30.687086436053985,-85.65498721979255
