comid,s2
10188292,9825935246741209088
10188294,9825935246741209088
10188316,9825935246741209088
10188320,9825935246741209088
10188368,9825935246741209088
10188372,9825935865216499712
10188374,9825934525186703360
10188374,9825935865216499712
10188392,9825935246741209088
10188392,9825935281100947456
10188392,9825935315460685824
10188398,9825935246741209088
10188398,9825935281100947456
10188408,9825912328795717632
10188410,9825912328795717632
10188420,9825935865216499712
10188456,9825938064239755264
10188472,9825935281100947456
10188472,9825935315460685824
10188516,9825938029880016896
10188516,9825938201678708736
10188516,9825938236038447104
10188520,9825938029880016896
10188520,9825938064239755264
10188598,9825905250689613824
10188598,9825905353768828928
10188598,9825905388128567296
10188600,9825905353768828928
10188600,9825905388128567296
10188624,9825938029880016896
10188636,9825905078890921984
10188710,9825905078890921984
10188720,9825905078890921984
10188720,9825905491207782400
10188722,9825905388128567296
10188722,9825905491207782400
10188774,9825905491207782400
10188774,9825906247122026496
10188776,9825906247122026496
10188788,9825906934316793856
10188804,9825906178402549760
10188808,9825906075323334656
10188808,9825906178402549760
10188808,9825906796877840384
10188846,9825906247122026496
10188936,9825906556359671808
10188936,9825906590719410176
10188956,9825906899957055488
10188956,9825907003036270592
10188956,9825907140475224064
10188964,9825904494775369728
10188964,9825904529135108096
10188964,9825904872732491776
10188966,9825904494775369728
10188966,9825904529135108096
10189022,9825904529135108096
10189024,9825904529135108096
10189074,9825903876300079104
10189074,9825903910659817472
10189074,9825904529135108096
10189076,9825903841940340736
10189076,9825903876300079104
10189082,9825903635781910528
10189090,9825896351517376512
10189090,9825896385877114880
10189092,9825896385877114880
10189092,9825903635781910528
10189098,9825903635781910528
10189098,9825903841940340736
10189098,9825903876300079104
10189154,9825896385877114880
10189154,9825896454596591616
10189156,9825896454596591616
10189170,9825895183286272000
10189178,9825895183286272000
10189190,9825895183286272000
10189268,9825903120385835008
10189268,9825903463983218688
10189270,9825903120385835008
10189282,9825896866913452032
10189282,9825897416669265920
10189284,9825897416669265920
10189304,9825897416669265920
10189306,9825897416669265920
10189316,9825903120385835008
10189352,9825554369041399808
10189354,9825554369041399808
10189360,9825554369041399808
10189366,9825902467550806016
10189372,9825554369041399808
10189378,9825902467550806016
10189396,9825902295752114176
10189396,9825902467550806016
10189414,9825897382309527552
10189414,9825897416669265920
10189416,9825902776788451328
10189418,9825902776788451328
10189420,9825902776788451328
10189426,9825554162882969600
10189432,9825902776788451328
10189434,9825554162882969600
10189436,9825554369041399808
10189462,9825554094163492864
10189462,9825554128523231232
10189462,9825554162882969600
10189470,9825554094163492864
10189478,9825902295752114176
10189478,9825902330111852544
10189496,9825902708068974592
10189496,9825902742428712960
10189496,9825902776788451328
10189498,9825554231602446336
10189502,9825902192672899072
10189502,9825902261392375808
10189502,9825902295752114176
10189508,9825899959289905152
10189514,9825900199808073728
10189514,9825902776788451328
10189524,9825888345698336768
10189532,9825554094163492864
10189546,9825902192672899072
10189554,9825900440326242304
10189556,9825900440326242304
10189568,9825900440326242304
10189580,9825901780356038656
10189584,9825889479569702912
10189586,9825901161880748032
10189586,9825901780356038656
10189588,9825900440326242304
10189592,9825901127521009664
10189594,9825901127521009664
10189594,9825901161880748032
10189596,9825889479569702912
10189598,9825889479569702912
10189602,9825901093161271296
10189602,9825901127521009664
10189604,9825901093161271296
10189608,9825901093161271296
10189610,9825901058801532928
10189610,9825901093161271296
10189612,9825901780356038656
10189618,9825889445209964544
10189618,9825889479569702912
10189622,9825901161880748032
10189634,9825901093161271296
10189634,9825901127521009664
10189636,9825886833869848576
10189640,9825886833869848576
10189642,9825898653619847168
10189644,9825898997217230848
10189646,9825901093161271296
10189654,9825898653619847168
10189654,9825898687979585536
10189662,9825875082839326720
10189662,9825886833869848576
10189676,9825875082839326720
10189676,9825886799510110208
10189680,9825874945400373248
10189680,9825875048479588352
10189680,9825898687979585536
10189682,9825874533083512832
10189698,9825874533083512832
10189700,9825875014119849984
10189700,9825875048479588352
10189706,9825875014119849984
10189712,9825874533083512832
10189714,9825884222529732608
10189716,9825884222529732608
10189720,9825884222529732608
10189726,9825886318473773056
10189736,9825886318473773056
10189774,9825886318473773056
10189892,9825910061052985344
10189904,9825907793310253056
10189952,9825895183286272000
10189954,9825895080207056896
10189954,9825895183286272000
10189956,9825896454596591616
10189958,9825903120385835008
10189962,9825903463983218688
10189968,9825552891572649984
10189998,9825896866913452032
10190012,9825894839688888320
10190012,9825894908408365056
10190012,9825897691547172864
10190014,9825896866913452032
10190014,9825896969992667136
10190030,9825900440326242304
10190032,9825898653619847168
10190034,9825898687979585536
10190036,9825875048479588352
10190036,9825875082839326720
10190038,9825875014119849984
10190040,9825875014119849984
10190258,9825945314144550912
10190262,9825945314144550912
10190274,9825945314144550912
10190274,9825945348504289280
10190276,9825945314144550912
10190286,9825946619814608896
10190286,9825946722893824000
10190288,9825945863900364800
10190290,9825945245425074176
10190292,9825946722893824000
10190296,9825946722893824000
10190300,9825945863900364800
10190306,9825945863900364800
10190308,9825946619814608896
10190308,9825946722893824000
10190324,9825946722893824000
10190332,9825970087515914240
10190334,9825944901827690496
10190334,9825969503400361984
10190394,9825970328034082816
10190426,9825973523489751040
10190434,9825973832727396352
10190446,9825970328034082816
10190478,9825973523489751040
10190478,9825973832727396352
10191842,9825945245425074176
10191842,9825945314144550912
10191842,9825945348504289280
10191844,9825945245425074176
10204849,9805212819811991552
10263714,9829543946982785024
10263716,9829543946982785024
10263726,9829543946982785024
10263728,9829546352164470784
10263728,9829547726554005504
10263776,9829549891217522688
10263792,9829547004999499776
10263818,9829556488287289344
10263818,9829557141122318336
10263886,9829555629293830144
10263896,9829555629293830144
10263938,9829596586101964800
10263946,9829562844838887424
10263946,9829565731056910336
10263946,9829565765416648704
10263946,9829566040294555648
10263966,9829566040294555648
10263994,9829565112581619712
10263994,9829565146941358080
10264004,9829399120685563904
10264004,9829399155045302272
10264012,9829565146941358080
10264014,9829563909990776832
10264014,9829564700264759296
10264014,9829564768984236032
10264014,9829565421819265024
10264014,9829565593617956864
10264020,9829567311604875264
10264032,9829398089893412864
10264032,9829400666873790464
10264050,9829567311604875264
10264056,9829398536570011648
