fips,rucc,pop
13021,3,155547
13023,6,13063
13025,3,18411
13027,3,16243
13029,2,30233
13031,4,70217
13033,2,23316
13035,1,23655
13037,8,6694
13039,4,50513
13043,7,10998
13045,1,110527
13047,2,63942
13049,6,12171
13051,2,265128
13053,2,11267
13055,6,26015
13057,1,214346
13059,3,116714
13061,9,3183
13063,1,259424
13065,6,6798
13067,1,688078
13069,7,42356
13071,6,45498
13073,2,124053
13075,6,17212
13077,1,127317
13079,3,12630
13081,6,23439
13083,2,16633
13085,1,22330
13087,6,27842
13089,1,691893
13091,6,21796
13093,6,14918
13095,3,94565
13097,1,132403
13099,6,11008
13101,3,4034
13103,2,52250
13105,6,20166
13107,7,22598
13109,6,11000
13111,8,23682
13113,1,106567
13115,3,96317
13117,1,175511
13119,8,22084
13121,1,920581
13123,6,28292
13125,9,3082
13127,3,79626
13129,4,55186
13131,6,25011
13133,6,15994
13135,1,805321
13137,6,43041
13139,3,179684
13141,7,9429
13143,1,28780
13145,2,32024
13147,6,25213
13149,1,11834
13151,1,203922
13153,3,139900
13155,7,9538
13157,4,60485
13159,1,13900
13161,7,15068
13163,6,16930
13165,6,8340
13167,7,9980
13169,3,28669
13171,1,18317
13173,3,10078
13175,5,48434
13177,3,28298
13179,3,63453
13181,2,7996
13183,3,14464
13185,3,109233
13187,6,29966
13189,2,21875
13191,3,14333
13193,6,14740
13195,3,28120
13197,2,8742
13199,1,21992
13201,8,6125
13205,6,23498
13207,3,26424
13209,9,9123
13211,1,17868
13213,3,39628
13215,2,189885
13217,1,99958
13219,3,32808
13221,3,14899
13223,1,142324
13225,3,27695
13227,1,29431
13229,6,18758
13231,1,17869
13233,4,41475
13235,3,12010
13237,6,21218
13239,9,2513
13241,7,16276
13243,6,7719
13245,2,200549
13247,1,85215
13249,8,5010
13251,6,14593
13253,6,8729
13255,1,64073
13257,7,26175
13259,8,6058
13261,6,32819
13263,8,6865
13265,8,1717
13267,6,25520
13269,8,8906
13271,7,16500
13273,3,9315
13275,4,44720
13277,5,40118
13279,7,27223
13281,9,10471
13283,7,6885
13285,4,67044
13287,6,8930
13289,3,9023
13291,9,21356
13293,6,27153
13295,2,68756
13297,1,83768
13299,5,36312
13301,8,5834
13303,7,21187
13305,6,30099
13307,8,2799
13309,9,7421
13311,6,27144
13313,3,102599
13315,8,9255
13317,6,10593
13319,8,9563
13321,3,21679
15001,5,185079
15003,2,953207
15005,3,90
15007,5,67091
15009,3,154834
16001,2,392365
16003,9,3976
16005,3,82839
16007,9,5986
16009,6,9285
16011,4,45607
16013,7,21376
16015,2,7028
16017,6,40877
16019,3,104234
16021,7,10972
16023,3,2891
16025,9,1117
16027,2,188923
16029,6,6963
16031,7,22952
16033,9,982
16035,6,8761
16037,8,4368
16039,6,27038
16041,3,12786
16043,6,13242
16045,2,16719
16047,7,15464
16049,6,16267
16051,3,26140
16053,7,22374
16055,3,138494
16057,4,37244
16059,7,7936
16061,8,3821
16063,9,5208
16065,4,37536
16067,7,20069
16069,3,39265
16071,8,4286
16073,2,11526
16075,6,22623
16077,6,7817
16079,6,12765
16081,9,10170
16083,5,77230
16085,8,9862
16087,6,10198
17001,5,67103
17003,3,8238
17005,1,17768
17007,2,54165
17009,7,6937
17011,7,34978
17013,1,5089
17015,7,15387
17017,6,13642
17019,3,201081
17021,6,34800
17023,6,16335
17025,7,13815
17027,1,37762
17029,5,53873
17031,1,5194675
17033,7,19817
17035,9,11048
17037,1,105160
17039,3,16561
17041,6,19980
17043,1,916924
17045,6,18576
17047,9,6721
17049,7,34242
17051,6,22140
17053,3,14081
17055,4,39561
17057,6,37069
17059,8,5589
17061,6,13886
17063,1,50063
17065,7,8457
17067,7,19104
17069,9,4320
17071,9,7331
17073,2,50486
17075,6,29718
17077,3,60218
17079,7,9698
17081,7,38827
17083,1,22985
17085,6,22678
17087,8,12582
17089,1,515269
17091,3,113449
17093,1,114736
17095,4,52919
17097,1,703462
17099,4,113924
17101,7,16833
17103,6,36031
17105,4,38950
17107,6,30305
17109,5,32612
17111,1,308760
17113,3,169572
17115,3,110768
17117,1,47765
17119,1,269282
17121,4,39437
17123,2,12640
17125,6,14666
17127,7,15429
17129,3,12705
17131,2,16434
17133,1,32957
17135,6,30104
17137,4,35547
17139,6,14846
17141,4,53497
17143,2,186494
17145,6,22350
17147,3,16729
17149,7,16430
17151,8,4470
17153,8,6161
17155,8,6006
17157,6,33476
17159,7,16233
17161,2,147546
17163,1,270056
17165,6,24913
17167,3,197465
17169,7,7544
17171,9,5355
17173,6,22363
