feat,cell,ftype,s2
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020234612080640,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020234612080640,,5529020234612080640
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020268971819008,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020268971819008,,5529020268971819008
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020303331557376,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020303331557376,,5529020303331557376
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020337691295744,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020337691295744,,5529020337691295744
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020372051034112,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020372051034112,,5529020372051034112
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020406410772480,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020406410772480,,5529020406410772480
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020440770510848,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020440770510848,,5529020440770510848
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020475130249216,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020475130249216,,5529020475130249216
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020509489987584,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020509489987584,,5529020509489987584
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020543849725952,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020543849725952,,5529020543849725952
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020578209464320,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020578209464320,,5529020578209464320
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020612569202688,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020612569202688,,5529020612569202688
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020646928941056,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020646928941056,,5529020646928941056
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020681288679424,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020681288679424,,5529020681288679424
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020715648417792,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020715648417792,,5529020715648417792
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020750008156160,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020750008156160,,5529020750008156160
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020784367894528,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020784367894528,,5529020784367894528
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020818727632896,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529020818727632896,,5529020818727632896
