fips,lat,lng
09110,41.73090012436699,-72.56188940904562
09120,41.245965066669484,-73.23525247245122
09130,41.35275325148548,-72.49090255865336
09140,41.62168815866672,-73.04643092224194
09150,41.877653347657336,-71.87492088451614
09160,41.966627663628046,-73.10545444454523
09170,41.41055874591589,-72.77473246268165
09180,41.431284633930076,-71.93420613101324
09190,41.13712638239757,-73.51818334679261
17001,39.86599035805206,-91.31318607735804
17003,37.20448104606284,-89.33692495691571
17005,38.89709253793445,-89.33692495691571
17007,42.37329122230277,-88.86949514387227
17009,39.92106972258652,-90.77705285897295
17011,41.504291748530875,-89.26097552911997
17013,39.30286764579199,-90.6630750430843
17015,42.08312460713841,-90.08869477357521
17017,39.914344344158565,-90.32308074513752
17019,40.16052955500436,-88.37734622617894
17021,39.65441907755675,-89.13725266358978
17023,39.27121336352343,-87.7320367624887
17025,38.76644268132718,-88.40645404103664
17027,38.6880359344501,-89.39379295972746
17029,39.55823397456663,-88.06564448328393
17031,41.577874629702166,-87.6827676164469
17033,38.91779996175596,-87.80092370698576
17035,39.32025833629832,-88.1535352158652
17037,42.028186031722285,-88.87908785572904
17039,40.17216264667313,-89.0609282472935
17041,39.76560600566232,-88.08030483941255
17043,41.816536769418846,-88.09496087064568
17045,39.54244706771074,-87.71233551659203
17047,38.453872544147885,-88.05586803034296
17049,39.09932904080049,-88.69644857050599
17051,38.89424746839188,-88.8982666397879
17053,40.70644583016491,-88.20228757645127
17055,38.025141164599944,-88.78306124735457
17057,40.334308926427724,-90.13545862056094
17059,37.75756495246634,-88.29962943519668
17061,39.26311457218482,-90.46439061397166
17063,41.18632753179058,-88.47429582050569
17065,37.974210119227486,-88.46461069658017
17067,40.277783204672616,-90.99640848620807
17069,37.52331507543424,-88.29962943519668
17071,40.79843646732395,-90.8532168065167
17073,41.23496008824936,-90.27609033101722
17075,40.55160529802916,-87.94818457566058
17077,37.80146613528502,-89.33692495691571
17079,38.956296899940384,-88.04608941656808
17081,38.329254389570934,-88.76382942085066
17083,39.075876591398185,-90.38896219882032
17085,42.27073876569537,-90.10271825042358
17087,37.50944593539542,-88.78306124735457
17089,41.81673798755439,-88.4452338874107
17091,41.06540430568171,-88.09007588736299
17093,41.523812111429635,-88.42584833391854
17095,41.013521970338886,-90.37012764050094
17097,42.38714666345176,-88.0167406167132
17099,41.55198796413863,-89.00359151379195
17101,38.73903027958274,-87.6827676164469
17103,41.74419755851284,-89.33692495691571
17105,40.978068458803946,-88.85990021957315
17107,40.108592627456304,-89.51672975786408
17109,40.491097837097556,-90.52105649802232
17111,42.21088033658644,-88.51301443082983
17113,40.49427724944044,-89.17536140681804
17115,39.971543851204345,-88.87908785572904
17117,39.13867396039146,-90.08869477357521
17119,38.815315601075405,-90.08869477357521
17121,38.662846311370885,-88.75421019831913
17123,41.04375737300152,-89.50728656803881
17125,40.222008418282186,-90.00466302705432
17127,37.25357893504854,-88.77344643739261
17129,40.0581201733977,-89.83645583335291
17131,41.22228835847041,-90.88181508100502
17133,38.22674656900159,-90.19165012447822
17135,39.178413523975074,-89.32743911298235
17137,39.58459024481125,-90.1775948783516
17139,39.71046551464002,-88.65789677400439
17141,42.052860096416694,-89.61103780117969
17143,40.92266976718682,-89.64869789123546
17145,38.109912074252726,-89.4789435019777
17147,40.07997667781822,-88.58068764611384
17149,39.70787610292014,-91.15929626402007
17151,37.42078991023138,-88.53236059619923
17153,37.22430438427571,-89.15631149435929
17155,41.20299762765773,-89.28472482929348
