chemical,target,aop_role,disease,doid,mondo,in_oard,aop_structure,assay_activity,expression,disease_assoc,rare_disease,protein_annot,hazard,score
BPS,ESR1,assay/lit,prostate cancer,DOID_10283,MONDO_0008315,1,0,1,1,1,1,1,0,5
BPS,ESR1,assay/lit,uterine cancer,DOID_363,MONDO_0002715,0,0,1,1,1,1,1,0,5
BPS,ESR2,assay/lit,breast cancer,DOID_1612,MONDO_0007254,0,0,1,1,1,1,1,0,5
BPS,ESR2,assay/lit,endometriosis,DOID_289,MONDO_0005133,0,0,1,1,1,1,1,0,5
BPS,ESR2,assay/lit,major depressive disorder,DOID_1470,MONDO_0002009,0,0,1,1,1,1,1,0,5
BPS,ESR2,assay/lit,psoriasis,DOID_8893,MONDO_0005083,0,0,1,1,1,1,1,0,5
BPF,ESR1,assay/lit,arteriosclerosis,DOID_2349,MONDO_0002277,0,0,1,1,1,1,1,0,5
BPF,ESR1,assay/lit,breast cancer,DOID_1612,MONDO_0007254,0,0,1,1,1,1,1,0,5
BPF,ESR1,assay/lit,breast carcinoma,DOID_3459,MONDO_0004989,0,0,1,1,1,1,1,0,5
BPF,ESR1,assay/lit,colorectal cancer,DOID_9256,MONDO_0005575,0,0,1,1,1,1,1,0,5
BPF,ESR1,assay/lit,dermatitis,DOID_2723,MONDO_0002406,0,0,1,1,1,1,1,0,5
BPF,ESR1,assay/lit,diabetes mellitus,DOID_9351,MONDO_0005015,0,0,1,1,1,1,1,0,5
BPF,ESR1,assay/lit,endometriosis,DOID_289,MONDO_0005133,0,0,1,1,1,1,1,0,5
BPF,ESR1,assay/lit,liver cancer,DOID_3571,MONDO_0002691,0,0,1,1,1,1,1,0,5
BPF,ESR1,assay/lit,liver disease,DOID_409,MONDO_0005154,0,0,1,1,1,1,1,0,5
BPF,ESR1,assay/lit,lung cancer,DOID_1324,MONDO_0008903,0,0,1,1,1,1,1,0,5
BPF,ESR1,assay/lit,major depressive disorder,DOID_1470,MONDO_0002009,0,0,1,1,1,1,1,0,5
BPF,ESR1,assay/lit,migraine,DOID_6364,MONDO_0005277,0,0,1,1,1,1,1,0,5
BPF,ESR1,assay/lit,nervous system disease,DOID_863,MONDO_0005071,0,0,1,1,1,1,1,0,5
BPF,ESR1,assay/lit,nutrition disease,DOID_374,MONDO_0005137,0,0,1,1,1,1,1,0,5
BPF,ESR1,assay/lit,obesity,DOID_9970,MONDO_0011122,0,0,1,1,1,1,1,0,5
BPF,ESR1,assay/lit,ovarian cancer,DOID_2394,MONDO_0008170,0,0,1,1,1,1,1,0,5
BPF,ESR1,assay/lit,polycystic ovary syndrome,DOID_11612,MONDO_0008487,0,0,1,1,1,1,1,0,5
BPF,ESR1,assay/lit,prostate cancer,DOID_10283,MONDO_0008315,1,0,1,1,1,1,1,0,5
BPF,ESR1,assay/lit,uterine cancer,DOID_363,MONDO_0002715,0,0,1,1,1,1,1,0,5
BPF,ESR2,assay/lit,breast cancer,DOID_1612,MONDO_0007254,0,0,1,1,1,1,1,0,5
BPF,ESR2,assay/lit,endometriosis,DOID_289,MONDO_0005133,0,0,1,1,1,1,1,0,5
BPF,ESR2,assay/lit,major depressive disorder,DOID_1470,MONDO_0002009,0,0,1,1,1,1,1,0,5
BPF,ESR2,assay/lit,psoriasis,DOID_8893,MONDO_0005083,0,0,1,1,1,1,1,0,5
BPAF,ESR1,assay/lit,arteriosclerosis,DOID_2349,MONDO_0002277,0,0,1,1,1,1,1,0,5
BPAF,ESR1,assay/lit,breast cancer,DOID_1612,MONDO_0007254,0,0,1,1,1,1,1,0,5
BPAF,ESR1,assay/lit,breast carcinoma,DOID_3459,MONDO_0004989,0,0,1,1,1,1,1,0,5
BPAF,ESR1,assay/lit,colorectal cancer,DOID_9256,MONDO_0005575,0,0,1,1,1,1,1,0,5
BPAF,ESR1,assay/lit,dermatitis,DOID_2723,MONDO_0002406,0,0,1,1,1,1,1,0,5
BPAF,ESR1,assay/lit,diabetes mellitus,DOID_9351,MONDO_0005015,0,0,1,1,1,1,1,0,5
BPAF,ESR1,assay/lit,endometriosis,DOID_289,MONDO_0005133,0,0,1,1,1,1,1,0,5
BPAF,ESR1,assay/lit,liver cancer,DOID_3571,MONDO_0002691,0,0,1,1,1,1,1,0,5
BPAF,ESR1,assay/lit,liver disease,DOID_409,MONDO_0005154,0,0,1,1,1,1,1,0,5
BPAF,ESR1,assay/lit,lung cancer,DOID_1324,MONDO_0008903,0,0,1,1,1,1,1,0,5
BPAF,ESR1,assay/lit,major depressive disorder,DOID_1470,MONDO_0002009,0,0,1,1,1,1,1,0,5
BPAF,ESR1,assay/lit,migraine,DOID_6364,MONDO_0005277,0,0,1,1,1,1,1,0,5
BPAF,ESR1,assay/lit,nervous system disease,DOID_863,MONDO_0005071,0,0,1,1,1,1,1,0,5
BPAF,ESR1,assay/lit,nutrition disease,DOID_374,MONDO_0005137,0,0,1,1,1,1,1,0,5
BPAF,ESR1,assay/lit,obesity,DOID_9970,MONDO_0011122,0,0,1,1,1,1,1,0,5
BPAF,ESR1,assay/lit,ovarian cancer,DOID_2394,MONDO_0008170,0,0,1,1,1,1,1,0,5
BPAF,ESR1,assay/lit,polycystic ovary syndrome,DOID_11612,MONDO_0008487,0,0,1,1,1,1,1,0,5
BPAF,ESR1,assay/lit,prostate cancer,DOID_10283,MONDO_0008315,1,0,1,1,1,1,1,0,5
BPAF,ESR1,assay/lit,uterine cancer,DOID_363,MONDO_0002715,0,0,1,1,1,1,1,0,5
BPAF,ESR2,assay/lit,breast cancer,DOID_1612,MONDO_0007254,0,0,1,1,1,1,1,0,5
BPAF,ESR2,assay/lit,endometriosis,DOID_289,MONDO_0005133,0,0,1,1,1,1,1,0,5
BPAF,ESR2,assay/lit,major depressive disorder,DOID_1470,MONDO_0002009,0,0,1,1,1,1,1,0,5
BPAF,ESR2,assay/lit,psoriasis,DOID_8893,MONDO_0005083,0,0,1,1,1,1,1,0,5
BPB,ESR1,assay/lit,arteriosclerosis,DOID_2349,MONDO_0002277,0,0,1,1,1,1,1,0,5
BPB,ESR1,assay/lit,breast cancer,DOID_1612,MONDO_0007254,0,0,1,1,1,1,1,0,5
BPB,ESR1,assay/lit,breast carcinoma,DOID_3459,MONDO_0004989,0,0,1,1,1,1,1,0,5
BPB,ESR1,assay/lit,colorectal cancer,DOID_9256,MONDO_0005575,0,0,1,1,1,1,1,0,5
BPB,ESR1,assay/lit,dermatitis,DOID_2723,MONDO_0002406,0,0,1,1,1,1,1,0,5
BPB,ESR1,assay/lit,diabetes mellitus,DOID_9351,MONDO_0005015,0,0,1,1,1,1,1,0,5
BPB,ESR1,assay/lit,endometriosis,DOID_289,MONDO_0005133,0,0,1,1,1,1,1,0,5
BPB,ESR1,assay/lit,liver cancer,DOID_3571,MONDO_0002691,0,0,1,1,1,1,1,0,5
BPB,ESR1,assay/lit,liver disease,DOID_409,MONDO_0005154,0,0,1,1,1,1,1,0,5
BPB,ESR1,assay/lit,lung cancer,DOID_1324,MONDO_0008903,0,0,1,1,1,1,1,0,5
BPB,ESR1,assay/lit,major depressive disorder,DOID_1470,MONDO_0002009,0,0,1,1,1,1,1,0,5
BPB,ESR1,assay/lit,migraine,DOID_6364,MONDO_0005277,0,0,1,1,1,1,1,0,5
BPB,ESR1,assay/lit,nervous system disease,DOID_863,MONDO_0005071,0,0,1,1,1,1,1,0,5
BPB,ESR1,assay/lit,nutrition disease,DOID_374,MONDO_0005137,0,0,1,1,1,1,1,0,5
BPB,ESR1,assay/lit,obesity,DOID_9970,MONDO_0011122,0,0,1,1,1,1,1,0,5
BPB,ESR1,assay/lit,ovarian cancer,DOID_2394,MONDO_0008170,0,0,1,1,1,1,1,0,5
BPB,ESR1,assay/lit,polycystic ovary syndrome,DOID_11612,MONDO_0008487,0,0,1,1,1,1,1,0,5
BPB,ESR1,assay/lit,prostate cancer,DOID_10283,MONDO_0008315,1,0,1,1,1,1,1,0,5
BPB,ESR1,assay/lit,uterine cancer,DOID_363,MONDO_0002715,0,0,1,1,1,1,1,0,5
BPB,ESR2,assay/lit,breast cancer,DOID_1612,MONDO_0007254,0,0,1,1,1,1,1,0,5
BPB,ESR2,assay/lit,endometriosis,DOID_289,MONDO_0005133,0,0,1,1,1,1,1,0,5
BPB,ESR2,assay/lit,major depressive disorder,DOID_1470,MONDO_0002009,0,0,1,1,1,1,1,0,5
BPB,ESR2,assay/lit,psoriasis,DOID_8893,MONDO_0005083,0,0,1,1,1,1,1,0,5
BPAP,ESR1,assay/lit,arteriosclerosis,DOID_2349,MONDO_0002277,0,0,1,1,1,1,1,0,5
BPAP,ESR1,assay/lit,breast cancer,DOID_1612,MONDO_0007254,0,0,1,1,1,1,1,0,5
BPAP,ESR1,assay/lit,breast carcinoma,DOID_3459,MONDO_0004989,0,0,1,1,1,1,1,0,5
BPAP,ESR1,assay/lit,colorectal cancer,DOID_9256,MONDO_0005575,0,0,1,1,1,1,1,0,5
BPAP,ESR1,assay/lit,dermatitis,DOID_2723,MONDO_0002406,0,0,1,1,1,1,1,0,5
BPAP,ESR1,assay/lit,diabetes mellitus,DOID_9351,MONDO_0005015,0,0,1,1,1,1,1,0,5
BPAP,ESR1,assay/lit,endometriosis,DOID_289,MONDO_0005133,0,0,1,1,1,1,1,0,5
BPAP,ESR1,assay/lit,liver cancer,DOID_3571,MONDO_0002691,0,0,1,1,1,1,1,0,5
BPAP,ESR1,assay/lit,liver disease,DOID_409,MONDO_0005154,0,0,1,1,1,1,1,0,5
BPAP,ESR1,assay/lit,lung cancer,DOID_1324,MONDO_0008903,0,0,1,1,1,1,1,0,5
BPAP,ESR1,assay/lit,major depressive disorder,DOID_1470,MONDO_0002009,0,0,1,1,1,1,1,0,5
BPAP,ESR1,assay/lit,migraine,DOID_6364,MONDO_0005277,0,0,1,1,1,1,1,0,5
BPAP,ESR1,assay/lit,nervous system disease,DOID_863,MONDO_0005071,0,0,1,1,1,1,1,0,5
BPAP,ESR1,assay/lit,nutrition disease,DOID_374,MONDO_0005137,0,0,1,1,1,1,1,0,5
BPAP,ESR1,assay/lit,obesity,DOID_9970,MONDO_0011122,0,0,1,1,1,1,1,0,5
BPAP,ESR1,assay/lit,ovarian cancer,DOID_2394,MONDO_0008170,0,0,1,1,1,1,1,0,5
BPAP,ESR1,assay/lit,polycystic ovary syndrome,DOID_11612,MONDO_0008487,0,0,1,1,1,1,1,0,5
BPAP,ESR1,assay/lit,prostate cancer,DOID_10283,MONDO_0008315,1,0,1,1,1,1,1,0,5
BPAP,ESR1,assay/lit,uterine cancer,DOID_363,MONDO_0002715,0,0,1,1,1,1,1,0,5
BPAP,ESR2,assay/lit,breast cancer,DOID_1612,MONDO_0007254,0,0,1,1,1,1,1,0,5
BPAP,ESR2,assay/lit,endometriosis,DOID_289,MONDO_0005133,0,0,1,1,1,1,1,0,5
BPAP,ESR2,assay/lit,major depressive disorder,DOID_1470,MONDO_0002009,0,0,1,1,1,1,1,0,5
BPAP,ESR2,assay/lit,psoriasis,DOID_8893,MONDO_0005083,0,0,1,1,1,1,1,0,5
BPE,ESR1,assay/lit,arteriosclerosis,DOID_2349,MONDO_0002277,0,0,1,1,1,1,1,0,5
BPE,ESR1,assay/lit,breast cancer,DOID_1612,MONDO_0007254,0,0,1,1,1,1,1,0,5
BPE,ESR1,assay/lit,breast carcinoma,DOID_3459,MONDO_0004989,0,0,1,1,1,1,1,0,5
BPE,ESR1,assay/lit,colorectal cancer,DOID_9256,MONDO_0005575,0,0,1,1,1,1,1,0,5
BPE,ESR1,assay/lit,dermatitis,DOID_2723,MONDO_0002406,0,0,1,1,1,1,1,0,5
BPE,ESR1,assay/lit,diabetes mellitus,DOID_9351,MONDO_0005015,0,0,1,1,1,1,1,0,5
BPE,ESR1,assay/lit,endometriosis,DOID_289,MONDO_0005133,0,0,1,1,1,1,1,0,5
BPE,ESR1,assay/lit,liver cancer,DOID_3571,MONDO_0002691,0,0,1,1,1,1,1,0,5
BPE,ESR1,assay/lit,liver disease,DOID_409,MONDO_0005154,0,0,1,1,1,1,1,0,5
BPE,ESR1,assay/lit,lung cancer,DOID_1324,MONDO_0008903,0,0,1,1,1,1,1,0,5
BPE,ESR1,assay/lit,major depressive disorder,DOID_1470,MONDO_0002009,0,0,1,1,1,1,1,0,5
BPE,ESR1,assay/lit,migraine,DOID_6364,MONDO_0005277,0,0,1,1,1,1,1,0,5
BPE,ESR1,assay/lit,nervous system disease,DOID_863,MONDO_0005071,0,0,1,1,1,1,1,0,5
BPE,ESR1,assay/lit,nutrition disease,DOID_374,MONDO_0005137,0,0,1,1,1,1,1,0,5
BPE,ESR1,assay/lit,obesity,DOID_9970,MONDO_0011122,0,0,1,1,1,1,1,0,5
BPE,ESR1,assay/lit,ovarian cancer,DOID_2394,MONDO_0008170,0,0,1,1,1,1,1,0,5
BPE,ESR1,assay/lit,polycystic ovary syndrome,DOID_11612,MONDO_0008487,0,0,1,1,1,1,1,0,5
BPE,ESR1,assay/lit,prostate cancer,DOID_10283,MONDO_0008315,1,0,1,1,1,1,1,0,5
BPE,ESR1,assay/lit,uterine cancer,DOID_363,MONDO_0002715,0,0,1,1,1,1,1,0,5
BPE,ESR2,assay/lit,breast cancer,DOID_1612,MONDO_0007254,0,0,1,1,1,1,1,0,5
BPE,ESR2,assay/lit,endometriosis,DOID_289,MONDO_0005133,0,0,1,1,1,1,1,0,5
BPE,ESR2,assay/lit,major depressive disorder,DOID_1470,MONDO_0002009,0,0,1,1,1,1,1,0,5
BPE,ESR2,assay/lit,psoriasis,DOID_8893,MONDO_0005083,0,0,1,1,1,1,1,0,5
BPC,ESR1,assay/lit,arteriosclerosis,DOID_2349,MONDO_0002277,0,0,1,1,1,1,1,0,5
BPC,ESR1,assay/lit,breast cancer,DOID_1612,MONDO_0007254,0,0,1,1,1,1,1,0,5
BPC,ESR1,assay/lit,breast carcinoma,DOID_3459,MONDO_0004989,0,0,1,1,1,1,1,0,5
BPC,ESR1,assay/lit,colorectal cancer,DOID_9256,MONDO_0005575,0,0,1,1,1,1,1,0,5
BPC,ESR1,assay/lit,dermatitis,DOID_2723,MONDO_0002406,0,0,1,1,1,1,1,0,5
BPC,ESR1,assay/lit,diabetes mellitus,DOID_9351,MONDO_0005015,0,0,1,1,1,1,1,0,5
BPC,ESR1,assay/lit,endometriosis,DOID_289,MONDO_0005133,0,0,1,1,1,1,1,0,5
BPC,ESR1,assay/lit,liver cancer,DOID_3571,MONDO_0002691,0,0,1,1,1,1,1,0,5
BPC,ESR1,assay/lit,liver disease,DOID_409,MONDO_0005154,0,0,1,1,1,1,1,0,5
BPC,ESR1,assay/lit,lung cancer,DOID_1324,MONDO_0008903,0,0,1,1,1,1,1,0,5
BPC,ESR1,assay/lit,major depressive disorder,DOID_1470,MONDO_0002009,0,0,1,1,1,1,1,0,5
BPC,ESR1,assay/lit,migraine,DOID_6364,MONDO_0005277,0,0,1,1,1,1,1,0,5
BPC,ESR1,assay/lit,nervous system disease,DOID_863,MONDO_0005071,0,0,1,1,1,1,1,0,5
BPC,ESR1,assay/lit,nutrition disease,DOID_374,MONDO_0005137,0,0,1,1,1,1,1,0,5
BPC,ESR1,assay/lit,obesity,DOID_9970,MONDO_0011122,0,0,1,1,1,1,1,0,5
BPC,ESR1,assay/lit,ovarian cancer,DOID_2394,MONDO_0008170,0,0,1,1,1,1,1,0,5
BPC,ESR1,assay/lit,polycystic ovary syndrome,DOID_11612,MONDO_0008487,0,0,1,1,1,1,1,0,5
BPC,ESR1,assay/lit,prostate cancer,DOID_10283,MONDO_0008315,1,0,1,1,1,1,1,0,5
BPC,ESR1,assay/lit,uterine cancer,DOID_363,MONDO_0002715,0,0,1,1,1,1,1,0,5
BPC,ESR2,assay/lit,breast cancer,DOID_1612,MONDO_0007254,0,0,1,1,1,1,1,0,5
BPC,ESR2,assay/lit,endometriosis,DOID_289,MONDO_0005133,0,0,1,1,1,1,1,0,5
BPC,ESR2,assay/lit,major depressive disorder,DOID_1470,MONDO_0002009,0,0,1,1,1,1,1,0,5
BPC,ESR2,assay/lit,psoriasis,DOID_8893,MONDO_0005083,0,0,1,1,1,1,1,0,5
BPZ,ESR1,assay/lit,arteriosclerosis,DOID_2349,MONDO_0002277,0,0,1,1,1,1,1,0,5
BPZ,ESR1,assay/lit,breast cancer,DOID_1612,MONDO_0007254,0,0,1,1,1,1,1,0,5
BPZ,ESR1,assay/lit,breast carcinoma,DOID_3459,MONDO_0004989,0,0,1,1,1,1,1,0,5
BPZ,ESR1,assay/lit,colorectal cancer,DOID_9256,MONDO_0005575,0,0,1,1,1,1,1,0,5
BPZ,ESR1,assay/lit,dermatitis,DOID_2723,MONDO_0002406,0,0,1,1,1,1,1,0,5
BPZ,ESR1,assay/lit,diabetes mellitus,DOID_9351,MONDO_0005015,0,0,1,1,1,1,1,0,5
BPZ,ESR1,assay/lit,endometriosis,DOID_289,MONDO_0005133,0,0,1,1,1,1,1,0,5
BPZ,ESR1,assay/lit,liver cancer,DOID_3571,MONDO_0002691,0,0,1,1,1,1,1,0,5
BPZ,ESR1,assay/lit,liver disease,DOID_409,MONDO_0005154,0,0,1,1,1,1,1,0,5
BPZ,ESR1,assay/lit,lung cancer,DOID_1324,MONDO_0008903,0,0,1,1,1,1,1,0,5
BPZ,ESR1,assay/lit,major depressive disorder,DOID_1470,MONDO_0002009,0,0,1,1,1,1,1,0,5
BPZ,ESR1,assay/lit,migraine,DOID_6364,MONDO_0005277,0,0,1,1,1,1,1,0,5
BPZ,ESR1,assay/lit,nervous system disease,DOID_863,MONDO_0005071,0,0,1,1,1,1,1,0,5
BPZ,ESR1,assay/lit,nutrition disease,DOID_374,MONDO_0005137,0,0,1,1,1,1,1,0,5
BPZ,ESR1,assay/lit,obesity,DOID_9970,MONDO_0011122,0,0,1,1,1,1,1,0,5
BPZ,ESR1,assay/lit,ovarian cancer,DOID_2394,MONDO_0008170,0,0,1,1,1,1,1,0,5
BPZ,ESR1,assay/lit,polycystic ovary syndrome,DOID_11612,MONDO_0008487,0,0,1,1,1,1,1,0,5
BPZ,ESR1,assay/lit,prostate cancer,DOID_10283,MONDO_0008315,1,0,1,1,1,1,1,0,5
BPZ,ESR1,assay/lit,uterine cancer,DOID_363,MONDO_0002715,0,0,1,1,1,1,1,0,5
BPZ,ESR2,assay/lit,breast cancer,DOID_1612,MONDO_0007254,0,0,1,1,1,1,1,0,5
BPZ,ESR2,assay/lit,endometriosis,DOID_289,MONDO_0005133,0,0,1,1,1,1,1,0,5
BPZ,ESR2,assay/lit,major depressive disorder,DOID_1470,MONDO_0002009,0,0,1,1,1,1,1,0,5
BPZ,ESR2,assay/lit,psoriasis,DOID_8893,MONDO_0005083,0,0,1,1,1,1,1,0,5
TBBPA,TTR,MIE,cardiomyopathy,DOID_0050700,MONDO_0004994,0,1,1,1,1,1,1,0,6
TBBPA,TTR,MIE,epilepsy,DOID_1826,MONDO_0005027,0,1,1,1,1,1,1,0,6
TBBPA,TTR,MIE,liver disease,DOID_409,MONDO_0005154,0,1,1,1,1,1,1,0,6
TBBPA,TTR,MIE,myopia,DOID_11830,MONDO_0001384,0,1,1,1,1,1,1,0,6
TBBPA,TTR,MIE,nervous system disease,DOID_863,MONDO_0005071,0,1,1,1,1,1,1,0,6
TBBPA,TTR,MIE,rheumatoid arthritis,DOID_7148,MONDO_0008383,0,1,1,1,1,1,1,0,6
TBBPA,THRA,KE,asthma,DOID_2841,MONDO_0004979,0,1,1,1,1,1,1,0,6
TBBPA,THRA,KE,bipolar disorder,DOID_3312,MONDO_0004985,0,1,1,1,1,1,1,0,6
TBBPA,THRA,KE,chronic obstructive pulmonary disease,DOID_3083,MONDO_0005002,0,1,1,1,1,1,1,0,6
TBBPA,THRB,KE,diabetes mellitus,DOID_9351,MONDO_0005015,0,1,1,1,1,1,1,0,6
TBBPA,THRB,KE,major depressive disorder,DOID_1470,MONDO_0002009,0,1,1,1,1,1,1,0,6
TBBPA,THRB,KE,uterine fibroid,DOID_13223,MONDO_0007886,0,1,1,1,1,1,1,0,6
TBBPA,ESR1,assay/lit,arteriosclerosis,DOID_2349,MONDO_0002277,0,0,1,1,1,1,1,0,5
TBBPA,ESR1,assay/lit,breast cancer,DOID_1612,MONDO_0007254,0,0,1,1,1,1,1,0,5
TBBPA,ESR1,assay/lit,breast carcinoma,DOID_3459,MONDO_0004989,0,0,1,1,1,1,1,0,5
TBBPA,ESR1,assay/lit,colorectal cancer,DOID_9256,MONDO_0005575,0,0,1,1,1,1,1,0,5
TBBPA,ESR1,assay/lit,dermatitis,DOID_2723,MONDO_0002406,0,0,1,1,1,1,1,0,5
TBBPA,ESR1,assay/lit,diabetes mellitus,DOID_9351,MONDO_0005015,0,0,1,1,1,1,1,0,5
TBBPA,ESR1,assay/lit,endometriosis,DOID_289,MONDO_0005133,0,0,1,1,1,1,1,0,5
TBBPA,ESR1,assay/lit,liver cancer,DOID_3571,MONDO_0002691,0,0,1,1,1,1,1,0,5
TBBPA,ESR1,assay/lit,liver disease,DOID_409,MONDO_0005154,0,0,1,1,1,1,1,0,5
TBBPA,ESR1,assay/lit,lung cancer,DOID_1324,MONDO_0008903,0,0,1,1,1,1,1,0,5
TBBPA,ESR1,assay/lit,major depressive disorder,DOID_1470,MONDO_0002009,0,0,1,1,1,1,1,0,5
TBBPA,ESR1,assay/lit,migraine,DOID_6364,MONDO_0005277,0,0,1,1,1,1,1,0,5
TBBPA,ESR1,assay/lit,nervous system disease,DOID_863,MONDO_0005071,0,0,1,1,1,1,1,0,5
TBBPA,ESR1,assay/lit,nutrition disease,DOID_374,MONDO_0005137,0,0,1,1,1,1,1,0,5
TBBPA,ESR1,assay/lit,obesity,DOID_9970,MONDO_0011122,0,0,1,1,1,1,1,0,5
TBBPA,ESR1,assay/lit,ovarian cancer,DOID_2394,MONDO_0008170,0,0,1,1,1,1,1,0,5
TBBPA,ESR1,assay/lit,polycystic ovary syndrome,DOID_11612,MONDO_0008487,0,0,1,1,1,1,1,0,5
TBBPA,ESR1,assay/lit,prostate cancer,DOID_10283,MONDO_0008315,1,0,1,1,1,1,1,0,5
TBBPA,ESR1,assay/lit,uterine cancer,DOID_363,MONDO_0002715,0,0,1,1,1,1,1,0,5
