chemical,disease,doid,mondo,corroboration_score,n_independent_sources,aop_anchored,mediating_targets,sources,ehr_phenotypes_in_oard
BPZ,obesity,DOID_9970,MONDO_0011122,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPZ,ovarian cancer,DOID_2394,MONDO_0008170,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPZ,polycystic ovary syndrome,DOID_11612,MONDO_0008487,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPZ,prostate cancer,DOID_10283,MONDO_0008315,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,1
BPZ,uterine cancer,DOID_363,MONDO_0002715,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPZ,psoriasis,DOID_8893,MONDO_0005083,5,5,0,ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,arteriosclerosis,DOID_2349,MONDO_0002277,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,breast cancer,DOID_1612,MONDO_0007254,5,5,0,ESR1|ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,breast carcinoma,DOID_3459,MONDO_0004989,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,colorectal cancer,DOID_9256,MONDO_0005575,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,dermatitis,DOID_2723,MONDO_0002406,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,endometriosis,DOID_289,MONDO_0005133,5,5,0,ESR1|ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,liver cancer,DOID_3571,MONDO_0002691,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,lung cancer,DOID_1324,MONDO_0008903,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,migraine,DOID_6364,MONDO_0005277,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,nutrition disease,DOID_374,MONDO_0005137,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,obesity,DOID_9970,MONDO_0011122,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,ovarian cancer,DOID_2394,MONDO_0008170,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,polycystic ovary syndrome,DOID_11612,MONDO_0008487,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,prostate cancer,DOID_10283,MONDO_0008315,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,1
TBBPA,uterine cancer,DOID_363,MONDO_0002715,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TBBPA,psoriasis,DOID_8893,MONDO_0005083,5,5,0,ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TCBPA,arteriosclerosis,DOID_2349,MONDO_0002277,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TCBPA,breast cancer,DOID_1612,MONDO_0007254,5,5,0,ESR1|ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TCBPA,breast carcinoma,DOID_3459,MONDO_0004989,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TCBPA,colorectal cancer,DOID_9256,MONDO_0005575,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TCBPA,dermatitis,DOID_2723,MONDO_0002406,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TCBPA,diabetes mellitus,DOID_9351,MONDO_0005015,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TCBPA,endometriosis,DOID_289,MONDO_0005133,5,5,0,ESR1|ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TCBPA,liver cancer,DOID_3571,MONDO_0002691,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TCBPA,liver disease,DOID_409,MONDO_0005154,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TCBPA,lung cancer,DOID_1324,MONDO_0008903,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TCBPA,major depressive disorder,DOID_1470,MONDO_0002009,5,5,0,ESR1|ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TCBPA,migraine,DOID_6364,MONDO_0005277,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TCBPA,nervous system disease,DOID_863,MONDO_0005071,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TCBPA,nutrition disease,DOID_374,MONDO_0005137,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TCBPA,obesity,DOID_9970,MONDO_0011122,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TCBPA,ovarian cancer,DOID_2394,MONDO_0008170,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TCBPA,polycystic ovary syndrome,DOID_11612,MONDO_0008487,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TCBPA,prostate cancer,DOID_10283,MONDO_0008315,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,1
TCBPA,uterine cancer,DOID_363,MONDO_0002715,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
TCBPA,psoriasis,DOID_8893,MONDO_0005083,5,5,0,ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
