assay	gene	symbol	taxonomy	log2fc	adj_p_value	group_mean_1	group_mean_2	osd	entrez
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/80904	Dtx3	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.265693	0.0840956	6.12164	6.38733	OSD-25	80904
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/80913	Pum2	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.25881	0.0482123	9.13609	8.87728	OSD-25	80913
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/80981	Arl4d	http://purl.obolibrary.org/obo/NCBITaxon_10090	-1.00141	0.000324631	8.76283	9.76424	OSD-25	80981
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/81000	Rad54l2	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.602574	0.0178601	7.60621	7.00363	OSD-25	81000
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/81003	Trim23	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.418408	0.0287823	7.31093	6.89252	OSD-25	81003
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/81004	Tbl1xr1	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.36428	1.70731e-05	9.27195	7.90767	OSD-25	81004
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/81535	Sgpp1	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.49477	0.0162181	9.17122	8.67645	OSD-25	81535
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/81630	Zbtb22	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.33546	0.00374033	7.15577	6.82031	OSD-25	81630
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/81702	Ankrd17	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.08082	0.00437265	8.34328	7.26246	OSD-25	81702
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/81896	Ift122	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.340393	0.026321	5.85535	6.19575	OSD-25	81896
