category	K	k	n	N	expected	fold	p	fdr
drug-induced liver injury	89	6	124	4604	2.4	2.5	0.031907183519500164	0.16431029799535057
liver cancer	151	7	124	4604	4.07	1.72	0.11138882792135901	0.16431029799535057
pediatric hepatocellular carcinoma	126	6	124	4604	3.39	1.77	0.12300240846284499	0.16431029799535057
squamous cell carcinoma of liver and intrahepatic biliary tract	130	6	124	4604	3.5	1.71	0.13692524832945882	0.16431029799535057
undifferentiated carcinoma of liver and intrahepatic biliary tract	130	6	124	4604	3.5	1.71	0.13692524832945882	0.16431029799535057
metabolic dysfunction-associated steatohepatitis	29	2	124	4604	0.78	2.56	0.18302908254021058	0.18302908254021058
