category	K	k	n	N	expected	fold	p	fdr	label	id	family	threshold
http://purl.obolibrary.org/obo/GO_0042572	11	11	1560	2160	7.94	1.38	0.027612744381207838	0.9999561234632744	retinol metabolic process	GO_0042572	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0006631	51	43	1560	2160	36.83	1.17	0.031565802518228055	0.9999561234632744	fatty acid metabolic process	GO_0006631	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0001732	10	10	1560	2160	7.22	1.38	0.038301548657804406	0.9999561234632744	formation of cytoplasmic translation initiation complex	GO_0001732	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0001666	26	23	1560	2160	18.78	1.22	0.042885518105660686	0.9999561234632744	response to hypoxia	GO_0001666	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0006805	26	23	1560	2160	18.78	1.22	0.042885518105660686	0.9999561234632744	xenobiotic metabolic process	GO_0006805	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0006396	44	37	1560	2160	31.78	1.16	0.04884872885677218	0.9999561234632744	RNA processing	GO_0006396	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0009410	30	26	1560	2160	21.67	1.2	0.051074370349921384	0.9999561234632744	response to xenobiotic stimulus	GO_0009410	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0006796	9	9	1560	2160	6.5	1.38	0.05311839533393766	0.9999561234632744	phosphate-containing compound metabolic process	GO_0006796	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0006006	9	9	1560	2160	6.5	1.38	0.05311839533393766	0.9999561234632744	glucose metabolic process	GO_0006006	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0006974	102	81	1560	2160	73.67	1.1	0.057896152474613334	0.9999561234632744	DNA damage response	GO_0006974	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0042254	47	39	1560	2160	33.94	1.15	0.062082534013598215	0.9999561234632744	ribosome biogenesis	GO_0042254	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0007584	14	13	1560	2160	10.11	1.29	0.06645403068021441	0.9999561234632744	response to nutrient	GO_0007584	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
