assay	gene	symbol	taxonomy	log2fc	adj_p_value	group_mean_1	group_mean_2	osd	entrez
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-47-65754b3ba1b48856d4afd330ef225e46	http://www.ncbi.nlm.nih.gov/gene/58226	Cacna1h	http://purl.obolibrary.org/obo/NCBITaxon_10090	-4.07753	0.0328389	2.19458	21.4264	OSD-47	58226
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/58805	Mlxipl	http://purl.obolibrary.org/obo/NCBITaxon_10090	-1.17918	0.000531668	10.9602	12.1394	OSD-25	58805
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/59014	Rrs1	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.06823	0.000475725	7.064	5.99577	OSD-25	59014
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-47-65754b3ba1b48856d4afd330ef225e46	http://www.ncbi.nlm.nih.gov/gene/621054	Tpm3-rs7	http://purl.obolibrary.org/obo/NCBITaxon_10090	5.50918	0.0183924	478.2	11.4744	OSD-47	621054
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-47-65754b3ba1b48856d4afd330ef225e46	http://www.ncbi.nlm.nih.gov/gene/627901	Gm14419	http://purl.obolibrary.org/obo/NCBITaxon_10090	9.51035	0.000545322	105.876	1.0	OSD-47	627901
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/634650	Gbp11	http://purl.obolibrary.org/obo/NCBITaxon_10090	-1.05554	0.00295845	6.29556	7.3511	OSD-25	634650
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/64697	Keg1	http://purl.obolibrary.org/obo/NCBITaxon_10090	-1.06476	0.00130541	9.20227	10.267	OSD-25	64697
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/66853	Pnpla2	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.45737	6.69068e-07	10.7439	9.28655	OSD-25	66853
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/66968	Plin5	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.06054	1.69994e-05	11.3551	10.2946	OSD-25	66968
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/67391	Fundc2	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.14701	0.000923004	6.95628	5.80926	OSD-25	67391
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/67442	Retsat	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.07144	0.000275172	12.2479	11.1765	OSD-25	67442
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/67554	Slc25a30	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.1958	0.0103298	10.0007	8.80491	OSD-25	67554
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/67834	Idh3a	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.06212	7.56811e-05	10.0843	9.02215	OSD-25	67834
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/68797	Pdgfrl	http://purl.obolibrary.org/obo/NCBITaxon_10090	-1.9574	1.75643e-05	5.98228	7.93968	OSD-25	68797
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/69861	2010003K11Rik	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.15417	8.92989e-05	8.24615	7.09198	OSD-25	69861
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/70237	Bhlhb9	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.33364	0.00035935	5.92983	4.59618	OSD-25	70237
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/70620	Ube2v2	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.28807	1.61583e-05	8.33627	7.0482	OSD-25	70620
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/71111	Gpr39	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.17954	2.38579e-05	7.25222	6.07268	OSD-25	71111
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-47-65754b3ba1b48856d4afd330ef225e46	http://www.ncbi.nlm.nih.gov/gene/71624	4833411C07Rik	http://purl.obolibrary.org/obo/NCBITaxon_10090	-1.4316	0.0101192	145.58	390.811	OSD-47	71624
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/71699	Slc41a3	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.29542	5.55622e-05	8.78315	7.48773	OSD-25	71699
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/71835	Lancl2	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.03136	1.75643e-05	8.06332	7.03196	OSD-25	71835
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/71911	Bdh1	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.10708	0.000486363	10.7667	9.6596	OSD-25	71911
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/72043	Sulf2	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.00992	1.96444e-05	8.88049	7.87057	OSD-25	72043
