gene	gene_symbol	disease	doid
http://www.ncbi.nlm.nih.gov/gene/10806	SDCCAG8	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10815	CPLX1	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/1084	CEACAM3	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10891	PPARGC1A	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10908	PNPLA6	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/10991	SLC38A3	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/11020	IFT27	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/11093	ADAMTS13	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/11128	POLR3A	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/11133	KPTN	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/11198	SUPT16H	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/11200	CHEK2	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/11222	MRPL3	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/11231	SEC63	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/11232	POLG2	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/11254	SLC6A14	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/11274	USP18	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/112744	IL17F	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/112752	IFT43	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/11277	TREX1	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/11281	POU6F2	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/112812	FDX2	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/1130	LYST	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/11311	VPS45	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/113220	KIF12	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/11330	CTRC	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/114049	BUD23	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/114548	NLRP3	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/115019	SLC26A9	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/115650	TNFRSF13C	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/1161	ERCC8	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/1174	AP1S1	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/1186	CLCN7	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/120227	CYP2R1	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/123016	TTC8	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/123264	SLC51B	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/1244	ABCC2	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/124454	EARS2	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/125988	MICOS13	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/126328	NDUFA11	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/128989	TANGO2	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/129285	PPP1R21	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/129563	DIS3L2	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/129880	BBS5	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/130340	AP1S3	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/130589	GALM	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/131118	DNAJC19	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/1312	COMT	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/132	ADK	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/132320	SCLT1	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/134218	DNAJC21	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/134353	LSM11	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/1355	COX15	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/1356	CP	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/1357	CPA1	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/135886	TMEM270	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/1371	CPOX	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/1374	CPT1A	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/1376	CPT2	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/137902	PXDNL	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/1380	CR2	http://purl.obolibrary.org/obo/DOID_409	DOID_409
