category	label	K	k	n	N	expected	fold	p	fdr	id
https://identifiers.org/reactome/R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	19	3	48	1720	0.53	5.66	0.01444114320096717	0.027360438839638956	R-HSA-6785807
https://identifiers.org/reactome/R-HSA-9841922	MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis	24	3	48	1720	0.67	4.48	0.027360438839638956	0.027360438839638956	R-HSA-9841922
