disease	disease_label	phenotype	phenotype_label	mondo	hp
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0001537	Umbilical hernia	MONDO_0001382	HP_0001537
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0001541	Ascites	MONDO_0001382	HP_0001541
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0001635	Congestive heart failure	MONDO_0001382	HP_0001635
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0001640	Cardiomegaly	MONDO_0001382	HP_0001640
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0001649	Tachycardia	MONDO_0001382	HP_0001649
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0001653	Mitral regurgitation	MONDO_0001382	HP_0001653
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0001662	Bradycardia	MONDO_0001382	HP_0001662
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0001698	Pericardial effusion	MONDO_0001382	HP_0001698
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0001714	Ventricular hypertrophy	MONDO_0001382	HP_0001714
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0001733	Pancreatitis	MONDO_0001382	HP_0001733
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0001737	Pancreatic cysts	MONDO_0001382	HP_0001737
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0001744	Splenomegaly	MONDO_0001382	HP_0001744
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0001873	Thrombocytopenia	MONDO_0001382	HP_0001873
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0001875	Neutropenia	MONDO_0001382	HP_0001875
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0001903	Anemia	MONDO_0001382	HP_0001903
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0001919	Acute kidney injury	MONDO_0001382	HP_0001919
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0001944	Dehydration	MONDO_0001382	HP_0001944
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0001945	Fever	MONDO_0001382	HP_0001945
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0001948	Alkalosis	MONDO_0001382	HP_0001948
