hEntrez,humanSymbol,n_assays,n_studies,n_tissues,tissues,studies,organisms,n_up,n_down,max_abs_log2fc,min_adj_p,mean_log2fc,ambiguous,consistent_direction,net_direction
64651,CSRNP1,4,4,3,extensor digitorum longus; soleus; tibialis anterior,OSD-104; OSD-576; OSD-665; OSD-770,Mus musculus,1,3,-2.0818,8.63998e-20,-1.015825,False,mixed,down
728586,CCDC192,4,4,3,extensor digitorum longus; quadriceps femoris; soleus,OSD-104; OSD-665; OSD-666; OSD-770,Mus musculus,4,0,2.2535,0.000521401,1.54605,False,consistent,up
79955,PDZD7,4,4,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-326; OSD-576; OSD-665; OSD-666,Mus musculus,1,3,-1.3221,2.50763e-06,-0.6336999999999999,False,mixed,down
84071,ARMC2,4,4,3,bone marrow; extensor digitorum longus; soleus,OSD-104; OSD-690; OSD-770; OSD-99,Mus musculus,2,2,-2.0503,1.08724e-16,-0.07974999999999999,False,mixed,mixed
8644,AKR1C3,4,4,3,extensor digitorum longus; soleus; tibialis anterior,OSD-104; OSD-576; OSD-665; OSD-770,Mus musculus,2,2,1.9364,2.19757e-07,0.22784999999999994,False,mixed,mixed
3428,IFI16,4,4,2,quadriceps femoris; soleus,OSD-103; OSD-104; OSD-666; OSD-770,Mus musculus,3,1,2.0085,0.0174109,0.9587000000000001,False,mixed,up
100506736,SLFN12L,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-1.9708,0.0333875,-1.5939000000000003,True,consistent,down
10140,TOB1,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-1.3347,2.95108e-09,-1.1521333333333332,False,consistent,down
10276,NET1,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,1.9576,5.16453e-43,1.6471333333333333,False,consistent,up
10643,IGF2BP3,3,3,3,bone marrow; extensor digitorum longus; soleus,OSD-665; OSD-690; OSD-770,Mus musculus,2,1,2.0028,0.00177163,0.42500000000000004,False,mixed,up
10715,CERS1,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-1.114,9.53711e-06,-1.0767666666666666,False,consistent,down
10891,PPARGC1A,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-3.5107,5.60268e-09,-2.7235666666666667,False,consistent,down
112399,EGLN3,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-103; OSD-105; OSD-99,Mus musculus,3,0,1.4544,9.95028e-34,1.3866666666666667,False,consistent,up
1135,CHRNA2,3,3,3,extensor digitorum longus; soleus; tibialis anterior,OSD-104; OSD-576; OSD-665,Mus musculus,2,1,2.3853,2.96878e-07,1.1408666666666667,False,mixed,up
1137,CHRNA4,3,3,3,extensor digitorum longus; soleus; tibialis anterior,OSD-105; OSD-770; OSD-99,Mus musculus,2,1,2.3049,7.84944e-12,0.6705333333333332,False,mixed,up
113791,PIK3IP1,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,1.4498,3.69484e-15,1.3494666666666666,False,consistent,up
1149,CIDEA,3,3,3,extensor digitorum longus; soleus; tibialis anterior,OSD-576; OSD-665; OSD-770,Mus musculus,2,1,1.2356,1.60216e-07,0.3799666666666666,False,mixed,up
1153,CIRBP,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,1.1231,3.01479e-20,1.1012333333333333,False,consistent,up
116064,LRRC58,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,1.2903,6.29961e-24,1.1963333333333332,False,consistent,up
116236,ABHD15,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,1.8561,1.22189e-09,1.5703000000000003,False,consistent,up
116729,PPP1R27,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-1.5511,1.62278e-09,-1.4057333333333333,False,consistent,down
1390,CREM,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-1.7002,8.71272e-07,-1.6601333333333332,False,consistent,down
145814,PGPEP1L,3,3,3,quadriceps femoris; soleus; tibialis anterior,OSD-104; OSD-576; OSD-666,Mus musculus,1,2,1.2251,2.78878e-09,-0.2931666666666666,False,mixed,down
151056,PLB1,3,3,3,extensor digitorum longus; soleus; tibialis anterior,OSD-576; OSD-665; OSD-770,Mus musculus,3,0,1.5474,1.45917e-10,1.4383,False,consistent,up
163732,CITED4,3,3,3,quadriceps femoris; soleus; tibialis anterior,OSD-104; OSD-576; OSD-666,Mus musculus,1,2,-1.0949,6.14856e-16,-0.3833666666666667,False,mixed,down
171482,FAM9A,3,3,3,bone marrow; soleus; tibialis anterior,OSD-576; OSD-690; OSD-770,Mus musculus,3,0,4.4922,0.000374625,3.146333333333333,False,consistent,up
171484,FAM9C,3,3,3,bone marrow; soleus; tibialis anterior,OSD-576; OSD-690; OSD-770,Mus musculus,3,0,4.4922,0.000374625,3.146333333333333,False,consistent,up
1780,DYNC1I1,3,3,3,extensor digitorum longus; quadriceps femoris; soleus,OSD-665; OSD-666; OSD-770,Mus musculus,3,0,2.3732,3.39366e-05,1.7479333333333333,False,consistent,up
2150,F2RL1,3,3,3,quadriceps femoris; soleus; tibialis anterior,OSD-104; OSD-576; OSD-666,Mus musculus,0,3,-1.3247,6.14421e-07,-1.1805666666666668,False,consistent,down
22824,HSPA4L,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-1.3911,6.25822e-06,-1.1857,False,consistent,down
23216,TBC1D1,3,3,3,gastrocnemius; quadriceps femoris; soleus,OSD-422; OSD-666; OSD-770,Mus musculus; Rattus norvegicus,3,0,2.5302,1.65778e-11,1.7658666666666665,False,consistent,up
23516,SLC39A14,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,1.9148,8.15971e-08,1.8212666666666666,False,consistent,up
2569,GABRR1,3,3,3,extensor digitorum longus; quadriceps femoris; soleus,OSD-665; OSD-666; OSD-770,Mus musculus,3,0,1.8199,6.67629e-06,1.5672,False,consistent,up
