hEntrez,humanSymbol,n_assays,n_studies,n_tissues,tissues,studies,organisms,n_up,n_down,max_abs_log2fc,min_adj_p,mean_log2fc,ambiguous,consistent_direction,net_direction
28984,RGCC,3,3,2,extensor digitorum longus; soleus,OSD-104; OSD-770; OSD-99,Mus musculus,2,1,1.6848,2.17999e-18,0.4747333333333333,False,mixed,up
2919,CXCL1,3,2,2,bone marrow; soleus,OSD-690; OSD-770,Mus musculus,3,0,1.9916,0.00257287,1.6395333333333333,False,consistent,up
2920,CXCL2,3,2,2,bone marrow; soleus,OSD-690; OSD-770,Mus musculus,3,0,1.9916,0.00257287,1.6395333333333333,False,consistent,up
2921,CXCL3,3,2,2,bone marrow; soleus,OSD-690; OSD-770,Mus musculus,3,0,1.9916,0.00257287,1.6395333333333333,False,consistent,up
2944,GSTM1,3,3,2,quadriceps femoris; soleus,OSD-104; OSD-326; OSD-770,Mus musculus,1,2,-1.6424,0.000164026,-0.6681,False,mixed,down
2949,GSTM5,3,3,2,quadriceps femoris; soleus,OSD-104; OSD-326; OSD-770,Mus musculus,1,2,-1.6424,0.000164026,-0.6681,False,mixed,down
340156,MYLK4,3,3,2,quadriceps femoris; soleus,OSD-104; OSD-326; OSD-770,Mus musculus,2,1,1.5975,4.70672e-21,0.3768,False,mixed,up
374286,FBXW10B,3,3,2,gastrocnemius; soleus,OSD-104; OSD-422; OSD-770,Mus musculus; Rattus norvegicus,2,1,1.4326,7.07176e-05,0.5450333333333334,False,mixed,up
398,ARHGDIG,3,3,2,bone marrow; soleus,OSD-104; OSD-690; OSD-770,Mus musculus,1,2,-1.489,3.13017e-09,-0.5588,False,mixed,down
4053,LTBP2,3,3,2,extensor digitorum longus; soleus,OSD-104; OSD-665; OSD-99,Mus musculus,2,1,1.7897,1.19478e-14,0.4441333333333333,False,mixed,up
41,ASIC1,3,3,2,extensor digitorum longus; soleus,OSD-104; OSD-770; OSD-99,Mus musculus,3,0,2.724,0.00111408,2.0933,False,consistent,up
4826,NNAT,3,3,2,extensor digitorum longus; quadriceps femoris,OSD-326; OSD-665; OSD-99,Mus musculus,0,3,-3.7249,0.00020347,-2.6054333333333335,False,consistent,down
4929,NR4A2,3,3,2,extensor digitorum longus; tibialis anterior,OSD-105; OSD-576; OSD-665,Mus musculus,1,2,-2.0096,2.1563e-05,-0.7186999999999998,False,mixed,down
51384,WNT16,3,3,2,soleus; tibialis anterior,OSD-104; OSD-105; OSD-770,Mus musculus,1,2,-1.6682,0.0001913,-0.6121,False,mixed,down
51673,TPPP3,3,3,2,quadriceps femoris; soleus,OSD-103; OSD-326; OSD-770,Mus musculus,2,1,1.3687,2.11687e-06,0.4547666666666667,False,mixed,up
57172,CAMK1G,3,3,2,quadriceps femoris; soleus,OSD-104; OSD-666; OSD-770,Mus musculus,0,3,-2.7948,7.07365e-22,-2.4892333333333334,False,consistent,down
5990,RFX2,3,2,2,bone marrow; soleus,OSD-690; OSD-770,Mus musculus,0,3,-1.1133,3.47782e-10,-1.0698,False,consistent,down
5997,RGS2,3,3,2,quadriceps femoris; tibialis anterior,OSD-103; OSD-105; OSD-666,Mus musculus,3,0,1.3738,1.27463e-07,1.2111,False,consistent,up
6347,CCL2,3,2,2,bone marrow; tibialis anterior,OSD-576; OSD-690,Mus musculus,2,1,-2.6417,3.33484e-05,-0.03663333333333337,False,mixed,up
643965,TMEM88B,3,2,2,bone marrow; soleus,OSD-690; OSD-770,Mus musculus,0,3,-2.0322,1.39625e-07,-1.6887,False,consistent,down
6581,SLC22A3,3,3,2,quadriceps femoris; soleus,OSD-104; OSD-666; OSD-770,Mus musculus,3,0,2.12,5.39908e-42,1.4671333333333336,False,consistent,up
6585,SLIT1,3,2,2,bone marrow; soleus,OSD-690; OSD-770,Mus musculus,0,3,-1.972,4.82364e-07,-1.4695333333333334,False,consistent,down
7127,TNFAIP2,3,3,2,quadriceps femoris; soleus,OSD-326; OSD-666; OSD-770,Mus musculus,1,2,1.2564,2.67473e-07,-0.3872,False,mixed,down
728537,C2orf92,3,3,2,extensor digitorum longus; soleus,OSD-104; OSD-665; OSD-770,Mus musculus,2,1,1.7126,1.11894e-06,0.41813333333333325,False,mixed,up
7780,SLC30A2,3,3,2,extensor digitorum longus; tibialis anterior,OSD-105; OSD-576; OSD-665,Mus musculus,3,0,2.2061,2.00017e-15,1.5586333333333335,False,consistent,up
7783,ZP2,3,3,2,extensor digitorum longus; soleus,OSD-104; OSD-770; OSD-99,Mus musculus,1,2,-2.4676,3.27272e-10,-0.5937666666666666,False,mixed,down
79094,CHAC1,3,3,2,extensor digitorum longus; tibialis anterior,OSD-576; OSD-665; OSD-99,Mus musculus,2,1,-1.6123,0.000499679,0.40206666666666663,False,mixed,up
79733,E2F8,3,3,2,extensor digitorum longus; soleus,OSD-104; OSD-770; OSD-99,Mus musculus,3,0,3.2841,9.3514e-07,1.9074,False,consistent,up
79805,VASH2,3,3,2,quadriceps femoris; soleus,OSD-103; OSD-666; OSD-770,Mus musculus,2,1,2.1495,0.00174,0.7581333333333333,False,mixed,up
80339,PNPLA3,3,3,2,quadriceps femoris; soleus,OSD-103; OSD-104; OSD-666,Mus musculus,3,0,1.5268,2.36426e-10,1.3116333333333332,False,consistent,up
81030,ZBP1,3,3,2,soleus; tibialis anterior,OSD-104; OSD-105; OSD-770,Mus musculus,2,1,1.627,0.0185428,0.43933333333333335,False,mixed,up
81575,APOLD1,3,3,2,gastrocnemius; soleus,OSD-101; OSD-104; OSD-770,Mus musculus,1,2,-2.1125,9.36018e-10,-0.6616000000000001,False,mixed,down
84440,RAB11FIP4,3,3,2,quadriceps femoris; soleus,OSD-104; OSD-666; OSD-770,Mus musculus,3,0,1.282,9.73576e-05,1.1893666666666667,False,consistent,up
84830,ADTRP,3,2,2,bone marrow; soleus,OSD-690; OSD-770,Mus musculus,3,0,2.5306,0.000190176,1.5726666666666667,False,consistent,up
8608,RDH16,3,3,2,quadriceps femoris; soleus,OSD-104; OSD-666; OSD-770,Mus musculus,3,0,2.94,0.00162919,2.3566333333333334,True,consistent,up
869,CBLN1,3,2,2,bone marrow; soleus,OSD-104; OSD-690,Mus musculus,1,2,2.8801,0.0140675,0.11393333333333337,False,mixed,down
8786,RGS11,3,3,2,soleus; tibialis anterior,OSD-104; OSD-576; OSD-770,Mus musculus,1,2,-2.1163,0.000213327,-0.5363666666666667,False,mixed,down
92840,REEP6,3,3,2,bone marrow; soleus,OSD-104; OSD-690; OSD-770,Mus musculus,0,3,-1.5487,4.19967e-31,-1.2713666666666665,False,consistent,down
9315,NREP,3,3,2,gastrocnemius; soleus,OSD-104; OSD-419; OSD-770,Mus musculus,3,0,1.5561,3.48495e-22,1.2411666666666668,False,consistent,up
9348,NDST3,3,2,2,bone marrow; tibialis anterior,OSD-576; OSD-690,Mus musculus,0,3,-2.2769,0.0168686,-1.9515666666666667,False,consistent,down
9717,SEC14L5,3,3,2,quadriceps femoris; soleus,OSD-326; OSD-666; OSD-770,Mus musculus,1,2,-1.1555,1.52145e-06,-0.37656666666666666,False,mixed,down
1001,CDH3,2,2,2,quadriceps femoris; soleus,OSD-104; OSD-666,Mus musculus,2,0,2.192,0.00163003,2.02625,False,consistent,up
100170841,EPOP,2,2,2,quadriceps femoris; tibialis anterior,OSD-576; OSD-666,Mus musculus,2,0,1.4785,0.00042672,1.2925499999999999,False,consistent,up
10023,FRAT1,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,1.5898,1.67798e-09,1.32285,False,consistent,up
100526694,MSANTD3-TMEFF1,2,2,2,quadriceps femoris; soleus,OSD-104; OSD-666,Mus musculus,1,1,-1.678,1.12932e-23,-0.0867,False,mixed,mixed
10170,DHRS9,2,2,2,quadriceps femoris; soleus,OSD-104; OSD-666,Mus musculus,0,2,-3.7399,1.85091e-15,-2.49895,False,consistent,down
10242,KCNMB2,2,2,2,extensor digitorum longus; soleus,OSD-104; OSD-665,Mus musculus,2,0,1.7088,0.0258169,1.6302,False,consistent,up
102724657,MSANTD5,2,2,2,quadriceps femoris; soleus,OSD-104; OSD-666,Mus musculus,0,2,-2.3661,2.23391e-07,-1.7993999999999999,False,consistent,down
10332,CLEC4M,2,2,2,bone marrow; soleus,OSD-690; OSD-770,Mus musculus,0,2,-1.2815,0.0292939,-1.2205,False,consistent,down
1036,CDO1,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,1.805,1.00399e-06,1.7088999999999999,False,consistent,up
10370,CITED2,2,2,2,soleus; tibialis anterior,OSD-576; OSD-770,Mus musculus,2,0,1.6431,6.49561e-09,1.5003,False,consistent,up
10457,GPNMB,2,2,2,quadriceps femoris; tibialis anterior,OSD-576; OSD-666,Mus musculus,2,0,1.1571,5.30299e-05,1.11345,False,consistent,up
10460,TACC3,2,2,2,extensor digitorum longus; soleus,OSD-665; OSD-770,Mus musculus,2,0,1.219,2.23558e-10,1.17725,False,consistent,up
10462,CLEC10A,2,2,2,extensor digitorum longus; soleus,OSD-665; OSD-770,Mus musculus,0,2,-1.0794,2.59006e-06,-1.07625,False,consistent,down
10603,SH2B2,2,2,2,soleus; tibialis anterior,OSD-576; OSD-770,Mus musculus,2,0,1.1024,0.000214577,1.0992000000000002,False,consistent,up
10631,POSTN,2,2,2,extensor digitorum longus; tibialis anterior,OSD-576; OSD-99,Mus musculus,2,0,1.3744,1.14679e-07,1.2613,False,consistent,up
10661,KLF1,2,2,2,bone marrow; soleus,OSD-690; OSD-770,Mus musculus,0,2,-2.7193,1.8019e-09,-1.9151,False,consistent,down
10808,HSPH1,2,2,2,extensor digitorum longus; quadriceps femoris,OSD-665; OSD-666,Mus musculus,0,2,-1.2964,1.57181e-06,-1.1738499999999998,False,consistent,down
10865,ARID5A,2,2,2,gastrocnemius; soleus,OSD-422; OSD-770,Mus musculus; Rattus norvegicus,1,1,-3.4076,0.000157888,-1.0345,False,mixed,mixed
10913,EDAR,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,2.6151,6.16425e-10,1.8847,False,consistent,up
10990,LILRB5,2,2,2,extensor digitorum longus; quadriceps femoris,OSD-666; OSD-99,Mus musculus,1,1,-1.2776,0.00588974,-0.038550000000000084,True,mixed,mixed
11024,LILRA1,2,2,2,extensor digitorum longus; quadriceps femoris,OSD-666; OSD-99,Mus musculus,1,1,-1.2776,0.00588974,-0.038550000000000084,True,mixed,mixed
11025,LILRB3|LOC102725035|LOC107987425|LOC107987462,2,2,2,extensor digitorum longus; quadriceps femoris,OSD-666; OSD-99,Mus musculus,1,1,-1.2776,0.00588974,-0.038550000000000084,True,mixed,mixed
11027,LILRA2,2,2,2,extensor digitorum longus; quadriceps femoris,OSD-666; OSD-99,Mus musculus,1,1,-1.2776,0.00588974,-0.038550000000000084,True,mixed,mixed
11130,ZWINT,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,1.3274,2.98463e-29,1.2182499999999998,False,consistent,up
11238,CA5B,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,1.8982,0.000267936,1.48575,False,consistent,up
1129,CHRM2,2,2,2,soleus; tibialis anterior,OSD-576; OSD-770,Mus musculus,2,0,1.9799,0.0163193,1.77215,False,consistent,up
114899,C1QTNF3,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,0,2,-1.7048,4.03336e-06,-1.7028,False,consistent,down
115265,DDIT4L,2,2,2,bone marrow; soleus,OSD-104; OSD-690,Mus musculus,1,1,-2.2303,7.76159e-20,-0.3216000000000001,False,mixed,mixed
115908,CTHRC1,2,2,2,extensor digitorum longus; soleus,OSD-770; OSD-99,Mus musculus,1,1,-2.3268,0.00289172,-0.4303,False,mixed,mixed
116085,SLC22A12,2,2,2,soleus; tibialis anterior,OSD-576; OSD-770,Mus musculus,2,0,2.7367,4.13551e-06,2.3039,False,consistent,up
116362,RBP7,2,2,2,extensor digitorum longus; tibialis anterior,OSD-576; OSD-665,Mus musculus,0,2,-1.3738,7.19245e-05,-1.3227,False,consistent,down
12,SERPINA3,2,2,2,soleus; tibialis anterior,OSD-576; OSD-770,Mus musculus,2,0,1.2552,0.000205988,1.18445,False,consistent,up
120224,TMEM45B,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,2.3445,0.00759845,1.94355,False,consistent,up
121504,H4-16,2,2,2,extensor digitorum longus; soleus,OSD-770; OSD-99,Mus musculus,2,0,1.9785,0.0102514,1.50705,False,consistent,up
122970,ACOT4,2,2,2,extensor digitorum longus; quadriceps femoris,OSD-665; OSD-666,Mus musculus,2,0,1.7037,0.00030017,1.62595,False,consistent,up
1230,CCR1,2,2,2,extensor digitorum longus; tibialis anterior,OSD-105; OSD-99,Mus musculus,2,0,1.177,0.00951098,1.1387,False,consistent,up
123745,PLA2G4E,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,1.0895,4.06074e-11,1.07605,False,consistent,up
1261,CNGA3,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,0,2,-1.2961,0.000167169,-1.16485,False,consistent,down
126961,H3C14,2,2,2,extensor digitorum longus; tibialis anterior,OSD-576; OSD-99,Mus musculus,2,0,2.2677,6.00195e-05,1.66635,True,consistent,up
1272,CNTN1,2,2,2,soleus; tibialis anterior,OSD-576; OSD-770,Mus musculus,2,0,2.5379,0.0009553,1.9278,False,consistent,up
127602,DNAH14,2,2,2,extensor digitorum longus; soleus,OSD-665; OSD-770,Mus musculus,2,0,4.1791,0.00111389,3.6689,False,consistent,up
127707,KLHDC7A,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,2.3137,0.0010107,1.78395,False,consistent,up
130399,ACVR1C,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,2.0327,0.000252173,1.76045,False,consistent,up
134,ADORA1,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,2.1095,8.17916e-06,1.86715,False,consistent,up
139285,AMER1,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,2.0825,8.41151e-38,1.6411,False,consistent,up
140809,SRXN1,2,2,2,extensor digitorum longus; tibialis anterior,OSD-576; OSD-665,Mus musculus,0,2,-1.7147,6.13486e-05,-1.5992,False,consistent,down
145483,FAM161B,2,2,2,extensor digitorum longus; soleus,OSD-665; OSD-770,Mus musculus,0,2,-2.0304,2.71023e-16,-1.5189500000000002,False,consistent,down
145957,NRG4,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,1.8143,0.00390756,1.47215,False,consistent,up
146556,C16orf89,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,0,2,-1.2993,0.000353654,-1.20895,False,consistent,down
149647,GARIN4,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,5.2144,4.08745e-13,3.8582,False,consistent,up
1510,CTSE,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,2.0977,0.0054921,2.0864000000000003,False,consistent,up
151176,ERFE,2,2,2,extensor digitorum longus; tibialis anterior,OSD-576; OSD-665,Mus musculus,0,2,-1.1135,0.00302526,-1.1021999999999998,False,consistent,down
151516,ASPRV1|PCBP1-AS1,2,2,2,bone marrow; soleus,OSD-104; OSD-690,Mus musculus,2,0,3.0964,9.63531e-09,2.14685,False,consistent,up
151887,CCDC80,2,2,2,quadriceps femoris; soleus,OSD-104; OSD-326,Mus musculus,0,2,-1.17,3.25059e-20,-1.10575,False,consistent,down
152831,KLB,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,2.3966,0.000344186,2.291,False,consistent,up
153020,RASGEF1B,2,2,2,extensor digitorum longus; tibialis anterior,OSD-576; OSD-665,Mus musculus,0,2,-1.3111,6.51172e-06,-1.29635,False,consistent,down
1571,CYP2E1,2,2,2,soleus; tibialis anterior,OSD-105; OSD-770,Mus musculus,1,1,1.7572,0.00211184,0.20490000000000008,False,mixed,mixed
157570,ESCO2,2,2,2,extensor digitorum longus; quadriceps femoris,OSD-665; OSD-666,Mus musculus,0,2,-1.9628,0.00908631,-1.8235000000000001,False,consistent,down
158471,PRUNE2,2,2,2,gastrocnemius; quadriceps femoris,OSD-326; OSD-422,Mus musculus; Rattus norvegicus,1,1,6.3074,0.0209791,2.1816000000000004,False,mixed,mixed
161142,GARIN2,2,2,2,extensor digitorum longus; tibialis anterior,OSD-576; OSD-665,Mus musculus,0,2,-3.4334,0.000443767,-2.76565,False,consistent,down
162494,RHBDL3,2,2,2,bone marrow; soleus,OSD-104; OSD-690,Mus musculus,1,1,-1.7172,3.31104e-18,-0.27885000000000004,False,mixed,mixed
1649,DDIT3,2,2,2,quadriceps femoris; tibialis anterior,OSD-576; OSD-666,Mus musculus,0,2,-1.1345,8.69942e-06,-1.10865,False,consistent,down
165829,GPR156,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,2.8972,0.00461401,2.2771,False,consistent,up
170394,PWWP2B,2,2,2,soleus; tibialis anterior,OSD-576; OSD-770,Mus musculus,0,2,-1.1397,3.42111e-07,-1.0728,False,consistent,down
1734,DIO2,2,2,2,extensor digitorum longus; quadriceps femoris,OSD-666; OSD-99,Mus musculus,1,1,1.2397,0.000292204,0.07884999999999998,False,mixed,mixed
1758,DMP1,2,2,2,quadriceps femoris; tibialis anterior,OSD-576; OSD-666,Mus musculus,2,0,3.3677,0.000157312,2.2750500000000002,False,consistent,up
1832,DSP,2,2,2,quadriceps femoris; soleus,OSD-104; OSD-666,Mus musculus,1,1,4.0146,0.000368134,1.0414999999999999,False,mixed,mixed
1959,EGR2,2,2,2,soleus; tibialis anterior,OSD-105; OSD-770,Mus musculus,2,0,2.1395,9.97438e-08,1.5913,False,consistent,up
197021,LCTL,2,2,2,quadriceps femoris; soleus,OSD-104; OSD-666,Mus musculus,1,1,-2.7539,0.00072877,-0.3334499999999998,False,mixed,mixed
1978,EIF4EBP1,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,1.3803,1.55823e-14,1.23235,False,consistent,up
199786,NIBAN3,2,2,2,bone marrow; quadriceps femoris,OSD-666; OSD-690,Mus musculus,0,2,-1.217,2.56441e-05,-1.1209,False,consistent,down
199920,FYB2,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,1.7394,0.0126998,1.582,False,consistent,up
2104,ESRRG,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,0,2,-1.8268,1.25082e-20,-1.5712000000000002,False,consistent,down
212,ALAS2,2,2,2,extensor digitorum longus; soleus,OSD-665; OSD-770,Mus musculus,2,0,1.4417,5.38315e-08,1.3088,False,consistent,up
216,ALDH1A1,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,2.8813,6.05889e-05,2.37945,True,consistent,up
221074,SLC39A12,2,2,2,quadriceps femoris; tibialis anterior,OSD-105; OSD-666,Mus musculus,1,1,1.1868,0.0402346,0.08485000000000009,False,mixed,mixed
221357,GSTA5,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,1,1,-4.0036,4.30697e-08,-1.4285499999999998,True,mixed,mixed
222,ALDH3B2,2,2,2,bone marrow; quadriceps femoris,OSD-666; OSD-690,Mus musculus,1,1,1.9168,6.50239e-06,0.18535000000000001,False,mixed,mixed
222537,HS3ST5,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,1.2763,9.09075e-07,1.15235,False,consistent,up
2250,FGF5,2,2,2,extensor digitorum longus; soleus,OSD-104; OSD-99,Mus musculus,1,1,-1.057,0.00595138,-0.017000000000000015,False,mixed,mixed
2277,VEGFD,2,2,2,bone marrow; tibialis anterior,OSD-576; OSD-690,Mus musculus,1,1,-1.7441,0.00246675,-0.24280000000000002,False,mixed,mixed
22846,VASH1,2,2,2,bone marrow; soleus,OSD-690; OSD-770,Mus musculus,0,2,-1.2888,5.63952e-07,-1.23385,False,consistent,down
22936,ELL2,2,2,2,gastrocnemius; soleus,OSD-422; OSD-770,Mus musculus; Rattus norvegicus,2,0,1.935,3.78157e-11,1.5851000000000002,False,consistent,up
22979,EFR3B,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,0,2,-1.2157,1.78589e-08,-1.1938499999999999,False,consistent,down
22987,SV2C,2,2,2,extensor digitorum longus; tibialis anterior,OSD-576; OSD-665,Mus musculus,0,2,-1.2232,0.00407292,-1.1925,False,consistent,down
22996,TTC39A,2,2,2,bone marrow; soleus,OSD-104; OSD-690,Mus musculus,0,2,-1.2617,4.81203e-05,-1.1437,False,consistent,down
23090,ZNF423,2,2,2,extensor digitorum longus; quadriceps femoris,OSD-665; OSD-666,Mus musculus,2,0,1.0663,1.101e-06,1.038,False,consistent,up
23145,SSPOP,2,2,2,extensor digitorum longus; tibialis anterior,OSD-576; OSD-665,Mus musculus,2,0,2.2933,0.000828057,1.96935,False,consistent,up
23151,GRAMD4,2,2,2,quadriceps femoris; tibialis anterior,OSD-326; OSD-576,Mus musculus,1,1,1.0383,0.00243944,0.010600000000000054,False,mixed,mixed
23170,TTLL12,2,2,2,bone marrow; soleus,OSD-690; OSD-770,Mus musculus,0,2,-1.2003,2.38739e-11,-1.11035,False,consistent,down
2329,FMO4,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,1.1394,0.0061073,1.1212499999999999,False,consistent,up
23336,SYNM,2,2,2,bone marrow; soleus,OSD-690; OSD-770,Mus musculus,1,1,1.0989,1.4237e-11,0.0009500000000000064,False,mixed,mixed
23530,NNT,2,2,2,extensor digitorum longus; soleus,OSD-665; OSD-770,Mus musculus,1,1,-1.0803,8.07133e-15,-0.011299999999999977,False,mixed,mixed
23547,LILRA4,2,2,2,extensor digitorum longus; quadriceps femoris,OSD-666; OSD-99,Mus musculus,1,1,-1.2776,0.00588974,-0.038550000000000084,True,mixed,mixed
23550,PSD4,2,2,2,extensor digitorum longus; soleus,OSD-104; OSD-99,Mus musculus,2,0,1.2491,0.00614607,1.2387000000000001,False,consistent,up
23620,NTSR2,2,2,2,soleus; tibialis anterior,OSD-576; OSD-770,Mus musculus,0,2,-1.4807,0.00841452,-1.31425,False,consistent,down
23627,PRND,2,2,2,extensor digitorum longus; quadriceps femoris,OSD-666; OSD-99,Mus musculus,1,1,2.9597,1.76375e-05,0.15000000000000013,False,mixed,mixed
23632,CA14,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,1.3715,1.50462e-08,1.24145,False,consistent,up
23764,MAFF,2,2,2,gastrocnemius; tibialis anterior,OSD-105; OSD-422,Mus musculus; Rattus norvegicus,2,0,3.5872,0.0191171,2.4724500000000003,False,consistent,up
245972,ATP6V0D2,2,2,2,soleus; tibialis anterior,OSD-104; OSD-576,Mus musculus,2,0,3.2741,0.0258803,2.5359499999999997,False,consistent,up
255057,CBARP,2,2,2,extensor digitorum longus; quadriceps femoris,OSD-665; OSD-666,Mus musculus,0,2,-1.3766,0.00124259,-1.2246000000000001,False,consistent,down
26059,ERC2,2,2,2,soleus; tibialis anterior,OSD-576; OSD-770,Mus musculus,2,0,1.647,0.00107955,1.3415,False,consistent,up
2615,LRRC32,2,2,2,bone marrow; soleus,OSD-104; OSD-690,Mus musculus,0,2,-1.0272,1.65688e-07,-1.0219999999999998,False,consistent,down
26230,TIAM2,2,2,2,extensor digitorum longus; soleus,OSD-770; OSD-99,Mus musculus,2,0,1.7011,1.10227e-09,1.39905,False,consistent,up
2637,GBX2,2,2,2,extensor digitorum longus; quadriceps femoris,OSD-665; OSD-666,Mus musculus,0,2,-2.0137,0.0190836,-1.84155,False,consistent,down
2652,OPN1MW,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,1.8992,0.00323176,1.4585,False,consistent,up
2668,GDNF,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,2,0,2.6345,5.90594e-14,2.05025,False,consistent,up
2674,GFRA1,2,2,2,bone marrow; soleus,OSD-690; OSD-770,Mus musculus,1,1,-1.2652,3.61575e-12,-0.08455000000000001,False,mixed,mixed
27019,DNAI1,2,2,2,extensor digitorum longus; tibialis anterior,OSD-576; OSD-665,Mus musculus,0,2,-2.2703,0.000455777,-1.9644500000000003,False,consistent,down
27106,ARRDC2,2,2,2,soleus; tibialis anterior,OSD-104; OSD-576,Mus musculus,2,0,2.2218,1.22727e-41,1.65265,False,consistent,up
27123,DKK2,2,2,2,extensor digitorum longus; soleus,OSD-770; OSD-99,Mus musculus,0,2,-1.1162,0.00334817,-1.09575,False,consistent,down
272,AMPD3,2,2,2,extensor digitorum longus; tibialis anterior,OSD-576; OSD-665,Mus musculus,2,0,1.2073,1.39532e-19,1.1113,False,consistent,up
27246,RNF115,2,2,2,extensor digitorum longus; soleus,OSD-770; OSD-99,Mus musculus,2,0,2.5585,5.49203e-32,1.80105,False,consistent,up
27314,RAB30,2,2,2,extensor digitorum longus; tibialis anterior,OSD-576; OSD-665,Mus musculus,0,2,-1.5211,9.13158e-07,-1.43195,False,consistent,down
2786,GNG4,2,2,2,extensor digitorum longus; quadriceps femoris,OSD-665; OSD-666,Mus musculus,0,2,-2.9913,7.72689e-07,-2.16675,False,consistent,down
2828,GPR4,2,2,2,bone marrow; tibialis anterior,OSD-576; OSD-690,Mus musculus,0,2,-1.9315,0.0186741,-1.5592000000000001,False,consistent,down
283248,RCOR2,2,2,2,bone marrow; quadriceps femoris,OSD-666; OSD-690,Mus musculus,1,1,-1.2714,0.00836888,-0.08940000000000003,False,mixed,mixed
283455,KSR2,2,2,2,quadriceps femoris; tibialis anterior,OSD-576; OSD-666,Mus musculus,0,2,-1.9274,6.15931e-05,-1.71445,False,consistent,down
283461,C12orf40,2,2,2,extensor digitorum longus; tibialis anterior,OSD-576; OSD-665,Mus musculus,2,0,1.6955,5.40628e-06,1.55885,False,consistent,up
284114,TMEM102,2,2,2,extensor digitorum longus; tibialis anterior,OSD-576; OSD-665,Mus musculus,2,0,2.1001,0.00633187,1.90395,False,consistent,up
284217,LAMA1,2,2,2,quadriceps femoris; tibialis anterior,OSD-576; OSD-666,Mus musculus,0,2,-2.2615,0.020778,-2.12615,False,consistent,down
284439,SLC25A42,2,2,2,bone marrow; soleus,OSD-690; OSD-770,Mus musculus,0,2,-1.1549,1.20648e-11,-1.1120999999999999,False,consistent,down
285313,IGSF10,2,2,2,bone marrow; soleus,OSD-690; OSD-770,Mus musculus,0,2,-1.3704,9.93884e-10,-1.2368000000000001,False,consistent,down
286077,FAM83H,2,2,2,quadriceps femoris; tibialis anterior,OSD-576; OSD-666,Mus musculus,2,0,1.0932,2.89561e-06,1.0850499999999998,False,consistent,up
29128,UHRF1,2,2,2,extensor digitorum longus; soleus,OSD-104; OSD-99,Mus musculus,2,0,1.1315,0.000526739,1.10195,False,consistent,up
2938,GSTA1,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,1,1,-4.0036,4.30697e-08,-1.4285499999999998,True,mixed,mixed
2939,GSTA2,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,1,1,-4.0036,4.30697e-08,-1.4285499999999998,True,mixed,mixed
2940,GSTA3,2,2,2,quadriceps femoris; soleus,OSD-666; OSD-770,Mus musculus,1,1,-4.0036,4.30697e-08,-1.4285499999999998,True,mixed,mixed
2979,GUCA1B,2,2,2,extensor digitorum longus; quadriceps femoris,OSD-665; OSD-666,Mus musculus,0,2,-1.2631,5.73221e-05,-1.2149999999999999,False,consistent,down
