humanSymbol	symbol	hEntrez	direction	l2fc_WT	p_WT	l2fc_KO	p_KO	n_arms	both_samedir	nrf2_dependent	bone_role	bone_evidence	digcfde_bonecat	rdkg_pheno	osteoarthritis	specificity	nTissues	priority	tier
CTSC	Ctsc	1075	↑	0.271216	0.0305309	0.290999	0.018826	2	True	False		gwas_strong	osteoporosis		False			41.9	B
	Trpv5	56302	↓	-1.77681	0.00434867	-1.16687	0.00930942	2	True	False		none			False	intermediate	1.0	41.8	C
BOC	Boc	91653	↓			-1.32279	0.0396181	1		True		gwas_strong	BMD|fracture		False			41.8	B
TMEM132A	Tmem132a	54972	↓			-1.31518	0.0353112	1		True		gwas_strong	BMD|fracture		False			41.8	B
VAPA	Vapa	9218	↑	0.276429	0.0130818	0.260493	0.0206777	2	True	False		gwas_strong	fracture		False			41.8	B
FAR1	Far1	84188	↑	0.216468	0.034703	0.253643	0.0107923	2	True	False		gwas_strong	BMD|fracture		False			41.7	B
TENM4	Tenm4	26011	↓	-1.27551	0.0191696	-1.14433	0.042854	2	True	False		gwas_bmd	BMD		False	systemic	10.0	41.5	C
TSHZ2	Tshz2	128553	↓	-1.09507	0.0339087	-1.27216	0.0100317	2	True	False		gwas_bmd	BMD		False	systemic	7.0	41.5	C
NR3C1	Nr3c1	2908	↑	0.190678	0.0241645	0.231705	0.00451855	2	True	False		gwas_strong	BMD|fracture|osteoporosis		False			41.5	B
GFRA1	Gfra1	2674	↓	-0.894801	0.00964472	-1.26519	0.000167886	2	True	False		gwas_bmd	BMD		False			41.4	C
ADAMTSL2	Adamtsl2	9719	↓			-2.29916	0.0353112	1		True		gwas_bmd	BMD		False			41.3	C
RGS6	Rgs6	9628	↓			-2.28232	0.0166542	1		True		gwas_bmd	BMD		False			41.2	C
SPTB	Sptb	6710	↓	-1.13692	1.18624e-09	-1.21795	5.69336e-11	2	True	False		gwas_bmd	BMD		False	systemic	6.0	41.1	C
SBK1	Sbk1	388228	↓			-1.2043	1.51703e-05	1		True		gwas_strong	osteoporosis		False			41.0	B
MGP	Mgp	4256	↓			-1.15544	0.00269681	1		True		gwas_strong	BMD|fracture		False			40.7	B
KCNG2	Kcng2	26251	↓	-1.31267	0.0205029	-2.33489	0.000127327	2	True	False		none			False	systemic	4.0	40.6	C
TBX2	Tbx2	6909	↓	-1.11285	0.0141955	-1.13585	0.00355956	2	True	False		gwas_bmd	BMD		False	systemic	3.0	40.6	C
NOTCH3	Notch3	4854	↓			-1.10771	0.0020424	1		True		gwas_strong	BMD|fracture		False			40.4	B
ADTRP	Adtrp	84830	↑	1.08002	0.000251911	1.10743	0.000190176	2	True	False		gwas_bmd	BMD		False	systemic	7.0	40.4	C
NDST3	Ndst3	9348	↓	-2.27688	0.0252946	-1.87409	0.0327475	2	True	False		none			False	systemic	3.0	40.2	C
MFHAS1	Mfhas1	9258	↓	-0.742857	3.69155e-05	-1.0838	5.3999e-10	2	True	False		gwas_bmd	BMD		False			40.2	C
RGS1	Rgs1	5996	↑	0.965757	0.0115104	1.03735	0.00421102	2	True	False		gwas_bmd	BMD		False			39.9	C
PTH1R	Pth1r	5745	↓			-1.02856	0.0173382	1		True		gwas_strong	BMD|fracture		False			39.9	B
CRACD	Cracd	57482	↓	-1.01642	2.6399e-10	-0.851347	2.0256e-07	2	True	False		gwas_bmd	BMD		False	systemic	7.0	39.8	C
UACA	Uaca	55075	↓			-1.0143	0.00123001	1		True		gwas_strong	BMD|fracture		False			39.8	B
DHCR24	Dhcr24	1718	↓	-0.500109	0.0374416	-1.01396	4.65429e-06	2	True	False		gwas_bmd	BMD		False			39.8	C
ACOT2	Acot1	10965	↑	2.19146	3.73469e-10	2.19937	6.07593e-10	2	True	False		none			False	systemic	12.0	39.7	C
ACOT1	Acot1	641371	↑	2.19146	3.73469e-10	2.19937	6.07593e-10	2	True	False		none			False	systemic	12.0	39.7	C
ENG	Eng	2022	↓	-0.523399	0.0275242	-1.00844	9.20233e-06	2	True	False		gwas_bmd	BMD		False			39.7	C
TGFB1	Tgfb1	7040	↓			-0.982848	2.41289e-06	1		True		gwas_strong	BMD|fracture		True			39.6	B
DENND2B	Denn2b	6764	↓	-0.98235	1.99335e-06	-0.741935	0.000476681	2	True	False		gwas_bmd	BMD		False			39.5	C
DCLK2	Dclk2	166614	↓	-0.930859	7.18018e-07	-0.980747	1.42603e-07	2	True	False		gwas_bmd	BMD		False			39.5	C
TNFRSF19	Tnfrsf19	55504	↓	-0.812592	0.00862979	-0.978737	0.0012672	2	True	False		gwas_bmd	BMD		False			39.5	C
EPHA2	Epha2	1969	↓	-0.977968	2.25667e-06	-0.907334	6.15793e-05	2	True	False		gwas_bmd	BMD		False			39.5	C
PCOLCE	Pcolce	5118	↓	-0.80497	0.0306259	-0.970457	0.0175723	2	True	False		gwas_bmd	BMD		False			39.5	C
EPOR	Epor	2057	↓	-0.651209	0.000102494	-0.953992	3.04157e-09	2	True	False		gwas_bmd	BMD		False			39.4	C
MS4A6E	Ms4a6d	245802	↑	0.941407	7.34373e-06	0.536926	0.0166777	2	True	False		gwas_bmd	BMD		False			39.3	C
MS4A6A	Ms4a6d	64231	↑	0.941407	7.34373e-06	0.536926	0.0166777	2	True	False		gwas_bmd	BMD		False			39.3	C
NPRL3	Nprl3	8131	↓	-0.828275	1.58748e-05	-0.902593	2.05699e-06	2	True	False		gwas_bmd	BMD		False			39.0	C
RELA	Rela	5970	↓			-0.899071	0.000164606	1		True		gwas_strong	BMD|fracture		False			39.0	B
BMP6	Bmp6	654	↓			-0.894336	0.0142984	1		True		gwas_strong	BMD|fracture		True			39.0	B
COL6A1	Col6a1	1291	↓			-0.893462	0.0269576	1		True		gwas_strong	BMD|fracture|osteoporosis		False			39.0	B
SLC1A4	Slc1a4	6509	↓			-0.888506	0.0234649	1		True		gwas_strong	osteoporosis		False			38.9	B
	Gstt1	2952	↓	-0.864567	0.000113747	-0.871482	2.74445e-05	2	True	False		gwas_bmd	BMD		False			38.8	C
SRCAP	Srcap	10847	↓	-0.563599	0.00231031			1		False		mendelian		Osteoporosis|Osteopenia	False			38.8	B
TP53	Trp53	7157	↓			-0.850323	2.54743e-05	1		True		gwas_strong	BMD|fracture|osteoporosis		False			38.7	B
TMEM88B	Tmem88b	643965	↓	-1.3117	0.0378122	-2.03223	0.000378802	2	True	False		none			False	systemic	4.0	38.5	C
TAL1	Tal1	6886	↓	-0.599135	0.000140265	-0.826799	5.59347e-08	2	True	False		gwas_bmd	BMD		False			38.5	C
CMIP	Cmip	80790	↓			-0.821425	0.00014108	1		True		gwas_strong	BMD|osteoporosis		False			38.5	B
FZD5	Fzd5	7855	↓	-0.537705	0.00358855	-0.819306	4.64367e-06	2	True	False		gwas_bmd	BMD		False			38.5	C
SH3TC2	Sh3tc2	79628	↓	-0.631777	0.000224724	-0.814827	1.03725e-06	2	True	False		gwas_bmd	BMD		False			38.4	C
PPARD	Ppard|1810013A23Rik	5467	↓			-0.813664	0.00189917	1		True		gwas_strong	fracture		False			38.4	B
ESPL1	Espl1	9700	↓	-0.809713	0.000549734	-0.6247	0.0106412	2	True	False		gwas_bmd	BMD		False			38.4	C
FOXK1	Foxk1	221937	↓			-0.805988	0.00608651	1		True		gwas_strong	BMD|osteoporosis		False			38.4	B
FAM53B	Fam53b	9679	↓	-0.661977	9.44441e-07	-0.804969	1.56312e-09	2	True	False		gwas_bmd	BMD		False			38.4	C
SMARCA4	Smarca4	6597	↓	-0.683059	0.00162941	-0.803371	0.000164606	2	True	False		gwas_bmd	BMD		False			38.4	C
CXCL1	Cxcl2	2919	↑	1.9011	0.00538677	1.99159	0.00257287	2	True	False		none			False	systemic	4.0	38.3	C
CXCL3	Cxcl2	2921	↑	1.9011	0.00538677	1.99159	0.00257287	2	True	False		none			False	systemic	4.0	38.3	C
PTP4A1	Ptp4a1	7803	↑	0.795046	0.0137614	0.72824	0.0242197	2	True	False		gwas_bmd	BMD		False			38.3	C
HS6ST1	Hs6st1	9394	↓	-0.786154	1.51225e-07	-0.789231	1.59022e-07	2	True	False		gwas_bmd	BMD		False			38.3	C
SKI	Ski	6497	↓			-0.786909	0.00156749	1		True		gwas_strong	BMD|fracture		False			38.2	B
BTRC	Btrc	8945	↓	-0.784104	5.72829e-10	-0.639297	7.06151e-07	2	True	False		gwas_bmd	BMD		False			38.2	C
BGN	Bgn	633	↓			-0.775197	0.0220941	1		True		gwas_strong	BMD|fracture		False			38.2	B
SLIT1	Slit1	6585	↓	-1.97198	4.82364e-07	-1.28354	0.00140766	2	True	False		none			False	systemic	5.0	38.1	C
E2F4	E2f4	1874	↓	-0.448859	0.00182833	-0.763383	1.92484e-08	2	True	False		gwas_bmd	BMD		False			38.1	C
NRG1	Nrg1	3084	↑			0.761886	0.00459158	1		True		gwas_strong	BMD|osteoporosis		False			38.1	B
LRRC29	Lrrc29	26231	↓	-0.76024	4.73597e-05	-0.600463	0.00176856	2	True	False		gwas_bmd	BMD		False			38.1	C
GP1BB	Gp1bb	2812	↓			-0.758715	0.0237414	1		True		gwas_strong	BMD|fracture		False			38.1	B
PML	Pml	5371	↓	-0.6483	2.70642e-05	-0.758241	8.96946e-07	2	True	False		gwas_bmd	BMD		False			38.1	C
MAP1B	Map1b	4131	↓			-1.79575	0.0015681	1		True		gwas_bmd	BMD		False			38.0	C
AP1B1	Ap1b1	162	↓	-0.405882	0.0242471	-0.751009	6.61726e-06	2	True	False		gwas_bmd	BMD		False			38.0	C
PHOSPHO1	Phospho1	162466	↓			-0.750972	0.0018132	1		True		gwas_strong	BMD|fracture		False			38.0	B
MKI67	Mki67	4288	↓	-0.738326	1.70596e-05	-0.717775	3.21286e-05	2	True	False		gwas_bmd	BMD		False			37.9	C
CEBPD	Cebpd	1052	↑	0.733251	4.03266e-08	0.323598	0.0294549	2	True	False		gwas_bmd	BMD		False			37.9	C
GFRA2	Gfra2	2675	↓			-0.733238	0.00651253	1		True		gwas_strong	osteoporosis		False			37.9	B
HDAC5	Hdac5	10014	↓			-0.73163	5.94601e-05	1		True		gwas_strong	BMD|fracture		False			37.9	B
SH3PXD2B	Sh3pxd2b	285590	↓			-0.731511	0.0120705	1		True		gwas_strong	BMD|fracture		False			37.9	B
CSF1R	Csf1r	1436	↓			-0.729983	0.0104163	1		True		gwas_strong	BMD|fracture		False			37.9	B
SMPDL3A	Smpdl3a	10924	↑	0.728136	1.53306e-15	0.397554	4.59641e-05	2	True	False		gwas_bmd	BMD		False			37.9	C
DAG1	Dag1	1605	↓			-0.72631	0.00542745	1		True		gwas_strong	BMD|osteoporosis		False			37.8	B
FAM167A	Fam167a	83648	↓			-0.725502	0.0241534	1		True		gwas_strong	BMD|osteoporosis		False			37.8	B
MED12	Med12	9968	↓	-0.537597	0.00820678	-0.722301	0.000225633	2	True	False		gwas_bmd	BMD		False			37.8	C
NUP210	Nup210	23225	↓			-0.715496	6.22256e-05	1		True		gwas_strong	osteoporosis		False			37.8	B
EIF5A	Eif5a	1984	↑	0.418609	5.18231e-05			1		False		mendelian		Osteoporosis|Osteopenia	False			37.8	B
FAM205A	Fam205a1	259308	↓	-1.11801	0.0409577	-1.15513	0.00511442	2	True	False		none			False	marrow-selective	0.0	37.7	C
	Fam205a1	389715	↓	-1.11801	0.0409577	-1.15513	0.00511442	2	True	False		none			False	marrow-selective	0.0	37.7	C
PITPNM2	Pitpnm2	57605	↓			-0.712483	0.000746618	1		True		gwas_strong	fracture		True			37.7	B
MTOR	Mtor	2475	↓			-0.711158	5.27363e-05	1		True		gwas_strong	BMD|fracture		False			37.7	B
SLC20A1	Slc20a1	6574	↓	-0.707665	7.68384e-07	-0.64222	8.67541e-06	2	True	False		gwas_bmd	BMD		False			37.7	C
TNS1	Tns1	7145	↓	-0.570212	0.0249041	-0.698195	0.0047534	2	True	False		gwas_bmd	BMD		False			37.7	C
NCOR2	Ncor2	9612	↓			-0.697909	0.00313953	1		True		gwas_strong	BMD|fracture		False			37.7	B
H4C9	H4c4	8294	↑	0.409474	0.010756			1		False		mendelian		Osteoporosis|Osteopenia	False			37.7	B
H4C3	H4c4	8364	↑	0.409474	0.010756			1		False		mendelian		Osteoporosis|Osteopenia	False			37.7	B
	Smpd5	392275	↑	1.13757	6.36016e-05	0.633397	0.046492	2	True	False		none			False	intermediate	2.0	37.6	C
MS4A4A	Ms4a4b	51338	↑	0.464026	0.00552951	0.693285	0.0219654	2	True	False		gwas_bmd	BMD		False			37.6	C
NFKB2	Nfkb2	4791	↓			-0.691657	0.00460542	1		True		gwas_strong	BMD|fracture		False			37.6	B
INPPL1	Inppl1	3636	↓			-0.690531	0.0414132	1		True		gwas_strong	BMD|fracture		False			37.6	B
RBM44	Rbm44	375316	↓	-1.11966	0.0190059	-1.0174	0.0288801	2	True	False		none			False	intermediate	2.0	37.5	C
EHBP1L1	Ehbp1l1	254102	↓	-0.374825	0.00764883	-0.66188	4.39386e-07	2	True	False		gwas_bmd	BMD		False			37.4	C
PSTPIP1	Pstpip1	9051	↑	0.361219	0.00531453			1		False		mendelian		Osteoporosis	False			37.4	B
DOHH	Dohh	83475	↑	0.353426	0.0125577			1		False		mendelian		Osteoporosis|Osteopenia	False			37.4	B
MMP14	Mmp14	4323	↓			-0.651556	0.00774159	1		True		gwas_strong	BMD|fracture|osteolysis_necrosis		False			37.3	B
APRT	Aprt	353	↑	0.648745	6.935e-07	0.370728	0.00862784	2	True	False		gwas_bmd	BMD		False			37.3	C
BCL2	Bcl2	596	↑			0.638162	2.85039e-05	1		True		gwas_strong	BMD|fracture		False			37.3	B
ZNF142	Zfp142	7701	↓	-0.343048	0.0282684			1		False		mendelian		Osteoporosis|Osteopenia	False			37.3	B
MED13	Med13	9969	↓	-0.341185	0.0215015			1		False		mendelian		Osteoporosis|Osteopenia	False			37.3	B
HTT	Htt	3064	↓	-0.338869	0.0096139			1		False		mendelian		Osteoporosis|Osteopenia	False			37.3	B
KAT2A	Kat2a	2648	↓			-0.636121	0.00305092	1		True		gwas_strong	BMD|fracture		False			37.2	B
RPL30	Rpl30	6156	↑	0.62581	1.91773e-05	0.604254	4.0772e-05	2	True	False		gwas_bmd	BMD		False			37.2	C
CCNE1	Ccne1	898	↓	-0.361015	0.042204	-0.622128	0.000142861	2	True	False		gwas_bmd	BMD		False			37.1	C
BCL9L	Bcl9l	283149	↓			-0.617645	0.0391573	1		True		gwas_strong	BMD|fracture		False			37.1	B
PLPP3	Plpp3	8613	↓	-0.616634	0.0281965	-0.600297	0.0355237	2	True	False		gwas_bmd	BMD		False			37.1	C
RPS21	Rps21	6227	↑	0.481396	0.0113263	0.615224	0.000765696	2	True	False		gwas_bmd	BMD		False			37.1	C
KLF3	Klf3	51274	↓	-0.614312	0.000105652	-0.528469	0.00111612	2	True	False		gwas_bmd	BMD		False			37.1	C
TRIB1	Trib1	10221	↑			0.614063	0.0264862	1		True		gwas_strong	osteoporosis		False			37.1	B
E2F7	E2f7	144455	↓	-0.501909	0.00112062	-0.613942	5.63654e-05	2	True	False		gwas_bmd	BMD		False			37.1	C
JUP	Jup	3728	↓			-0.600768	0.0167787	1		True		gwas_strong	BMD|fracture		False			37.0	B
PGAP6	Pgap6	58986	↓			-0.599072	4.39611e-05	1		True		gwas_strong	fracture		False			37.0	B
TCOF1	Tcof1	6949	↓			-0.597383	0.0230987	1		True		gwas_strong	BMD|fracture		False			37.0	B
PTCH1	Ptch1	5727	↓			-0.595755	0.00216625	1		True		gwas_strong	BMD|fracture		False			37.0	B
NEIL3	Neil3	55247	↓	-0.478558	0.00361845	-0.593741	0.000174746	2	True	False		gwas_bmd	BMD		False			37.0	C
ASXL2	Asxl2	55252	↓	-0.292651	0.00951727			1		False		mendelian	fracture|osteoporosis	Osteoporosis	False			37.0	B
DOP1B	Dop1b	9980	↓			-0.58998	0.0026078	1		True		gwas_strong	BMD|fracture		False			36.9	B
TNFRSF1B	Tnfrsf1b	7133	↓			-0.587101	0.0429408	1		True		gwas_strong	BMD|fracture		False			36.9	B
PPP1R3B	Ppp1r3b	79660	↑			0.585791	0.0114663	1		True		gwas_strong	BMD|fracture		False			36.9	B
PBX3	Pbx3	5090	↓			-0.585541	0.000339428	1		True		gwas_strong	BMD|fracture		False			36.9	B
FXYD5	Fxyd5	53827	↑	0.583538	6.35705e-05	0.489416	0.00111226	2	True	False		gwas_bmd	BMD		False			36.9	C
HROB	Hrob	78995	↓			-0.581061	0.00214123	1		True		gwas_strong	BMD|fracture		False			36.9	B
LIPE	Lipe	3991	↓			-0.577584	0.0164118	1		True		gwas_strong	BMD|fracture		False			36.9	B
GATM	Gatm	2628	↑	0.280992	0.0392654			1		False		mendelian		Osteopenia|Fracture	False			36.9	B
MAP3K1	Map3k1	4214	↓	-0.455315	0.00707764	-0.576963	0.000430682	2	True	False		gwas_bmd	BMD		False			36.8	C
ADAMTS14	Adamts14	140766	↓			-0.57629	0.0365919	1		True		gwas_strong	fracture		False			36.8	B
HDAC6	Hdac6	10013	↓			-0.572382	0.0114951	1		True		gwas_strong	BMD|fracture		False			36.8	B
PLEKHM1	Plekhm1	9842	↓			-0.564146	0.0193837	1		True		gwas_strong	BMD|fracture		False			36.8	B
COPS9	Cops9	150678	↑	0.563917	0.00089693	0.468591	0.00674875	2	True	False		gwas_bmd	BMD		False			36.8	C
NIPAL3	Nipal3	57185	↓			-0.563709	0.00130848	1		True		gwas_strong	osteoporosis		False			36.8	B
GATA2	Gata2	2624	↓			-0.563073	0.0301463	1		True		gwas_strong	BMD|osteoporosis		False			36.8	B
PPP2CA	Ppp2ca	5515	↑	0.273378	0.000687			1		False		mendelian	BMD	Osteoporosis|Osteopenia	False			36.8	B
HRH1	Hrh1	3269	↑			1.59903	0.0423401	1		True		gwas_bmd	BMD		False			36.7	C
NAA38	Naa38	84316	↑	0.561974	2.8308e-05	0.455517	0.000758084	2	True	False		gwas_bmd	BMD		False			36.7	C
UNK	Unk	85451	↓	-0.47173	0.00595664	-0.561432	0.00134298	2	True	False		gwas_bmd	BMD		False			36.7	C
SGSH	Sgsh	6448	↓			-0.559384	0.0350681	1		True		gwas_strong	BMD|fracture		False			36.7	B
KLHL12	Klhl12	59349	↓	-0.559375	1.99481e-07	-0.433747	7.24725e-05	2	True	False		gwas_bmd	BMD		False			36.7	C
FAM120A	Fam120a	23196	↓			-0.558348	5.78657e-06	1		True		gwas_strong	BMD|fracture		False			36.7	B
DVL3	Dvl3	1857	↓			-0.558284	0.00724471	1		True		gwas_strong	BMD|fracture|osteoporosis		False			36.7	B
KREMEN1	Kremen1	83999	↓			-0.552378	0.0462721	1		True		gwas_strong	BMD|fracture		False			36.7	B
AAAS	Aaas	8086	↓			-0.551525	0.00745156	1		True		gwas_strong	BMD|osteoporosis		False			36.7	B
CLCN7	Clcn7	1186	↓			-0.549014	0.005542	1		True		gwas_strong	BMD|fracture		False			36.7	B
TNFSF12-TNFSF13	Tnfsf12	407977	↓			-0.546237	0.0487625	1		True		gwas_strong	osteoporosis		False			36.6	B
TNFSF12	Tnfsf12	8742	↓			-0.546237	0.0487625	1		True		gwas_strong	osteoporosis		False			36.6	B
CD53	Cd53	963	↑	0.542941	6.03456e-08	0.352574	0.000794796	2	True	False		gwas_bmd	BMD		False			36.6	C
AGAP1	Agap1	116987	↓			-0.542701	0.000592397	1		True		gwas_strong	osteoporosis		False			36.6	B
HPRT1	Hprt	3251	↑	0.540812	1.55475e-05	0.346577	0.00888173	2	True	False		gwas_bmd	BMD		False			36.6	C
IFIH1	Ifih1	64135	↓	-0.539208	0.000371829	-0.368146	0.0192184	2	True	False		gwas_bmd	BMD		False			36.6	C
ERCC2	Ercc2	2068	↓			-0.536592	0.0433546	1		True		gwas_strong	BMD|fracture		False			36.6	B
CST7	Cst7	8530	↑	0.390714	0.00648911	0.533662	0.000102525	2	True	False		gwas_bmd	BMD		False			36.6	C
APOC2	Apoc2	344	↑			0.529645	0.0142694	1		True		gwas_strong	fracture		False			36.5	B
RASA2	Rasa2	5922	↑	0.388258	0.0173725	0.526777	0.000702263	2	True	False		gwas_bmd	BMD		False			36.5	C
NFIA	Nfia	4774	↓	-0.52609	0.0179754	-0.519518	0.0197604	2	True	False		gwas_bmd	BMD		False			36.5	C
ID2	Id2	3398	↑	0.524014	0.000865028	0.482299	0.00233952	2	True	False		gwas_bmd	BMD		False			36.5	C
ZBTB40	Zbtb40	9923	↓			-0.520789	0.0229262	1		True		gwas_strong	BMD|fracture|osteoporosis		False			36.5	B
TBCA	Tbca	6902	↑	0.465779	0.00466545	0.516933	0.0011427	2	True	False		gwas_bmd	BMD		False			36.4	C
DROSHA	Drosha	29102	↓			-0.515762	0.00738653	1		True		gwas_strong	BMD|fracture		False			36.4	B
NFATC2	Nfatc2	4773	↓			-0.51573	0.0422344	1		True		gwas_strong	BMD|osteoporosis		False			36.4	B
GLRX3	Glrx3	10539	↑	0.510581	0.000772848	0.372791	0.0182918	2	True	False		gwas_bmd	BMD		False			36.4	C
SBNO2	Sbno2	22904	↓			-0.508653	0.00676111	1		True		gwas_strong	BMD|fracture		False			36.4	B
DAAM1	Daam1	23002	↓	-0.507298	0.00258543	-0.494727	0.00327393	2	True	False		gwas_bmd	BMD		False			36.4	C
ATP5MF	Atp5mf	9551	↑	0.506449	0.0030346	0.365345	0.0402183	2	True	False		gwas_bmd	BMD		False			36.4	C
TMEM132E	Tmem132e	124842	↓	-0.892995	0.0256366	-1.69846	2.22375e-05	2	True	False		none			False			36.3	C
PROKR1	Prokr1	10887	↓	-0.496411	0.0249041	-0.464896	0.0360959	2	True	False		gwas_bmd	BMD		False			36.3	C
MTFR1	Mtfr1	9650	↓	-0.494035	0.000971182	-0.340859	0.0303444	2	True	False		gwas_bmd	BMD		False			36.3	C
ZFP36L1	Zfp36l1	677	↓			-0.491459	0.00880484	1		True		gwas_strong	BMD|fracture		False			36.3	B
FBXW8	Fbxw8	26259	↓			-0.489277	0.00749003	1		True		gwas_strong	fracture		False			36.3	B
BRCA2	Brca2	675	↓	-0.472753	0.0167376	-0.489178	0.0123604	2	True	False		gwas_bmd	BMD		False			36.3	C
PLA2G6	Pla2g6	8398	↓			-0.488751	0.0224388	1		True		gwas_strong	fracture		False			36.3	B
TGFBR1	Tgfbr1	7046	↑	0.1974	0.0348767			1		False		mendelian	BMD|fracture	Osteoporosis	False			36.3	B
HNRNPC	Hnrnpc	3183	↑	0.194915	0.0302288			1		False		mendelian		Osteoporosis|Osteopenia	False			36.3	B
TNS3	Tns3	64759	↓			-0.485536	0.00767964	1		True		gwas_strong	BMD|fracture		False			36.2	B
TROAP	Troap	10024	↓	-0.484714	0.0032668	-0.46678	0.00621957	2	True	False		gwas_bmd	BMD		False			36.2	C
PRKAR2A	Prkar2a	5576	↑	0.428119	0.000963261	0.479903	0.000273538	2	True	False		gwas_bmd	BMD		False			36.2	C
SUN1	Sun1	23353	↓	-0.479739	0.000269817	-0.47662	0.0003227	2	True	False		gwas_bmd	BMD		False			36.2	C
RARG	Rarg	5916	↓			-0.478385	0.0170248	1		True		gwas_strong	BMD|fracture		False			36.2	B
MRPL1	Mrpl1	65008	↑	0.460841	0.00132238	0.477601	0.000585966	2	True	False		gwas_bmd	BMD		False			36.2	C
PPIB	Ppib	5479	↑	0.476998	0.000171094	0.284699	0.0374034	2	True	False		gwas_bmd	BMD|OI		False			36.2	C
PYGO2	Pygo2	90780	↓			-0.470848	0.012891	1		True		gwas_strong	BMD|fracture		False			36.1	B
IPCEF1	Ipcef1	26034	↑	0.368203	0.00496294	0.470607	0.000193664	2	True	False		gwas_bmd	BMD		False			36.1	C
LBR	Lbr	3930	↓			-0.470591	1.22458e-05	1		True		gwas_strong	BMD|fracture		False			36.1	B
LRRC20	Lrrc20	55222	↓			-0.470141	0.0316762	1		True		gwas_strong	osteoporosis		False			36.1	B
NDRG1	Ndrg1	10397	↓			-0.46937	0.041308	1		True		gwas_strong	osteoporosis		False			36.1	B
PLXND1	Plxnd1	23129	↓			-0.466629	0.0143248	1		True		gwas_strong	BMD|fracture		False			36.1	B
PDCD6	Pdcd6	10016	↑	0.348225	0.0226449	0.462343	0.00140721	2	True	False		gwas_bmd	BMD		False			36.1	C
ANKRD9	Ankrd9	122416	↓			-0.457872	0.0137104	1		True		gwas_strong	BMD|osteoporosis		False			36.1	B
NFIC	Nfic	4782	↓			-1.50328	1.8543e-06	1		True		gwas_bmd	BMD		False			36.0	C
CAPZB	Capzb	832	↑	0.398199	5.57908e-05	0.456246	2.95607e-06	2	True	False		gwas_bmd	BMD		False			36.0	C
STK11	Stk11	6794	↓			-0.453615	1.5902e-06	1		True		gwas_strong	BMD|fracture		False			36.0	B
PAK1	Pak1	5058	↑	0.297375	0.0154732	0.452405	0.000106326	2	True	False		gwas_bmd	BMD		False			36.0	C
TMEM165	Tmem165	55858	↑	0.449563	5.01292e-07	0.228406	0.02042	2	True	False		gwas_bmd	BMD		False			36.0	C
CYCS	Cycs	54205	↑	0.448988	0.00351095	0.434925	0.00449195	2	True	False		gwas_bmd	BMD		False			36.0	C
WNK1	Wnk1	65125	↓	-0.437886	0.00342164	-0.446546	0.00269854	2	True	False		gwas_bmd	BMD		False			36.0	C
SMTN	Smtn	6525	↓			-0.446124	0.0295708	1		True		gwas_strong	fracture		False			36.0	B
PTPN11	Ptpn11	5781	↓			-0.444111	0.000248966	1		True		gwas_strong	BMD|fracture		False			36.0	B
UNC119	Unc119	9094	↑	0.443625	1.06404e-05	0.25886	0.018083	2	True	False		gwas_bmd	BMD		False			36.0	C
ZCCHC24	Zcchc24	219654	↓			-0.44362	0.00240699	1		True		gwas_strong	fracture		False			36.0	B
CHD4	Chd4	1108	↓			-0.443555	0.0172589	1		True		gwas_strong	fracture		False			36.0	B
UGDH	Ugdh	7358	↑	0.415506	1.96085e-05	0.443009	6.09489e-06	2	True	False		gwas_bmd	BMD		False			36.0	C
RPL13	Rpl13	6137	↑	0.440756	0.00858361	0.354475	0.0406849	2	True	False		gwas_bmd	BMD		False			35.9	C
CABIN1	Cabin1	23523	↓	-0.312566	0.0338714	-0.439454	0.00175744	2	True	False		gwas_bmd	BMD		False			35.9	C
TBC1D23	Tbc1d23	55773	↑			0.436709	0.00108955	1		True		gwas_strong	osteoporosis		False			35.9	B
RSL24D1	Rsl24d1	51187	↑			0.43349	0.000365511	1		True		gwas_strong	fracture		False			35.9	B
SMO	Smo	6608	↓			-0.432329	0.0440582	1		True		gwas_strong	BMD|fracture		False			35.9	B
MSRA	Msra	4482	↑	0.423366	0.00069836	0.429235	0.000591944	2	True	False		gwas_bmd	BMD		False			35.9	C
ARMC2	Armc2	84071	↑			1.47505	0.0320817	1		True		gwas_bmd	BMD		False			35.8	C
POFUT1	Pofut1	23509	↓	-0.273164	0.0263937	-0.42471	0.000266364	2	True	False		gwas_bmd	BMD		False			35.8	C
PRKCQ	Prkcq	5588	↑			0.423529	0.00112849	1		True		gwas_strong	BMD|fracture|osteoporosis		False			35.8	B
IRF2BP2	Irf2bp2	359948	↓			-0.42199	0.0359948	1		True		gwas_strong	BMD|fracture		False			35.8	B
SRP19	Srp19	6728	↑	0.421202	0.00379022	0.302308	0.0442043	2	True	False		gwas_bmd	BMD		False			35.8	C
BCL2L11	Bcl2l11	10018	↓			-0.418835	0.00814654	1		True		gwas_strong	BMD|fracture		False			35.8	B
ATXN7L3	Atxn7l3	56970	↓			-0.4187	0.0376271	1		True		gwas_strong	BMD|fracture		False			35.8	B
PLA2G4A	Pla2g4a	5321	↑	0.417372	0.00365832	0.335132	0.0230058	2	True	False		gwas_bmd	BMD		False			35.8	C
RAD21	Rad21	5885	↓	-0.262764	0.0198212	-0.412495	9.38765e-05	2	True	False		gwas_bmd	BMD		False			35.7	C
