humanSymbol	symbol	hEntrez	direction	l2fc_WT	p_WT	l2fc_KO	p_KO	n_arms	both_samedir	nrf2_dependent	bone_role	bone_evidence	digcfde_bonecat	rdkg_pheno	osteoarthritis	specificity	nTissues	priority	tier
SETD1A	Setd1a	9739	↓			-0.723141	0.00170937	1		True		mendelian	BMD|fracture	Osteoporosis|Osteopenia	False			47.8	B
SLC6A20	Slc6a20b	54716	↓	-1.12702	0.00065797	-0.875703	0.000349244	2	True	False		gwas_strong	osteoporosis		False	systemic	4.0	47.5	B
MMP9	Mmp9	4318	↓			-0.672	0.0381	1		True	osteoclast MMP	canonical			False			47.5	B
CSTA	Stfa2	1475	↑	2.5763	2.41814e-08	1.7373	0.0394027	2	True	False		none			False	intermediate	2.0	47.2	C
C4A|LOC110384692	C4b	720	↓	-1.08041	0.00488306	-0.794869	0.0473933	2	True	False		gwas_strong	osteoporosis		False	systemic	10.0	47.2	B
C4B	C4b	721	↓	-1.08041	0.00488306	-0.794869	0.0473933	2	True	False		gwas_strong	osteoporosis		False	systemic	10.0	47.2	B
ZMIZ1	Zmiz1	57178	↓			-0.636561	0.0255408	1		True		mendelian	BMD	Osteoporosis|Osteopenia	False			47.2	B
NUAK1	Nuak1	9891	↓	-1.06082	2.8177e-07	-0.831421	0.000179816	2	True	False		gwas_strong	BMD|fracture		False	systemic	9.0	47.1	B
TNK2	Tnk2	10188	↓	-0.454734	0.0396006	-1.0595	1.349e-07	2	True	False		gwas_strong	osteoporosis		False			47.1	B
NFATC1	Nfatc1	4772	↓			-0.598	0.0278	1		True	master osteoclast TF	canonical	BMD|fracture		False			47.0	B
PRPF8	Prpf8	10594	↓			-0.582068	0.0171586	1		True		mendelian		Osteoporosis|Osteopenia	False			46.9	B
E2F2	E2f2	1870	↓	-0.481711	0.00136322	-1.02503	3.98071e-13	2	True	False		gwas_strong	BMD|fracture		False			46.8	B
CNOT3	Cnot3	4849	↓			-0.553704	0.00887788	1		True		mendelian	BMD	Osteoporosis|Osteopenia	False			46.7	B
EMC10	Emc10	284361	↓			-0.537968	5.73776e-06	1		True		mendelian		Osteoporosis|Osteopenia	False			46.6	B
