geneEntrez	digcfde_bonecats
123169	BMD|fracture
1232	osteoporosis
1235	osteoporosis
123803	BMD
124359	BMD
1244	fracture
124540	osteoporosis
124565	BMD
124801	BMD|fracture
124872	osteoporosis
124935	BMD
124976	BMD|fracture
125150	fracture
125228	BMD|fracture
125336	osteoporosis
125893	BMD|osteoporosis
126014	BMD
1261	osteoporosis
126248	BMD
126272	BMD|fracture
126626	osteoporosis
126792	BMD
1268	BMD|fracture
127018	BMD|fracture
1271	osteoporosis
127255	osteoporosis
127540	BMD
127665	BMD|osteolysis_necrosis
1277	BMD|OI|fracture|osteolysis_necrosis
127707	osteoporosis
1278	BMD|OI|fracture
127933	BMD
1280	BMD|fracture|osteolysis_necrosis
1281	BMD
1282	BMD
1284	BMD
128553	BMD
1289	osteoporosis
128954	osteoporosis
128989	BMD|fracture
1290	BMD
1291	BMD|fracture|osteoporosis
1295	osteoporosis
129563	BMD|fracture
129684	BMD
129787	osteoporosis
129868	fracture
129880	BMD|osteoporosis
1300	BMD|fracture
130013	BMD|fracture
130026	fracture
1301	BMD|fracture
1302	BMD
1303	BMD|fracture
130497	BMD|fracture
1305	BMD
130502	osteoporosis
130507	BMD
130589	BMD
1308	osteoporosis
130827	BMD
1311	BMD|fracture
131405	BMD
131583	osteoporosis
1316	BMD
131616	BMD|fracture
132001	BMD
132430	BMD|osteoporosis
132625	BMD|osteoporosis
132671	osteolysis_necrosis
132864	fracture
132884	BMD|fracture|osteolysis_necrosis
133015	osteoporosis
133121	BMD
133308	BMD
133522	BMD|osteolysis_necrosis
133619	BMD
134145	BMD
134266	BMD
134285	BMD
134701	BMD|fracture
135	BMD
135228	BMD|fracture
135935	osteoporosis
1363	BMD
136319	fracture|osteoporosis
136371	BMD
1368	fracture
1369	BMD
137075	BMD
137392	BMD
1374	BMD
137695	BMD
137735	BMD
137868	BMD
137970	BMD|osteoporosis
1381	osteoporosis
1385	BMD|fracture
1386	BMD
138639	BMD
1387	BMD|fracture
138715	osteoporosis
138716	osteoporosis
139285	BMD|fracture
1394	BMD|fracture
1400	osteoporosis
140460	BMD
140461	BMD
140578	osteoporosis
1406	BMD
140606	fracture
140625	BMD
140628	BMD|fracture
1407	BMD
140733	BMD
140766	fracture
140803	BMD
1409	BMD
1419	osteoporosis
1420	osteoporosis
1421	osteoporosis
142680	BMD
143098	BMD
1432	BMD|fracture
143279	osteoporosis
1435	BMD|fracture
1436	BMD|fracture
143630	osteoporosis
143662	osteoporosis
143872	BMD
1441	BMD
144165	BMD|fracture|osteoporosis
144233	BMD
144347	BMD|osteoporosis
144348	osteoporosis
144402	osteoporosis
144423	BMD
144455	BMD
144699	BMD|fracture|osteoporosis
144717	osteolysis_necrosis
144809	BMD|osteoporosis
1452	BMD
145258	BMD|fracture
