hEntrez,humanSymbol,mouse_symbols,log2fc,log2fc_mean,adj_p_value,n_mouse_map,sign_flip,assay,osd,tissue,organism
63924,CIDEC,Cidec,-1.2933,-1.2933,0.0226783,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-101-315b0669c5d09d5618b4b25934569250,OSD-101,gastrocnemius,Mus musculus
5329,PLAUR,Plaur,-1.293,-1.293,0.00109851,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-101-315b0669c5d09d5618b4b25934569250,OSD-101,gastrocnemius,Mus musculus
10417,SPON2,Spon2,1.2653,1.2653,0.00977923,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-101-315b0669c5d09d5618b4b25934569250,OSD-101,gastrocnemius,Mus musculus
6659,SOX4,Sox4,1.2647,1.2647,1.17726e-06,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-101-315b0669c5d09d5618b4b25934569250,OSD-101,gastrocnemius,Mus musculus
93107,KCNG4,Kcng4,1.2413,1.2413,7.56073e-07,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-101-315b0669c5d09d5618b4b25934569250,OSD-101,gastrocnemius,Mus musculus
3754,KCNF1,Kcnf1,1.2305,1.2305,0.0063503,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-101-315b0669c5d09d5618b4b25934569250,OSD-101,gastrocnemius,Mus musculus
5346,PLIN1,Plin1,-1.225,-1.225,0.0211885,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-101-315b0669c5d09d5618b4b25934569250,OSD-101,gastrocnemius,Mus musculus
7803,PTP4A1,Ptp4a1,-1.1638,-1.1638,0.0028961,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-101-315b0669c5d09d5618b4b25934569250,OSD-101,gastrocnemius,Mus musculus
1263,PLK3,Plk3,-1.1617,-1.1617,0.0339256,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-101-315b0669c5d09d5618b4b25934569250,OSD-101,gastrocnemius,Mus musculus
23237,ARC,Arc,-1.1602,-1.1602,0.0438594,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-101-315b0669c5d09d5618b4b25934569250,OSD-101,gastrocnemius,Mus musculus
4489,MT1A,Mt1,1.1384,1.1384,0.000324107,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-101-315b0669c5d09d5618b4b25934569250,OSD-101,gastrocnemius,Mus musculus
4494,MT1F,Mt1,1.1384,1.1384,0.000324107,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-101-315b0669c5d09d5618b4b25934569250,OSD-101,gastrocnemius,Mus musculus
4500,MT1L,Mt1,1.1384,1.1384,0.000324107,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-101-315b0669c5d09d5618b4b25934569250,OSD-101,gastrocnemius,Mus musculus
4499,MT1M,Mt1,1.1384,1.1384,0.000324107,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-101-315b0669c5d09d5618b4b25934569250,OSD-101,gastrocnemius,Mus musculus
4496,MT1H,Mt1,1.1384,1.1384,0.000324107,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-101-315b0669c5d09d5618b4b25934569250,OSD-101,gastrocnemius,Mus musculus
4495,MT1G,Mt1,1.1384,1.1384,0.000324107,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-101-315b0669c5d09d5618b4b25934569250,OSD-101,gastrocnemius,Mus musculus
