signature,trait,K,k,n,N,expected,fold,p,fdr
all,Primary bone dysplasia with decreased bone density,53,6,2686,21710,6.56,0.92,0.6543520754283225,0.6805261584454554
all,Hip fracture,157,16,2686,21710,19.42,0.82,0.8296939460758318,0.8296939460758318
bone_marrow,Primary bone dysplasia with defective bone mineralization,246,12,395,21710,4.48,2.68,0.0019284194897130822,0.02843842459650531
bone_marrow,heel bone mineral density,888,28,395,21710,16.16,1.73,0.003554803074563164,0.02843842459650531
bone_marrow,hip bone mineral density,80,5,395,21710,1.46,3.44,0.015355611536511847,0.08189659486139651
bone_marrow,Heel quantitative ultrasound estimated bone mineral density (eBMD),1036,28,395,21710,18.85,1.49,0.024486843214865207,0.09469243141657543
bone_marrow,Femoral neck bone mineral density,782,22,395,21710,14.23,1.55,0.02959138481767982,0.09469243141657543
bone_marrow,Total body bone mineral density,952,25,395,21710,17.32,1.44,0.04310543377365971,0.1149478233964259
bone_marrow,Bone fracture,588,16,395,21710,10.7,1.5,0.07273262903884221,0.1632442991233535
bone_marrow,Primary bone dysplasia with increased bone density,418,12,395,21710,7.61,1.58,0.08162214956167675,0.1632442991233535
bone_marrow,Forearm fracture,843,20,395,21710,15.34,1.3,0.1379771465162517,0.2452927049177808
bone_marrow,bone density,717,17,395,21710,13.05,1.3,0.16216037564555316,0.2504945560166851
bone_marrow,Lumbar spine bone mineral density,627,15,395,21710,11.41,1.31,0.172215007261471,0.2504945560166851
bone_marrow,Osteopetrosis and related disorders,346,8,395,21710,6.3,1.27,0.2957885264486781,0.39438470193157077
bone_marrow,Total body (less head) bone mineral density,221,5,395,21710,4.02,1.24,0.3752909524347967,0.4618965568428267
bone_marrow,EHR-defined osteoporosis,229,3,395,21710,4.17,0.72,0.7895023630797766,0.9022884149483161
bone_marrow,Forearm bone mineral density,343,4,395,21710,6.24,0.64,0.8733676535949846,0.9315921638346503
bone_marrow,EHR-defined osteoporosis (dominant model),328,3,395,21710,5.97,0.5,0.9395711242841479,0.9395711242841479
core,Total body bone mineral density,952,59,777,21710,34.07,1.73,3.058718452132834e-05,0.0007340924285118803
core,Forearm fracture,843,50,777,21710,30.17,1.66,0.00034658479563267193,0.004159017547592063
core,Lumbar spine bone mineral density,627,36,777,21710,22.44,1.6,0.003810201223293477,0.02846400228979705
core,Bone fracture,588,33,777,21710,21.04,1.57,0.007578579355659632,0.02846400228979705
core,heel bone mineral density,888,46,777,21710,31.78,1.45,0.007931804511433894,0.02846400228979705
core,Primary bone dysplasia with increased bone density,418,25,777,21710,14.96,1.67,0.00891768680487013,0.02846400228979705
core,Heel quantitative ultrasound estimated bone mineral density (eBMD),1036,52,777,21710,37.08,1.4,0.008951805100037184,0.02846400228979705
core,Femoral neck bone mineral density,782,41,777,21710,27.99,1.46,0.009749559287522695,0.02846400228979705
core,bone density,717,38,777,21710,25.66,1.48,0.010674000858673894,0.02846400228979705
core,Total body (less head) bone mineral density,221,15,777,21710,7.91,1.9,0.013625281066644715,0.03270067455994732
core,Primary bone dysplasia with defective bone mineralization,246,16,777,21710,8.8,1.82,0.016054762689151247,0.03502857313996635
core,bone fracture,95,8,777,21710,3.4,2.35,0.02058103987902678,0.04116207975805356
core,osteoporosis,63,6,777,21710,2.25,2.66,0.024900584514965147,0.04597030987378181
core,volumetric bone mineral density,34,4,777,21710,1.22,3.29,0.032247084640257655,0.055280716526155974
core,Osteogenesis imperfecta,37,4,777,21710,1.32,3.02,0.0422594865641211,0.06586328549376545
core,spine bone mineral density,72,6,777,21710,2.58,2.33,0.04390885699584363,0.06586328549376545
core,hip bone mineral density,80,6,777,21710,2.86,2.1,0.06683091346938888,0.09187739548150947
core,Forearm bone mineral density,343,18,777,21710,12.28,1.47,0.0689080466111321,0.09187739548150947
core,Osteopetrosis and related disorders,346,17,777,21710,12.38,1.37,0.11760201686851667,0.13879816396429756
core,Primary bone dysplasia with decreased bone density,53,4,777,21710,1.9,2.11,0.12104816150586982,0.13879816396429756
core,EHR-defined osteoporosis,229,12,777,21710,8.2,1.46,0.12144839346876037,0.13879816396429756
core,EHR-defined osteoporosis (dominant model),328,16,777,21710,11.74,1.36,0.1315990802384189,0.14356263298736607
core,bone mineral content measurement,98,6,777,21710,3.51,1.71,0.13926630122661848,0.14532135780168884
core,Hip fracture,157,5,777,21710,5.62,0.89,0.6660559055787543,0.6660559055787543
