mEntrez	symbol	hEntrez	humanSymbol	log2fc	adj_p_value	nOther	nTissues	specificity
16524	Kcnj9	3765.0	KCNJ9	-2.21398	0.00247135	3.0	1.0	intermediate
16560	Kif1a	547.0	KIF1A	-1.3464	0.0268236	12.0	7.0	systemic
16634	Klra3			1.1672	0.0247792	7.0	3.0	systemic
17385	Mmp11	4320.0	MMP11	-1.06739	0.0213825	4.0	3.0	systemic
17474	Clec4d	338339.0	CLEC4D	1.02622	8.46057e-05	15.0	7.0	systemic
17705	ATP6	4508.0	ATP6	1.58911	8.29164e-16	12.0	6.0	systemic
17706	ATP8	4509.0	ATP8	1.56765	0.0114458	11.0	7.0	systemic
17710	COX3	4514.0	COX3	1.07212	2.2549e-07	9.0	4.0	systemic
17716	ND1	4535.0	ND1	1.06769	1.31087e-07	11.0	9.0	systemic
17718	ND3	4537.0	ND3	1.05046	9.38201e-08	16.0	8.0	systemic
17754	Map1a	4130.0	MAP1A	-1.15073	0.0375516	11.0	7.0	systemic
17896	Myl4	4635.0	MYL4	-1.01559	0.000694099	12.0	9.0	systemic
17909	Myo10	4651.0	MYO10	-1.00574	0.0252392	14.0	9.0	systemic
18185	Nrl	4901.0	NRL	-2.83785	0.000623282	6.0	3.0	systemic
18302	Oit3	170392.0	OIT3	1.59893	0.019037	8.0	5.0	systemic
18368	Olfr67	283110.0	OR52Z1P	-1.74141	0.0159043	1.0	1.0	intermediate
18510	Pax8	7849.0	PAX8	1.93957	5.42347e-05	0.0	0.0	marrow-selective
18563	Pcx	5091.0	PC	-1.03781	5.01292e-07	26.0	10.0	systemic
19193	Pipox	51268.0	PIPOX	-1.70059	0.0302288	13.0	5.0	systemic
192194	Btnl10	100129094.0		-1.11414	1.03571e-11	7.0	3.0	systemic
19270	Ptprg	5793.0	PTPRG	-1.96166	0.0102454	16.0	6.0	systemic
19274	Ptprm	5797.0	PTPRM	-1.01938	0.028217	17.0	7.0	systemic
19373	Rag1	5896.0	RAG1	-1.08582	0.000117921	7.0	4.0	systemic
19374	Rag2	5897.0	RAG2	-1.26825	1.90525e-07	7.0	2.0	intermediate
19400	Rapsn	5913.0	RAPSN	1.0152	0.0243858	8.0	6.0	systemic
194352	Trpv5	56302.0		-1.77681	0.00434867	3.0	1.0	intermediate
19725	Rfx2	5990.0	RFX2	-1.01122	3.86835e-09	8.0	6.0	systemic
20197	S100a3	6274.0	S100A3	1.85184	0.0150545	7.0	1.0	intermediate
20296	Ccl2	6347.0	CCL2	1.42364	0.00734632	15.0	9.0	systemic
20310	Cxcl2	2920.0	CXCL2	1.9011	0.00538677	8.0	4.0	systemic
20310	Cxcl2	2921.0	CXCL3	1.9011	0.00538677	8.0	4.0	systemic
20310	Cxcl2	2919.0	CXCL1	1.9011	0.00538677	8.0	4.0	systemic
20312	Cx3cl1	6376.0	CX3CL1	-1.53265	0.00179966	11.0	8.0	systemic
20497	Slc12a3	6559.0	SLC12A3	-1.06922	0.000116047	5.0	4.0	systemic
20512	Slc1a3	6507.0	SLC1A3	-1.29861	0.00668905	11.0	5.0	systemic
20562	Slit1	6585.0	SLIT1	-1.97198	4.82364e-07	8.0	5.0	systemic
20583	Snai2	6591.0	SNAI2	-1.20282	0.02461	10.0	4.0	systemic
20741	Sptb	6710.0	SPTB	-1.13692	1.18624e-09	16.0	6.0	systemic
207921	Fam228b	375190.0	FAM228B	-1.52697	0.0414253	7.0	4.0	systemic
208177	Phldb2	90102.0	PHLDB2	-1.08667	0.0119708	19.0	7.0	systemic
208366	Rpp40	10799.0	RPP40	1.19241	0.000370189	16.0	5.0	systemic
20861	Stfa1	1475.0	CSTA	1.74253	5.4749199999999995e-21	8.0	3.0	systemic
20862	Stfa2	1475.0	CSTA	2.5763	2.41814e-08	5.0	2.0	intermediate
20863	Stfa3	1475.0	CSTA	1.68272	3.07235e-09	12.0	3.0	systemic
208659	Fam20a	54757.0	FAM20A	-2.01399	0.00541153	16.0	4.0	systemic
208982	Hmgcll1	54511.0	HMGCLL1	-1.03357	0.00399295	3.0	2.0	intermediate
209039	Tns2	23371.0	TNS2	-1.13	0.0290631	25.0	12.0	systemic
21385	Tbx2	6909.0	TBX2	-1.11285	0.0141955	5.0	3.0	systemic
21669	Tdgf1-ps2			-1.58326	0.0132866	11.0	1.0	intermediate
217012	Unc45b	146862.0	UNC45B	-2.73592	0.03836	20.0	8.0	systemic
217258	Abca8a	10351.0	ABCA8	-1.70258	0.0166793	22.0	7.0	systemic
218194	Phactr1	221692.0	PHACTR1	-1.61828	0.0212644	4.0	3.0	systemic
22017	Tpmt	7172.0	TPMT	1.18577	0.0133572	12.0	7.0	systemic
22403	Ccn5	8839.0	CCN5	-1.03824	0.0380455	9.0	5.0	systemic
224405	Cyyr1	116159.0	CYYR1	-1.26188	0.0151104	10.0	6.0	systemic
225207	Zfp521	25925.0	ZNF521	-1.05236	0.0100275	14.0	7.0	systemic
22599	Slc6a20b	54716.0	SLC6A20	-1.12702	0.00065797	4.0	4.0	systemic
228911	Tshz2	128553.0	TSHZ2	-1.09507	0.0339087	15.0	7.0	systemic
233335	Synm	23336.0	SYNM	-1.09702	0.0151104	28.0	10.0	systemic
233651	Dchs1	8642.0	DCHS1	-1.35433	0.0204481	14.0	7.0	systemic
233733	Galnt18	374378.0	GALNT18	-1.38025	0.0468055	11.0	6.0	systemic
234395	Ushbp1	83878.0	USHBP1	-1.47999	0.00545964	11.0	3.0	systemic
234683	Elmo3	79767.0	ELMO3	-1.13414	0.000516162	18.0	8.0	systemic
237711	Eml6	400954.0	EML6	-1.09151	0.00906017	28.0	6.0	systemic
237940	Aoc2	314.0	AOC2	-1.1899	1.76068e-08	11.0	4.0	systemic
239027	Arhgap22	58504.0	ARHGAP22	1.38169	0.043923	5.0	5.0	systemic
23925	Kel	3792.0	KEL	-1.11179	1.34507e-08	7.0	5.0	systemic
23966	Tenm4	26011.0	TENM4	-1.27551	0.0191696	17.0	10.0	systemic
240054	D630044L22Rik			-1.00023	2.56992e-06	1.0	1.0	intermediate
240444	Kcng2	26251.0	KCNG2	-1.31267	0.0205029	5.0	4.0	systemic
24052	Sgcd	6444.0	SGCD	-1.91699	0.0229376	13.0	8.0	systemic
24117	Wif1	11197.0	WIF1	-1.58491	0.0216655	17.0	5.0	systemic
243743	Plxna4	91584.0	PLXNA4	-1.02011	0.00193326	21.0	9.0	systemic
245282	Apol10a	23780.0	APOL2	-1.78261	5.60968e-06	19.0	6.0	systemic
245282	Apol10a	80833.0	APOL3	-1.78261	5.60968e-06	19.0	6.0	systemic
245282	Apol10a	8542.0	APOL1	-1.78261	5.60968e-06	19.0	6.0	systemic
245282	Apol10a	80832.0	APOL4	-1.78261	5.60968e-06	19.0	6.0	systemic
268480	Rapgefl1	51195.0	RAPGEFL1	-1.11473	0.000414428	12.0	6.0	systemic
268885	Stfa2l1	1475.0	CSTA	1.14011	2.54464e-10	3.0	3.0	systemic
268958	Capn11	11131.0	CAPN11	-5.02029	0.019037	6.0	2.0	intermediate
26897	Acot1	10965.0	ACOT2	2.19146	3.73469e-10	24.0	12.0	systemic
26897	Acot1	641371.0	ACOT1	2.19146	3.73469e-10	24.0	12.0	systemic
27273	Pdk4	5166.0	PDK4	-1.3807	0.0473598	26.0	11.0	systemic
276829	Smtnl2	342527.0	SMTNL2	-1.18311	0.00211812	12.0	6.0	systemic
27762	Vwa7	80737.0	VWA7	-1.2179	0.0423424	15.0	8.0	systemic
278672	Duxbl1	100033411.0	DUXB	-1.48653	0.0318445	8.0	4.0	systemic
278672	Duxbl1	100288687.0	DUX4	-1.48653	0.0318445	8.0	4.0	systemic
320343	Lypd6	130574.0	LYPD6	1.36285	0.0213795	20.0	10.0	systemic
320571	Atp8b5	158381.0	ATP8B5P	1.1546	0.0155448	22.0	4.0	systemic
320587	Tmem88b	643965.0	TMEM88B	-1.3117	0.0378122	10.0	4.0	systemic
320827	Cracd	57482.0	CRACD	-1.01642	2.6399e-10	13.0	7.0	systemic
320981	Enpp6	133121.0	ENPP6	-1.37276	0.0115172	10.0	4.0	systemic
328563	Apol11b	23780.0	APOL2	-1.10296	9.94695e-05	19.0	8.0	systemic
328563	Apol11b	80833.0	APOL3	-1.10296	9.94695e-05	19.0	8.0	systemic
328563	Apol11b	8542.0	APOL1	-1.10296	9.94695e-05	19.0	8.0	systemic
328563	Apol11b	80832.0	APOL4	-1.10296	9.94695e-05	19.0	8.0	systemic
329207	Rbm44	375316.0	RBM44	-1.11966	0.0190059	5.0	2.0	intermediate
329324	Syt14	255928.0	SYT14	-1.2072	1.52473e-05	9.0	7.0	systemic
329513	A730036I17Rik			-1.27821	2.01556e-09	15.0	7.0	systemic
330409	Cecr2	27443.0	CECR2	-1.26743	1.43367e-13	23.0	9.0	systemic
333193	Proser3	148137.0	PROSER3	-1.13989	4.35873e-05	15.0	8.0	systemic
