reactome	pathway	K	k	exp	fold	p	fdr	theme
R-HSA-180534	Vpu mediated degradation of CD4	36	23	7.3	3.16	1.381852825684664e-08	2.1188409993831518e-07	Proteostasis (ubiquitin-proteasome)
R-HSA-9907900	Proteasome assembly	44	26	8.9	2.92	1.6698288542191376e-08	2.49120412845666e-07	Proteostasis (ubiquitin-proteasome)
R-HSA-8951664	Neddylation	107	47	21.7	2.17	1.8809454385023712e-08	2.732320742245549e-07	Other
R-HSA-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	37	23	7.5	3.07	2.9570136298746118e-08	4.185311599207142e-07	Immune / inflammatory
R-HSA-69481	G2/M Checkpoints	35	22	7.1	3.11	4.4451763950230274e-08	6.134343425131776e-07	Cell cycle & division
R-HSA-5678895	Defective CFTR causes cystic fibrosis	41	24	8.3	2.89	7.729313847381543e-08	1.0406295716474663e-06	Other
R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1	36	22	7.3	3.02	9.258970575411877e-08	1.1885934320063617e-06	Proteostasis (ubiquitin-proteasome)
R-HSA-75815	Ubiquitin-dependent degradation of Cyclin D	36	22	7.3	3.02	9.258970575411877e-08	1.1885934320063617e-06	Proteostasis (ubiquitin-proteasome)
R-HSA-211733	Regulation of activated PAK-2p34 by proteasome mediated degradation	34	21	6.9	3.05	1.4067950961620342e-07	1.714963279234616e-06	Proteostasis (ubiquitin-proteasome)
R-HSA-5610780	Degradation of GLI1 by the proteasome	42	24	8.5	2.82	1.4602042413773e-07	1.714963279234616e-06	Proteostasis (ubiquitin-proteasome)
R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome	42	24	8.5	2.82	1.4602042413773e-07	1.714963279234616e-06	Proteostasis (ubiquitin-proteasome)
R-HSA-5610783	Degradation of GLI2 by the proteasome	42	24	8.5	2.82	1.4602042413773e-07	1.714963279234616e-06	Proteostasis (ubiquitin-proteasome)
R-HSA-68949	Orc1 removal from chromatin	45	25	9.1	2.74	1.699543725251305e-07	1.954475284039001e-06	Other
R-HSA-174084	Autodegradation of Cdh1 by Cdh1:APC/C	37	22	7.5	2.94	1.850184076219986e-07	2.0842890001498617e-06	Proteostasis (ubiquitin-proteasome)
R-HSA-5362768	Hh mutants are degraded by ERAD	40	23	8.1	2.84	2.2818309798815298e-07	2.422251347874239e-06	Other
R-HSA-5676590	NIK-->noncanonical NF-kB signaling	40	23	8.1	2.84	2.2818309798815298e-07	2.422251347874239e-06	Other
R-HSA-174184	Cdc20:Phospho-APC/C mediated degradation of Cyclin A	40	23	8.1	2.84	2.2818309798815298e-07	2.422251347874239e-06	Proteostasis (ubiquitin-proteasome)
R-HSA-5358346	Hedgehog ligand biogenesis	43	24	8.7	2.76	2.6758456584636724e-07	2.7869184971168813e-06	Other
R-HSA-4641258	Degradation of DVL	38	22	7.7	2.86	3.5601150607757645e-07	3.57306093372404e-06	Proteostasis (ubiquitin-proteasome)
R-HSA-4641257	Degradation of AXIN	38	22	7.7	2.86	3.5601150607757645e-07	3.57306093372404e-06	Proteostasis (ubiquitin-proteasome)
R-HSA-8941858	Regulation of RUNX3 expression and activity	41	23	8.3	2.77	4.209869351453621e-07	4.076926108776137e-06	Other
R-HSA-5607761	Dectin-1 mediated noncanonical NF-kB signaling	41	23	8.3	2.77	4.209869351453621e-07	4.076926108776137e-06	Other
R-HSA-8939902	Regulation of RUNX2 expression and activity	47	25	9.5	2.63	5.212664815319294e-07	4.961018927683191e-06	ECM / bone / signaling
R-HSA-174154	APC/C:Cdc20 mediated degradation of Securin	36	21	7.3	2.88	5.544251194206253e-07	5.187163829155681e-06	Proteostasis (ubiquitin-proteasome)
R-HSA-5668541	TNFR2 non-canonical NF-kB pathway	48	25	9.7	2.57	8.808129485209709e-07	8.103479126392932e-06	Immune / inflammatory
R-HSA-5658442	Regulation of RAS by GAPs	40	22	8.1	2.72	1.191719872171637e-06	1.0784088023585962e-05	Other
R-HSA-9020702	Interleukin-1 signaling	61	29	12.3	2.35	1.4114955479523177e-06	1.2566863588220636e-05	Immune / inflammatory
R-HSA-9824272	Somitogenesis	35	20	7.1	2.82	1.6302465534764089e-06	1.4284065039983772e-05	Other
R-HSA-5607764	CLEC7A (Dectin-1) signaling	56	27	11.3	2.38	2.3119087969202737e-06	1.994021337343736e-05	Other
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	39	21	7.9	2.66	3.3084094282247973e-06	2.809603083661674e-05	Other
R-HSA-5689603	UCH proteinases	60	28	12.1	2.31	3.3998075407786417e-06	2.843475397742137e-05	Other
R-HSA-8939236	RUNX1 regulates transcription of genes involved in differentiation of HSCs	57	27	11.5	2.34	3.55596308492847e-06	2.913339880175181e-05	Other
R-HSA-9755511	KEAP1-NFE2L2 pathway	54	26	10.9	2.38	3.6755105225201833e-06	2.913339880175181e-05	Other
R-HSA-68867	Assembly of the pre-replicative complex	45	23	9.1	2.52	3.6944527465989614e-06	2.913339880175181e-05	Other
R-HSA-4608870	Asymmetric localization of PCP proteins	45	23	9.1	2.52	3.6944527465989614e-06	2.913339880175181e-05	Other
R-HSA-1169091	Activation of NF-kappaB in B cells	46	23	9.3	2.47	5.987897656267273e-06	4.6553795862810346e-05	Other
R-HSA-983168	Antigen processing: Ubiquitination & Proteasome degradation	113	43	22.9	1.88	8.103867629671596e-06	6.212965182748224e-05	Proteostasis (ubiquitin-proteasome)
R-HSA-5632684	Hedgehog 'on' state	47	23	9.5	2.42	9.503925711066149e-06	7.18653012672399e-05	Other
R-HSA-8948751	Regulation of PTEN stability and activity	51	24	10.3	2.32	1.4229246513611963e-05	0.0001061424875069	Other
R-HSA-9766229	Degradation of CDH1	48	23	9.7	2.37	1.4790927455568397e-05	0.0001088612260729	Proteostasis (ubiquitin-proteasome)
R-HSA-202424	Downstream TCR signaling	72	30	14.6	2.06	2.525283063927555e-05	0.0001834152962221	Other
R-HSA-382556	ABC-family proteins mediated transport	56	25	11.3	2.21	2.9391632936671123e-05	0.0002107036542992	Other
R-HSA-2871837	FCERI mediated NF-kB activation	66	28	13.4	2.1	3.1506546011009334e-05	0.0002229694025394	Other
R-HSA-5687128	MAPK6/MAPK4 signaling	61	26	12.3	2.11	5.4550201151911965e-05	0.000381160899188	Other
R-HSA-5205685	PINK1-PRKN Mediated Mitophagy	20	12	4.0	2.96	0.0001116100988156	0.0007701096818279	Other
R-HSA-8950505	Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation	35	17	7.1	2.4	0.0001572370928945	0.0010715416700964	Immune / inflammatory
R-HSA-2467813	Separation of Sister Chromatids	121	41	24.5	1.67	0.0002757232617726	0.0018560882987625	Other
R-HSA-163210	Formation of ATP by chemiosmotic coupling	9	7	1.8	3.84	0.0003356956556006	0.0022325783360426	Other
R-HSA-6799198	Complex I biogenesis	31	15	6.3	2.39	0.0004036055261859	0.0026522648863646	Other
R-HSA-5628897	TP53 Regulates Metabolic Genes	51	21	10.3	2.03	0.0004953637755925	0.0032169506367893	Other
R-HSA-8852276	The role of GTSE1 in G2/M progression after G2 checkpoint	58	23	11.7	1.96	0.0005183173556198	0.0033268741895602	Cell cycle & division
R-HSA-9837999	Mitochondrial protein degradation	63	24	12.8	1.88	0.0007855960464458	0.0049844714671047	Proteostasis (ubiquitin-proteasome)
R-HSA-9818027	NFE2L2 regulating anti-oxidant/detoxification enzymes	15	9	3.0	2.96	0.0008471612462275	0.0053140114536092	Other
R-HSA-189451	Heme biosynthesis	10	7	2.0	3.46	0.0009230087972206	0.0057247287198403	Other
R-HSA-1247673	Erythrocytes take up oxygen and release carbon dioxide	8	6	1.6	3.71	0.0013061722130703	0.0079231545232402	Other
R-HSA-1237044	Erythrocytes take up carbon dioxide and release oxygen	8	6	1.6	3.71	0.0013061722130703	0.0079231545232402	Other
