hEntrez	humanSymbol	symbol	l2fc_WT	p_WT	digcfde_bonecat	rdkg_pheno	osteoarthritis	bone_loss_gene	l2fc_KO	p_KO	nTissues	specificity	bone_role	sig_WT	sig_KO	n_arms	direction	maxabs	both_samedir	nrf2_dependent	bone_evidence	priority	tier
100419780		Zfp930	0.404729	0.0118314			False	False						True	False	1	↑	0.404729		False	none	12.7	C
100423062	IGLL5	Igll1					False	False	-0.588019	0.0237046				False	True	1	↓	0.588019		False	none	13.9	C
100499467	LINC00511|LINC00673	2610035D17Rik|Gm57578	-0.769249	0.049509			False	False						True	False	1	↓	0.769249		False	none	15.1	C
100505573	INAFM2	Inafm2					False	False	-0.469856	1.83694e-06				False	True	1	↓	0.469856		False	none	13.1	C
100505741	SPATA1	Spata1					False	False	0.507972	0.0447334				False	True	1	↑	0.507972		False	none	13.4	C
100506243	KRBOX1	Zfp65					False	False	0.369551	0.0417068				False	True	1	↑	0.369551		False	none	12.5	C
100506736	SLFN12L	Slfn2	0.53108	0.00190414			False	False						True	False	1	↑	0.53108		False	none	13.5	C
100507098	ADAMTS9-AS2	9530026P05Rik					False	False	-2.72275	0.00197545				False	True	1	↓	2.72275		False	none	28.2	C
100507444		Ppp1r2	0.325108	0.0115598			False	False	0.277203	0.0351226				True	True	2	↑	0.325108	True	False	none	27.2	C
10051	SMC4	Smc4	-0.293816	0.0214005			False	False						True	False	1	↓	0.293816		False	none	12.0	C
100526737	RBM14-RBM4	Rbm14			BMD		False	True	-0.75811	1.03333e-05				False	True	1	↓	0.75811		True	gwas_bmd	31.1	C
100526739	CENPS-CORT	Cenps					False	False	0.428477	0.0494028				False	True	1	↑	0.428477		False	none	12.9	C
100526767	RNF103-CHMP3	Chmp3	0.24312	0.0122593			False	False	0.27045	0.00403479				True	True	2	↑	0.27045	True	False	none	26.8	C
100532726	NDUFC2-KCTD14	Ndufc2	0.531662	0.00232283			False	False						True	False	1	↑	0.531662		False	none	13.5	C
100532731	COMMD3-BMI1	Bmi1					False	False	0.423895	0.0467546				False	True	1	↑	0.423895		False	none	12.8	C
100533106	ZHX1-C8orf76	9130401M01Rik	0.661656	1.06404e-05			False	False						True	False	1	↑	0.661656		False	none	14.4	C
100533496	TVP23C-CDRT4	Tvp23b					False	False	0.399301	0.0160275				False	True	1	↑	0.399301		False	none	12.7	C
10054	UBA2	Uba2					False	False	0.176961	0.031008				False	True	1	↑	0.176961		False	none	11.2	C
10058	ABCB6	Abcb6	-0.639568	0.0060746			False	False	-0.825516	0.000227734				True	True	2	↓	0.825516	True	False	none	30.5	C
100652748	TIMM23B	Timm23	0.44002	0.000400783			False	False	0.397662	0.00149367				True	True	2	↑	0.44002	True	False	none	27.9	C
10066	SCAMP2	Scamp2					False	False	-0.537749	0.00635478				False	True	1	↓	0.537749		False	none	13.6	C
10067	SCAMP3	Scamp3					False	False	-0.299522	0.0293365				False	True	1	↓	0.299522		False	none	12.0	C
10077	TSPAN32	Tspan32					False	False	0.18424	0.0190789				False	True	1	↑	0.18424		False	none	11.2	C
10078	TSSC4	Tssc4	0.442738	0.00139451			False	False						True	False	1	↑	0.442738		False	none	13.0	C
10083	USH1C	Ush1c	2.06124	0.00298381			False	False			0.0	marrow-selective		True	False	1	↑	2.06124		False	none	28.7	C
10092	ARPC5	Arpc5	0.421059	2.81664e-05			False	False	0.406817	5.76826e-05				True	True	2	↑	0.421059	True	False	none	27.8	C
10093	ARPC4	Arpc4	0.337858	0.00196208			False	False						True	False	1	↑	0.337858		False	none	12.3	C
10094	ARPC3	Arpc3	0.425724	1.11042e-06			False	False	0.343226	0.000135684				True	True	2	↑	0.425724	True	False	none	27.8	C
10095	ARPC1B	Arpc1b	0.37844	0.00165398			False	False	0.273425	0.0303309				True	True	2	↑	0.37844	True	False	none	27.5	C
10096	ACTR3	Actr3	0.412399	9.24969e-08	BMD		False	True	0.289666	0.000308565				True	True	2	↑	0.412399	True	False	gwas_bmd	35.7	C
10097	ACTR2	Actr2	0.351503	1.9174e-05	BMD		False	True	0.327379	8.2736e-05				True	True	2	↑	0.351503	True	False	gwas_bmd	35.3	C
10098	TSPAN5	Tspan5	0.372239	0.00385214	osteoporosis		False	True						True	False	1	↑	0.372239		False	gwas_strong	27.5	B
100996928	FMC1-LUC7L2	Fmc1	0.62651	0.00552951			False	False						True	False	1	↑	0.62651		False	none	14.2	C
101059918	GOLGA8R	Golga2					False	False	-0.516335	0.00812759				False	True	1	↓	0.516335		False	none	13.4	C
10106	CTDSP2	Ctdsp2					False	False	-0.645848	0.000927784				False	True	1	↓	0.645848		False	none	14.3	C
101060301		Hnrnpc	0.194915	0.0302288			False	False						True	False	1	↑	0.194915		False	none	11.3	C
10109	ARPC2	Arpc2	0.386534	0.000219751			False	False	0.383014	0.000266364				True	True	2	↑	0.386534	True	False	none	27.6	C
10112	KIF20A	Kif20a					False	False	-0.46274	0.00763722				False	True	1	↓	0.46274		False	none	13.1	C
10121	ACTR1A	Actr1a					False	False	-0.251003	0.0185968				False	True	1	↓	0.251003		False	none	11.7	C
10124	ARL4A	Arl4a	-0.400411	0.0457672	fracture		False	True	-0.414572	0.0350968				True	True	2	↓	0.414572	True	False	gwas_strong	42.8	B
10130	PDIA6	Pdia6	0.536888	4.19915e-06			False	False						True	False	1	↑	0.536888		False	none	13.6	C
10131	TRAP1	Trap1	0.233137	0.0125431			False	False						True	False	1	↑	0.233137		False	none	11.6	C
10133	OPTN	Optn	-0.43657	8.46057e-05			False	False	-0.285545	0.0144119				True	True	2	↓	0.43657	True	False	none	27.9	C
10134	BCAP31	Bcap31	0.232748	0.0354392			False	False	0.288003	0.0070347				True	True	2	↑	0.288003	True	False	none	26.9	C
10135	NAMPT	Nampt	0.351212	0.000424627			False	False	0.296041	0.00355631				True	True	2	↑	0.351212	True	False	none	27.3	C
10138	YAF2	Yaf2	0.373908	0.00122421			False	False						True	False	1	↑	0.373908		False	none	12.5	C
10140	TOB1	Tob1	0.359262	0.00648911			False	False						True	False	1	↑	0.359262		False	none	12.4	C
10147	SUGP2	Sugp2	-0.392351	0.000111366			False	False						True	False	1	↓	0.392351		False	none	12.6	C
10150	MBNL2	Mbnl2					False	False	0.235166	0.0372757				False	True	1	↑	0.235166		False	none	11.6	C
10153	CEBPZ	Cebpz					False	False	0.336	8.88775e-05				False	True	1	↑	0.336		False	none	12.2	C
10155	TRIM28	Trim28					False	False	-0.637053	5.74426e-05				False	True	1	↓	0.637053		False	none	14.2	C
10156	RASA4	Rasa4					False	False	-0.454581	0.0112021				False	True	1	↓	0.454581		False	none	13.0	C
10158	PDZK1IP1	Pdzk1ip1	-0.491235	0.0272959			False	False						True	False	1	↓	0.491235		False	none	13.3	C
10159	ATP6AP2	Atp6ap2	0.225726	0.0447528			False	False						True	False	1	↑	0.225726		False	none	11.5	C
10162	LPCAT3	Lpcat3	-0.421528	0.00207177			False	False	-0.569173	1.76951e-05				True	True	2	↓	0.569173	True	False	none	28.8	C
10163	WASF2	Wasf2					False	False	-0.787623	0.000419771				False	True	1	↓	0.787623		False	none	15.3	C
10169	SERF2	Serf2	0.648706	1.89971e-05			False	False	0.379876	0.0201272				True	True	2	↑	0.648706	True	False	none	29.3	C
1017	CDK2	Cdk2					False	False	-0.409037	1.98777e-06				False	True	1	↓	0.409037		False	none	12.7	C
10170	DHRS9	Dhrs9			BMD		False	True	0.762033	0.0052317				False	True	1	↑	0.762033		True	gwas_bmd	31.1	C
10175	CNIH1	Cnih1					False	False	0.281757	0.0160131				False	True	1	↑	0.281757		False	none	11.9	C
10179	RBM7	Rbm7	0.391019	0.00085546			False	False						True	False	1	↑	0.391019		False	none	12.6	C
10180	RBM6	Rbm6	-0.356974	0.00710228	BMD		True	True						True	False	1	↓	0.356974		False	gwas_bmd	20.4	C
10184	LHFPL2	Lhfpl2			osteoporosis		False	True	0.400392	0.00375314				False	True	1	↑	0.400392		True	gwas_strong	35.7	B
10188	TNK2	Tnk2	-0.454734	0.0396006	osteoporosis		False	True	-1.0595	1.349e-07				True	True	2	↓	1.0595	True	False	gwas_strong	47.1	B
1019	CDK4	Cdk4	0.291303	0.0463571	BMD		False	True	0.292673	0.0442043				True	True	2	↑	0.292673	True	False	gwas_bmd	35.0	C
101928527	PIGBOS1	Pigbos1	0.428391	0.00456899			False	False						True	False	1	↑	0.428391		False	none	12.9	C
101928991	CCDC92B	Ccdc92b	-0.748661	0.00382382			False	False	-1.21666	7.92641e-07				True	True	2	↓	1.21666	True	False	none	33.1	C
10195	ALG3	Alg3					False	False	-0.815774	0.00322214				False	True	1	↓	0.815774		False	none	15.4	C
10198	MPHOSPH9	Mphosph9	-0.392478	0.000680193			True	False	-0.276271	0.0213269				True	True	2	↓	0.392478	True	False	none	27.6	C
10199	MPHOSPH10	Mphosph10	0.492774	0.000166979			False	False	0.408473	0.00196132				True	True	2	↑	0.492774	True	False	none	28.3	C
102	ADAM10	Adam10	-0.357939	0.0011206			False	False	-0.375088	0.000576414				True	True	2	↓	0.375088	True	False	none	27.5	C
10201	NME6	Nme6	0.342286	0.0246819			False	False	0.368713	0.0106412				True	True	2	↑	0.368713	True	False	none	27.5	C
10203	CALCRL	Calcrl					False	False	0.276373	0.0445443				False	True	1	↑	0.276373		False	none	11.8	C
10204	NUTF2	Nutf2-ps1					False	False	0.970601	0.00829394				False	True	1	↑	0.970601		False	none	16.5	C
10206	TRIM13	Trim13	0.613035	0.00913957			False	False						True	False	1	↑	0.613035		False	none	14.1	C
10211	FLOT1	Flot1	0.422173	0.00115698			False	False						True	False	1	↑	0.422173		False	none	12.8	C
10213	PSMD14	Psmd14	0.274834	0.0262202			False	False	0.31453	0.00840572				True	True	2	↑	0.31453	True	False	none	27.1	C
10221	TRIB1	Trib1			osteoporosis		False	True	0.614063	0.0264862				False	True	1	↑	0.614063		True	gwas_strong	37.1	B
10226	PLIN3	Plin3	0.402021	0.020565			False	False						True	False	1	↑	0.402021		False	none	12.7	C
102288414	C11orf98	1810009A15Rik					False	False	0.419197	0.0246509				False	True	1	↑	0.419197		False	none	12.8	C
10236	HNRNPR	Hnrnpr			osteoporosis		False	True	-0.303357	0.0371423				False	True	1	↓	0.303357		True	gwas_strong	35.0	B
