disease,diseaseLabel,drug,drugLabel,relation
http://purl.obolibrary.org/obo/MONDO_0019409,idiopathic juvenile osteoporosis,https://rdaccelerate.org/resource/CTDRUG_alendronate,Alendronate,treats
http://purl.obolibrary.org/obo/MONDO_0019409,idiopathic juvenile osteoporosis,https://rdaccelerate.org/resource/CTDRUG_pamidronate,Pamidronate,treats
http://purl.obolibrary.org/obo/MONDO_0020645,autosomal dominant osteopetrosis,https://rdaccelerate.org/resource/CTDRUG_actimmune,Actimmune,treats
http://purl.obolibrary.org/obo/MONDO_0024650,drug-induced osteoporosis,http://identifiers.org/drugbank/DB00282,Pamidronic acid,treats
http://purl.obolibrary.org/obo/MONDO_0024650,drug-induced osteoporosis,http://identifiers.org/drugbank/DB00399,Zoledronic acid,treats
http://purl.obolibrary.org/obo/MONDO_0024650,drug-induced osteoporosis,http://identifiers.org/drugbank/DB01006,Letrozole,treats
http://purl.obolibrary.org/obo/MONDO_0024650,drug-induced osteoporosis,http://identifiers.org/drugbank/DB06285,Teriparatide,treats
http://purl.obolibrary.org/obo/MONDO_0024650,drug-induced osteoporosis,http://identifiers.org/drugbank/DB06643,Denosumab,treats
http://purl.obolibrary.org/obo/MONDO_0024650,drug-induced osteoporosis,https://rdaccelerate.org/resource/CTDRUG_risedronate,Risedronate,treats
http://purl.obolibrary.org/obo/MONDO_0024650,drug-induced osteoporosis,https://rdaccelerate.org/resource/CTDRUG_xianlinggubao,Xianlinggubao,treats
http://purl.obolibrary.org/obo/MONDO_0024650,drug-induced osteoporosis,https://rdaccelerate.org/resource/CTDRUG_zhongyaofufang,Zhongyaofufang,treats
http://purl.obolibrary.org/obo/MONDO_0024651,corticosteroid-induced osteoporosis,http://identifiers.org/drugbank/DB00399,Zoledronic acid,treats
http://purl.obolibrary.org/obo/MONDO_0700047,premenopausal osteoporosis,http://identifiers.org/drugbank/DB00399,Zoledronic acid,treats
http://purl.obolibrary.org/obo/MONDO_0700047,premenopausal osteoporosis,http://identifiers.org/drugbank/DB06285,Teriparatide,treats
http://purl.obolibrary.org/obo/MONDO_0700047,premenopausal osteoporosis,http://identifiers.org/drugbank/DB06643,Denosumab,treats
http://purl.obolibrary.org/obo/MONDO_0700047,premenopausal osteoporosis,https://rdaccelerate.org/resource/CTDRUG_alendronate,Alendronate,treats
http://purl.obolibrary.org/obo/MONDO_0700047,premenopausal osteoporosis,https://rdaccelerate.org/resource/CTDRUG_denosumab_60_mg_ml_prefilled_syringe_prolia,Denosumab 60 Mg/ml Prefilled Syringe [prolia],treats
http://purl.obolibrary.org/obo/MONDO_0700047,premenopausal osteoporosis,https://rdaccelerate.org/resource/CTDRUG_estradiol_0_045_mg_levonorgestrel_0_015mg,Estradiol 0.045 Mg/levonorgestrel 0.015mg,treats
http://purl.obolibrary.org/obo/MONDO_0700047,premenopausal osteoporosis,https://rdaccelerate.org/resource/CTDRUG_risedronate_sodium,Risedronate Sodium,treats
http://purl.obolibrary.org/obo/MONDO_0700047,premenopausal osteoporosis,https://rdaccelerate.org/resource/CTDRUG_romosozumab_prefilled_syringe_evenity_,Romosozumab Prefilled Syringe [evenity],treats
http://purl.obolibrary.org/obo/MONDO_0700047,premenopausal osteoporosis,https://rdaccelerate.org/resource/CTDRUG_teriparatide_pth_1_34_,Teriparatide (pth 1-34),treats
http://purl.obolibrary.org/obo/MONDO_1010154,adult hypophosphatasia,http://identifiers.org/drugbank/DB09105,Asfotase alfa,treats
http://purl.obolibrary.org/obo/MONDO_1010154,adult hypophosphatasia,https://rdaccelerate.org/resource/CTDRUG_bps804,Bps804,treats
https://rdaccelerate.org/resource/MONDO_GROUPED_7798_9428_18570,hypophosphatasia,http://identifiers.org/drugbank/DB00073,Rituximab,treats
https://rdaccelerate.org/resource/MONDO_GROUPED_7798_9428_18570,hypophosphatasia,http://identifiers.org/drugbank/DB00158,Folic acid,treats
https://rdaccelerate.org/resource/MONDO_GROUPED_7798_9428_18570,hypophosphatasia,http://identifiers.org/drugbank/DB00188,Bortezomib,treats
https://rdaccelerate.org/resource/MONDO_GROUPED_7798_9428_18570,hypophosphatasia,http://identifiers.org/drugbank/DB00563,Methotrexate,treats
https://rdaccelerate.org/resource/MONDO_GROUPED_7798_9428_18570,hypophosphatasia,http://identifiers.org/drugbank/DB09105,Asfotase alfa,treats
https://rdaccelerate.org/resource/MONDO_GROUPED_7798_9428_18570,hypophosphatasia,https://rdaccelerate.org/resource/CTDRUG_alxn1850,Alxn1850,treats
https://rdaccelerate.org/resource/MONDO_GROUPED_7798_9428_18570,hypophosphatasia,https://rdaccelerate.org/resource/CTDRUG_asfotase_alfa_alxn1215_,Asfotase Alfa (alxn1215),treats
https://rdaccelerate.org/resource/MONDO_GROUPED_7798_9428_18570,hypophosphatasia,https://rdaccelerate.org/resource/CTDRUG_ivig,Ivig,treats
https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_a21578a24e970de9,osteogenesis imperfecta,http://identifiers.org/drugbank/DB00017,Salmon calcitonin,treats
https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_a21578a24e970de9,osteogenesis imperfecta,http://identifiers.org/drugbank/DB00399,Zoledronic acid,treats
https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_a21578a24e970de9,osteogenesis imperfecta,http://identifiers.org/drugbank/DB06285,Teriparatide,treats
https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_a21578a24e970de9,osteogenesis imperfecta,http://identifiers.org/drugbank/DB06643,Denosumab,treats
https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_a21578a24e970de9,osteogenesis imperfecta,http://identifiers.org/drugbank/DB11866,Romosozumab,treats
https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_a21578a24e970de9,osteogenesis imperfecta,https://rdaccelerate.org/resource/CTDRUG_aga2115,Aga2115,treats
https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_a21578a24e970de9,osteogenesis imperfecta,https://rdaccelerate.org/resource/CTDRUG_alendronate,Alendronate,treats
https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_a21578a24e970de9,osteogenesis imperfecta,https://rdaccelerate.org/resource/CTDRUG_alternative_osteoporosis_medications,Alternative Osteoporosis Medications,treats
https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_a21578a24e970de9,osteogenesis imperfecta,https://rdaccelerate.org/resource/CTDRUG_bisphosphonate,Bisphosphonate,treats
https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_a21578a24e970de9,osteogenesis imperfecta,https://rdaccelerate.org/resource/CTDRUG_fresolimumab,Fresolimumab,treats
