disease_set,gene
Reduced bone mineral density_HP:0004349,FKBP10
Reduced bone mineral density_HP:0004349,FKBP14
Reduced bone mineral density_HP:0004349,FLRT3
Reduced bone mineral density_HP:0004349,FOXA2
Reduced bone mineral density_HP:0004349,FSHR
Reduced bone mineral density_HP:0004349,FUT8
Reduced bone mineral density_HP:0004349,G6PC1
Reduced bone mineral density_HP:0004349,GALNS
Reduced bone mineral density_HP:0004349,GALT
Reduced bone mineral density_HP:0004349,GATA1
Reduced bone mineral density_HP:0004349,GATA4
Reduced bone mineral density_HP:0004349,GATM
Reduced bone mineral density_HP:0004349,GBA1
Reduced bone mineral density_HP:0004349,GCM2
Reduced bone mineral density_HP:0004349,GEMIN4
Reduced bone mineral density_HP:0004349,GFI1
Reduced bone mineral density_HP:0004349,GK
Reduced bone mineral density_HP:0004349,GLA
Reduced bone mineral density_HP:0004349,GLB1
Reduced bone mineral density_HP:0004349,GLI2
Reduced bone mineral density_HP:0004349,GLIS3
Reduced bone mineral density_HP:0004349,GNA11
Reduced bone mineral density_HP:0004349,GNAS
Reduced bone mineral density_HP:0004349,GNPAT
Reduced bone mineral density_HP:0004349,GNPTAB
Reduced bone mineral density_HP:0004349,GNRH1
Reduced bone mineral density_HP:0004349,GNRHR
Reduced bone mineral density_HP:0004349,GORAB
Reduced bone mineral density_HP:0004349,GPAA1
Reduced bone mineral density_HP:0004349,GPR35
Reduced bone mineral density_HP:0004349,GTF2E2
Reduced bone mineral density_HP:0004349,GTF2H5
Reduced bone mineral density_HP:0004349,GTF2I
Reduced bone mineral density_HP:0004349,GTF2IRD1
Reduced bone mineral density_HP:0004349,GZF1
Reduced bone mineral density_HP:0004349,HAMP
Reduced bone mineral density_HP:0004349,HBB
Reduced bone mineral density_HP:0004349,HECW2
Reduced bone mineral density_HP:0004349,HERC2
Reduced bone mineral density_HP:0004349,HESX1
Reduced bone mineral density_HP:0004349,HFE
Reduced bone mineral density_HP:0004349,HGD
Reduced bone mineral density_HP:0004349,HJV
Reduced bone mineral density_HP:0004349,HLA-DQA1
Reduced bone mineral density_HP:0004349,HLA-DQB1
Reduced bone mineral density_HP:0004349,HNF4A
Reduced bone mineral density_HP:0004349,HNRNPK
Reduced bone mineral density_HP:0004349,HPGD
Reduced bone mineral density_HP:0004349,HRAS
Reduced bone mineral density_HP:0004349,HS6ST1
Reduced bone mineral density_HP:0004349,HSD17B4
Reduced bone mineral density_HP:0004349,HSD3B7
Reduced bone mineral density_HP:0004349,HSPG2
Reduced bone mineral density_HP:0004349,IARS2
Reduced bone mineral density_HP:0004349,IER3IP1
Reduced bone mineral density_HP:0004349,IFIH1
Reduced bone mineral density_HP:0004349,IFITM5
Reduced bone mineral density_HP:0004349,IFT122
Reduced bone mineral density_HP:0004349,IFT43
Reduced bone mineral density_HP:0004349,IFT52
Reduced bone mineral density_HP:0004349,IGF1
Reduced bone mineral density_HP:0004349,IL12A
Reduced bone mineral density_HP:0004349,IL12RB1
Reduced bone mineral density_HP:0004349,IL17RD
Reduced bone mineral density_HP:0004349,IL1RN
Reduced bone mineral density_HP:0004349,IPW
Reduced bone mineral density_HP:0004349,IRF5
Reduced bone mineral density_HP:0004349,IRX5
Reduced bone mineral density_HP:0004349,KCNJ1
Reduced bone mineral density_HP:0004349,KCNJ8
Reduced bone mineral density_HP:0004349,KDELR2
Reduced bone mineral density_HP:0004349,KIF1A
Reduced bone mineral density_HP:0004349,KISS1
Reduced bone mineral density_HP:0004349,KISS1R
Reduced bone mineral density_HP:0004349,KL
Reduced bone mineral density_HP:0004349,KNSTRN
Reduced bone mineral density_HP:0004349,KRAS
Reduced bone mineral density_HP:0004349,LAMA3
Reduced bone mineral density_HP:0004349,LAMB3
Reduced bone mineral density_HP:0004349,LAMC2
Reduced bone mineral density_HP:0004349,LARS2
Reduced bone mineral density_HP:0004349,LBR
Reduced bone mineral density_HP:0004349,LETM1
Reduced bone mineral density_HP:0004349,LHX4
Reduced bone mineral density_HP:0004349,LIFR
Reduced bone mineral density_HP:0004349,LIMK1
Reduced bone mineral density_HP:0004349,LMNA
Reduced bone mineral density_HP:0004349,LMX1B
Reduced bone mineral density_HP:0004349,LRP5
Reduced bone mineral density_HP:0004349,LRP6
Reduced bone mineral density_HP:0004349,MAD2L2
Reduced bone mineral density_HP:0004349,MAFB
Reduced bone mineral density_HP:0004349,MAGEL2
Reduced bone mineral density_HP:0004349,MALT1
Reduced bone mineral density_HP:0004349,MAN2B1
Reduced bone mineral density_HP:0004349,MAP2K1
Reduced bone mineral density_HP:0004349,MAP3K1
Reduced bone mineral density_HP:0004349,MBTPS2
Reduced bone mineral density_HP:0004349,MDM4
Reduced bone mineral density_HP:0004349,MEN1
Reduced bone mineral density_HP:0004349,MGAT2
Reduced bone mineral density_HP:0004349,MKRN3
Reduced bone mineral density_HP:0004349,MLXIPL
Reduced bone mineral density_HP:0004349,MMEL1
Reduced bone mineral density_HP:0004349,MMP1
Reduced bone mineral density_HP:0004349,MMP13
Reduced bone mineral density_HP:0004349,MMP14
Reduced bone mineral density_HP:0004349,MMP2
Reduced bone mineral density_HP:0004349,MPLKIP
Reduced bone mineral density_HP:0004349,MRPS22
Reduced bone mineral density_HP:0004349,MST1
Reduced bone mineral density_HP:0004349,MTAP
Reduced bone mineral density_HP:0004349,MTRR
Reduced bone mineral density_HP:0004349,MTTP
Reduced bone mineral density_HP:0004349,MTX2
Reduced bone mineral density_HP:0004349,NAB2
Reduced bone mineral density_HP:0004349,NAGA
Reduced bone mineral density_HP:0004349,NCF1
Reduced bone mineral density_HP:0004349,NDN
Reduced bone mineral density_HP:0004349,NDNF
Reduced bone mineral density_HP:0004349,NDUFAF1
Reduced bone mineral density_HP:0004349,NDUFAF6
Reduced bone mineral density_HP:0004349,NELFA
Reduced bone mineral density_HP:0004349,NF1
Reduced bone mineral density_HP:0004349,NFIX
Reduced bone mineral density_HP:0004349,NGLY1
Reduced bone mineral density_HP:0004349,NHERF1
Reduced bone mineral density_HP:0004349,NHP2
Reduced bone mineral density_HP:0004349,NLRP3
Reduced bone mineral density_HP:0004349,NOP10
Reduced bone mineral density_HP:0004349,NOTCH2
Reduced bone mineral density_HP:0004349,NPAP1
Reduced bone mineral density_HP:0004349,NPM1
Reduced bone mineral density_HP:0004349,NPR2
Reduced bone mineral density_HP:0004349,NR0B1
Reduced bone mineral density_HP:0004349,NR5A1
Reduced bone mineral density_HP:0004349,NRAS
Reduced bone mineral density_HP:0004349,NSD2
Reduced bone mineral density_HP:0004349,NSMF
Reduced bone mineral density_HP:0004349,NUP107
Reduced bone mineral density_HP:0004349,OCA2
Reduced bone mineral density_HP:0004349,OCRL
Reduced bone mineral density_HP:0004349,OFD1
Reduced bone mineral density_HP:0004349,OTX2
Reduced bone mineral density_HP:0004349,P3H1
Reduced bone mineral density_HP:0004349,P4HB
Reduced bone mineral density_HP:0004349,PALB2
Reduced bone mineral density_HP:0004349,PARN
Reduced bone mineral density_HP:0004349,PCCA
Reduced bone mineral density_HP:0004349,PCCB
Reduced bone mineral density_HP:0004349,PDE11A
Reduced bone mineral density_HP:0004349,PDE8B
Reduced bone mineral density_HP:0004349,PDGFRB
Reduced bone mineral density_HP:0004349,PDLIM4
Reduced bone mineral density_HP:0004349,PEPD
Reduced bone mineral density_HP:0004349,PEX12
Reduced bone mineral density_HP:0004349,PHEX
Reduced bone mineral density_HP:0004349,PHGDH
Reduced bone mineral density_HP:0004349,PHKA2
Reduced bone mineral density_HP:0004349,PHKG2
Reduced bone mineral density_HP:0004349,PIGG
Reduced bone mineral density_HP:0004349,PIGT
Reduced bone mineral density_HP:0004349,PIGU
Reduced bone mineral density_HP:0004349,PIGY
Reduced bone mineral density_HP:0004349,PIK3CD
Reduced bone mineral density_HP:0004349,PLEKHM1
Reduced bone mineral density_HP:0004349,PLOD1
Reduced bone mineral density_HP:0004349,PLOD2
Reduced bone mineral density_HP:0004349,PLOD3
Reduced bone mineral density_HP:0004349,PLS3
Reduced bone mineral density_HP:0004349,PMM2
Reduced bone mineral density_HP:0004349,POF1B
Reduced bone mineral density_HP:0004349,POLD1
Reduced bone mineral density_HP:0004349,POLE
Reduced bone mineral density_HP:0004349,POLG
Reduced bone mineral density_HP:0004349,POLG2
Reduced bone mineral density_HP:0004349,POLR3A
Reduced bone mineral density_HP:0004349,POLR3H
Reduced bone mineral density_HP:0004349,POU1F1
Reduced bone mineral density_HP:0004349,POU2AF1
Reduced bone mineral density_HP:0004349,PRDM5
Reduced bone mineral density_HP:0004349,PRKACA
Reduced bone mineral density_HP:0004349,PRKAR1A
Reduced bone mineral density_HP:0004349,PRLR
Reduced bone mineral density_HP:0004349,PROK2
Reduced bone mineral density_HP:0004349,PROKR2
Reduced bone mineral density_HP:0004349,PROP1
Reduced bone mineral density_HP:0004349,PSAP
Reduced bone mineral density_HP:0004349,PSAT1
Reduced bone mineral density_HP:0004349,PSMC3IP
Reduced bone mineral density_HP:0004349,PTEN
Reduced bone mineral density_HP:0004349,PTH1R
Reduced bone mineral density_HP:0004349,PWAR1
Reduced bone mineral density_HP:0004349,PWRN1
Reduced bone mineral density_HP:0004349,PYCR1
Reduced bone mineral density_HP:0004349,PYGL
Reduced bone mineral density_HP:0004349,RAB3GAP1
Reduced bone mineral density_HP:0004349,RAD51
Reduced bone mineral density_HP:0004349,RAD51C
Reduced bone mineral density_HP:0004349,RECQL4
Reduced bone mineral density_HP:0004349,RETREG1
Reduced bone mineral density_HP:0004349,RFC2
Reduced bone mineral density_HP:0004349,RFWD3
Reduced bone mineral density_HP:0004349,RIN2
Reduced bone mineral density_HP:0004349,RNF113A
Reduced bone mineral density_HP:0004349,RNF125
Reduced bone mineral density_HP:0004349,RNU4ATAC
Reduced bone mineral density_HP:0004349,RPL10
Reduced bone mineral density_HP:0004349,RPL11
Reduced bone mineral density_HP:0004349,RRM2B
Reduced bone mineral density_HP:0004349,RSPRY1
Reduced bone mineral density_HP:0004349,RTEL1
Reduced bone mineral density_HP:0004349,RUNX1
Reduced bone mineral density_HP:0004349,RUNX2
Reduced bone mineral density_HP:0004349,SATB2
Reduced bone mineral density_HP:0004349,SBDS
Reduced bone mineral density_HP:0004349,SC5D
Reduced bone mineral density_HP:0004349,SCARB2
Reduced bone mineral density_HP:0004349,SCN9A
Reduced bone mineral density_HP:0004349,SEC23A
Reduced bone mineral density_HP:0004349,SEC24D
Reduced bone mineral density_HP:0004349,SEMA3A
Reduced bone mineral density_HP:0004349,SERPINH1
Reduced bone mineral density_HP:0004349,SFRP4
Reduced bone mineral density_HP:0004349,SGMS2
Reduced bone mineral density_HP:0004349,SH3PXD2B
Reduced bone mineral density_HP:0004349,SIM1
Reduced bone mineral density_HP:0004349,SKI
Reduced bone mineral density_HP:0004349,SLC12A1
Reduced bone mineral density_HP:0004349,SLC17A5
Reduced bone mineral density_HP:0004349,SLC25A19
Reduced bone mineral density_HP:0004349,SLC25A4
Reduced bone mineral density_HP:0004349,SLC2A2
Reduced bone mineral density_HP:0004349,SLC34A1
Reduced bone mineral density_HP:0004349,SLC34A3
Reduced bone mineral density_HP:0004349,SLC35A2
Reduced bone mineral density_HP:0004349,SLC37A4
Reduced bone mineral density_HP:0004349,SLC39A13
Reduced bone mineral density_HP:0004349,SLC39A8
Reduced bone mineral density_HP:0004349,SLC4A1
Reduced bone mineral density_HP:0004349,SLC7A7
Reduced bone mineral density_HP:0004349,SLCO2A1
Reduced bone mineral density_HP:0004349,SLX4
Reduced bone mineral density_HP:0004349,SMAD3
Reduced bone mineral density_HP:0004349,SMARCAL1
Reduced bone mineral density_HP:0004349,SMARCD2
Reduced bone mineral density_HP:0004349,SMPD1
Reduced bone mineral density_HP:0004349,SMS
Reduced bone mineral density_HP:0004349,SNORD115-1
Reduced bone mineral density_HP:0004349,SNORD116-1
Reduced bone mineral density_HP:0004349,SNRPN
Reduced bone mineral density_HP:0004349,SNX10
Reduced bone mineral density_HP:0004349,SOX10
Reduced bone mineral density_HP:0004349,SOX3
Reduced bone mineral density_HP:0004349,SOX9
Reduced bone mineral density_HP:0004349,SP7
Reduced bone mineral density_HP:0004349,SPARC
Reduced bone mineral density_HP:0004349,SPIB
Reduced bone mineral density_HP:0004349,SPIDR
Reduced bone mineral density_HP:0004349,SPRY4
Reduced bone mineral density_HP:0004349,SRC
Reduced bone mineral density_HP:0004349,SRP54
Reduced bone mineral density_HP:0004349,SRSF2
Reduced bone mineral density_HP:0004349,SRY
Reduced bone mineral density_HP:0004349,STAT1
Reduced bone mineral density_HP:0004349,STAT3
Reduced bone mineral density_HP:0004349,STAT6
Reduced bone mineral density_HP:0004349,STN1
Reduced bone mineral density_HP:0004349,STX1A
Reduced bone mineral density_HP:0004349,TAC3
Reduced bone mineral density_HP:0004349,TACR3
Reduced bone mineral density_HP:0004349,TAF1
Reduced bone mineral density_HP:0004349,TAPT1
Reduced bone mineral density_HP:0004349,TARS1
Reduced bone mineral density_HP:0004349,TBCK
Reduced bone mineral density_HP:0004349,TBL2
Reduced bone mineral density_HP:0004349,TCF4
Reduced bone mineral density_HP:0004349,TCIRG1
Reduced bone mineral density_HP:0004349,TENT5A
Reduced bone mineral density_HP:0004349,TERC
Reduced bone mineral density_HP:0004349,TERT
Reduced bone mineral density_HP:0004349,TET2
Reduced bone mineral density_HP:0004349,TGFBR2
Reduced bone mineral density_HP:0004349,TINF2
Reduced bone mineral density_HP:0004349,TJP2
Reduced bone mineral density_HP:0004349,TMEM165
Reduced bone mineral density_HP:0004349,TMEM38B
Reduced bone mineral density_HP:0004349,TMEM67
Reduced bone mineral density_HP:0004349,TNFRSF11A
Reduced bone mineral density_HP:0004349,TNFRSF11B
Reduced bone mineral density_HP:0004349,TNFSF11
Reduced bone mineral density_HP:0004349,TNFSF15
Reduced bone mineral density_HP:0004349,TNPO3
