disease_set,gene
Osteopenia_HP:0000938,PHGDH
Osteopenia_HP:0000938,PIGT
Osteopenia_HP:0000938,PIGU
Osteopenia_HP:0000938,PIGY
Osteopenia_HP:0000938,PIK3CD
Osteopenia_HP:0000938,PLEKHM1
Osteopenia_HP:0000938,PLOD1
Osteopenia_HP:0000938,PLOD2
Osteopenia_HP:0000938,PLOD3
Osteopenia_HP:0000938,PLS3
Osteopenia_HP:0000938,PMM2
Osteopenia_HP:0000938,POLE
Osteopenia_HP:0000938,POLR3A
Osteopenia_HP:0000938,POLR3H
Osteopenia_HP:0000938,POU1F1
Osteopenia_HP:0000938,PRKACA
Osteopenia_HP:0000938,PRKAR1A
Osteopenia_HP:0000938,PRLR
Osteopenia_HP:0000938,PROK2
Osteopenia_HP:0000938,PROKR2
Osteopenia_HP:0000938,PROP1
Osteopenia_HP:0000938,PSAP
Osteopenia_HP:0000938,PSAT1
Osteopenia_HP:0000938,PSMC3IP
Osteopenia_HP:0000938,PTH1R
Osteopenia_HP:0000938,PWAR1
Osteopenia_HP:0000938,PWRN1
Osteopenia_HP:0000938,PYCR1
Osteopenia_HP:0000938,PYGL
Osteopenia_HP:0000938,RECQL4
Osteopenia_HP:0000938,RFC2
Osteopenia_HP:0000938,RNF113A
Osteopenia_HP:0000938,RNF125
Osteopenia_HP:0000938,RNU4ATAC
Osteopenia_HP:0000938,RPL11
Osteopenia_HP:0000938,RSPRY1
Osteopenia_HP:0000938,SATB2
Osteopenia_HP:0000938,SBDS
Osteopenia_HP:0000938,SCARB2
Osteopenia_HP:0000938,SEC23A
Osteopenia_HP:0000938,SEC24D
Osteopenia_HP:0000938,SERPINH1
Osteopenia_HP:0000938,SGMS2
Osteopenia_HP:0000938,SH3PXD2B
Osteopenia_HP:0000938,SIM1
Osteopenia_HP:0000938,SKI
Osteopenia_HP:0000938,SLC12A1
Osteopenia_HP:0000938,SLC17A5
Osteopenia_HP:0000938,SLC2A2
Osteopenia_HP:0000938,SLC34A1
Osteopenia_HP:0000938,SLC35A2
Osteopenia_HP:0000938,SLC37A4
Osteopenia_HP:0000938,SLC39A13
Osteopenia_HP:0000938,SLC39A8
Osteopenia_HP:0000938,SLC7A7
Osteopenia_HP:0000938,SMARCAL1
Osteopenia_HP:0000938,SMARCD2
Osteopenia_HP:0000938,SMPD1
Osteopenia_HP:0000938,SNORD115-1
Osteopenia_HP:0000938,SNORD116-1
Osteopenia_HP:0000938,SNRPN
Osteopenia_HP:0000938,SOX3
Osteopenia_HP:0000938,SPIDR
Osteopenia_HP:0000938,SPRY4
Osteopenia_HP:0000938,SRP54
Osteopenia_HP:0000938,STAT1
Osteopenia_HP:0000938,STAT3
Osteopenia_HP:0000938,STN1
Osteopenia_HP:0000938,STX1A
Osteopenia_HP:0000938,TAC3
Osteopenia_HP:0000938,TACR3
Osteopenia_HP:0000938,TAF1
Osteopenia_HP:0000938,TAPT1
Osteopenia_HP:0000938,TARS1
Osteopenia_HP:0000938,TBL2
Osteopenia_HP:0000938,TCF4
Osteopenia_HP:0000938,TCIRG1
Osteopenia_HP:0000938,TENT5A
Osteopenia_HP:0000938,TERT
Osteopenia_HP:0000938,TMEM38B
Osteopenia_HP:0000938,TMEM67
Osteopenia_HP:0000938,TONSL
Osteopenia_HP:0000938,TREM2
Osteopenia_HP:0000938,TRPS1
Osteopenia_HP:0000938,TRPV6
Osteopenia_HP:0000938,UNC80
Osteopenia_HP:0000938,UROD
Osteopenia_HP:0000938,UROS
Osteopenia_HP:0000938,USP9X
Osteopenia_HP:0000938,WDR11
Osteopenia_HP:0000938,XYLT2
Osteopenia_HP:0000938,ZMPSTE24
"Osteoporosis, Senile",ALPL
"Osteoporosis, Senile",O75197
"Osteoporosis, Senile",P02452
"Osteoporosis, Senile",P04628
"Osteoporosis, Senile",P13797
"Osteoporosis, Senile",Q9BXB1
"Osteoporosis, Senile",SRC
"Osteoporosis, Senile",WNT1
Severe generalized osteoporosis_HP:0005897,COL1A1
Severe generalized osteoporosis_HP:0005897,COL1A2
