symbol,log2fc,adj_p_value
Kmo,-0.387762,0.0586523
B230354K17Rik,-0.211088,0.0589042
Cert1,-0.196832,0.0589722
Dhcr7,0.319923,0.0596321
Spred1,-0.185778,0.0603234
Galnt14,0.268342,0.0603234
Gm10275,-0.308207,0.060452
Klf10,-0.551101,0.0609631
Atg4a,0.251139,0.0609631
Gpr137,0.20559,0.061264
Rps20,-0.222298,0.0631632
Zfp383,-0.341587,0.0631632
Lmbr1,-0.296494,0.0631632
Rps19bp1,0.231383,0.0631632
Upf2,-0.163327,0.0631632
Zfp644,-0.161606,0.0631632
Adam15,0.237059,0.0631632
Car5a,0.445272,0.0631632
Susd2,0.316315,0.0631632
Cds2,-0.151806,0.063397
Pgam1,0.21251,0.0634773
Slc1a4,0.505145,0.0640588
Med13,-0.154382,0.0642344
Mex3d,-0.325622,0.0642344
Eef1a1,-0.187629,0.0642344
Slc25a45,0.342742,0.0648683
Angptl7,0.826783,0.0651619
Ccdc18,0.838792,0.0653103
Slc17a3,0.469671,0.0653103
Tkfc,0.348662,0.0653103
Actg1,0.213499,0.0654666
Ist1,-0.158566,0.0656345
Cd164,0.2349,0.065711
Crybg1,-0.176811,0.0657306
Spin1,-0.152126,0.0664781
Tex261,-0.158292,0.0664781
A4galt,-0.284177,0.0666254
Pdlim2,0.296474,0.0667953
Col5a2,0.51073,0.0668268
Bptf,-0.15837,0.0669179
Uxs1,0.252421,0.0669289
Zim1,-0.592901,0.0673815
Inafm1,-0.299929,0.0673815
ND2,0.461398,0.0675775
Kcns3,-0.580462,0.0675775
Slc25a22,-0.252082,0.0682885
Exosc6,-3.11353,0.0685921
Lrpap1,0.267263,0.0697114
Nynrin,-0.215765,0.0712401
Qser1,-0.159603,0.071502
Peg3,-0.326062,0.0715341
Rps9,-0.19762,0.0715341
St3gal3,0.200411,0.0715341
Ethe1,0.345028,0.0715341
Aars1,0.21373,0.0722496
Cox19,0.265273,0.0722681
Flt4,-0.217628,0.0724535
Irf5,0.404164,0.0727802
Lgals1,0.318017,0.0727802
Fads2,0.276186,0.0727802
Ldah,-0.177764,0.0727802
Dennd4b,-0.231257,0.0732903
Shkbp1,0.231753,0.0738966
Arhgap26,0.275644,0.0738966
Rpl3,-0.192111,0.0738966
Samd9l,0.258019,0.0738966
Ythdf3,-0.135441,0.0738966
A2m,0.891265,0.0746445
Zfp740,-0.13276,0.0755509
Kmt2e,-0.190819,0.0755509
Igfals,0.479193,0.0756884
Scn4b,-0.158807,0.0772479
Dnajb1,-0.363383,0.0779992
Plag1,-0.511213,0.0780171
Chd9,0.469858,0.0790562
Cep97,-0.308393,0.0795451
Acot7,0.432068,0.080416
Dynlt1c,0.443237,0.080416
Slc22a5,-0.454505,0.0804669
Socs4,-0.190227,0.0807384
Rab43,-0.146733,0.0810041
Spink1,0.29097,0.0834516
Serpinb8,-0.404115,0.0834516
Rpf2,0.332367,0.0834516
Pacc1,0.309057,0.0839931
Pbk,0.731038,0.0839931
Psmd14,0.216457,0.0845947
Smad7,-0.273102,0.084884
Bmp15,-0.670467,0.084884
Prxl2a,0.269435,0.084884
Akirin1,0.193733,0.085278
Tmem52,0.49404,0.085278
Snhg12,-0.26794,0.0854914
Stard8,-0.177136,0.0854914
Spp1,0.29652,0.0855941
Htr3a,0.489578,0.0855941
Mars1,0.186231,0.0855941
Vps52,0.139254,0.0855941
Ss18l1,-0.308761,0.0869147
Dnajb5,0.256909,0.0869147
Prpsap1,-0.144578,0.0869147
Cdh13,-0.316443,0.0872684
Immp2l,-0.621943,0.0872684
Acat2,0.239251,0.0872684
Aaas,0.411559,0.0873614
Heg1,0.239173,0.0881259
Gm15500,-0.388599,0.0881259
Scd2,0.435168,0.0881259
Pth1r,0.227748,0.0881259
Mymx,-0.614233,0.0881259
Frs2,-0.147688,0.0881259
Slf2,-0.171878,0.0881259
