fips,sud_providers
01005,1
01009,1
01011,2
01013,2
01015,2
01019,2
01021,1
01023,1
01025,1
01033,1
01039,3
01041,3
01043,1
01045,5
01049,2
01051,1
01055,4
01061,5
01063,1
01065,1
01067,4
01069,7
01073,5
01077,2
01079,4
01081,3
01083,1
01091,4
01093,3
01095,3
01097,1
01101,4
01103,3
01109,1
01115,1
01117,4
01119,1
01121,1
01123,1
01125,2
01127,2
01133,2
02013,2
02016,1
02020,18
02050,2
02090,6
02100,1
02105,1
02110,3
02122,9
02130,5
02150,2
02170,6
02180,1
02185,3
02188,1
02198,2
02220,2
02240,1
02261,4
02275,1
02282,1
02290,3
04001,2
04003,20
04005,12
04007,5
04009,5
04011,1
04012,2
04013,167
04015,14
04017,6
04019,53
04021,21
04023,4
04025,17
04027,15
05001,1
05003,2
05005,2
05007,8
05009,2
05011,1
05015,1
05017,1
05025,1
05027,1
05029,1
05031,4
05033,2
05035,3
05037,1
05039,2
05041,1
05043,2
05045,3
05047,2
05049,1
05051,6
05053,5
05055,3
05057,4
05059,3
05061,1
05063,4
05065,1
05067,3
05069,4
05071,5
05073,2
05075,1
05077,1
05079,1
05083,2
05085,3
05087,1
05089,2
05091,1
05093,3
05103,1
05107,2
05111,1
05113,3
05115,4
05117,1
05119,20
05121,2
05123,2
05125,7
05127,1
05131,4
05133,1
05135,1
05137,1
05139,2
05141,2
05143,5
05145,4
06001,33
06003,1
06005,1
06007,8
06009,1
06011,1
06013,20
06015,1
06017,4
06019,14
06023,6
06025,1
06027,1
06029,9
06033,1
06035,1
06037,197
06039,3
06041,12
06045,3
06047,5
06051,1
06053,10
06055,7
06057,4
06059,67
06061,6
06065,35
06067,28
06069,2
06071,27
06073,51
06075,29
06077,3
06079,4
06081,9
06083,10
06085,35
06087,4
06089,5
06091,2
06093,2
06095,10
06097,6
06099,3
06101,5
06103,1
06105,1
06107,2
06111,20
06113,6
06115,1
08001,1
08003,1
08005,11
08007,1
08009,1
08011,1
08013,6
08014,1
08015,2
08017,1
08019,1
08021,2
08023,1
08025,1
08027,1
08029,1
08031,15
08035,7
08037,1
08039,1
08041,12
08043,2
08045,2
08051,1
08053,1
08055,1
08057,1
08059,6
08061,1
08063,1
08065,1
08067,2
08069,9
08073,1
08075,1
08077,5
08081,1
08083,1
08085,1
08087,1
08089,3
08093,1
08095,1
08097,1
08099,1
08101,5
08105,3
08107,1
08113,2
08115,1
08119,2
08121,1
08123,5
08125,2
09001,40
09003,35
09005,14
09007,7
09009,41
09011,12
09013,8
09015,6
10001,5
10003,14
10005,6
11001,18
12001,4
12003,2
12005,4
12007,2
12009,5
12011,33
12015,3
12017,1
12019,2
12021,5
12023,1
12029,1
12031,24
12033,5
12035,2
12041,1
12045,1
12047,1
12049,2
12053,1
12055,1
12057,14
12061,4
12063,3
12069,14
12071,4
12073,4
12075,2
12081,5
12083,4
12085,4
12086,50
12087,8
12089,3
12091,5
12093,2
12095,18
12097,10
12099,22
12101,3
12103,15
12105,6
12109,3
12111,12
12113,2
12115,4
12117,11
12119,1
12121,2
12125,1
12127,14
13001,2
13021,1
13027,1
13031,1
13039,1
13045,4
13051,6
13057,1
13059,2
13063,4
13067,5
13075,1
13077,4
13081,1
13083,1
13085,1
13087,1
13089,26
13095,1
13097,4
13099,1
13103,1
13105,1
13107,1
13113,2
13115,1
13117,1
13121,13
13127,2
13131,1
13133,1
13135,5
13137,1
13139,1
13147,1
13149,2
13151,3
13153,1
13171,1
13175,2
13179,3
13185,4
13187,1
13195,1
13199,1
13209,2
13215,6
13217,2
13233,1
13245,5
13247,1
13255,2
13257,1
13261,1
13267,1
13275,3
13277,2
13281,3
13285,2
13291,2
13293,1
13295,1
13297,4
