fips,disease,prevalence,nplaces
05131,arteriosclerosis,31.76,10
05133,arteriosclerosis,32.46,5
05135,arteriosclerosis,33.8,3
05137,arteriosclerosis,32.5,2
05139,arteriosclerosis,32.49,8
05141,arteriosclerosis,33.9,3
05143,arteriosclerosis,31.94,11
05145,arteriosclerosis,35.94,16
05147,arteriosclerosis,33.0,5
05149,arteriosclerosis,33.27,6
06001,arteriosclerosis,30.38,20
06003,arteriosclerosis,30.6,4
06005,arteriosclerosis,30.77,16
06007,arteriosclerosis,31.32,28
06009,arteriosclerosis,30.58,16
06011,arteriosclerosis,31.96,9
06013,arteriosclerosis,27.02,52
06015,arteriosclerosis,31.53,6
06017,arteriosclerosis,31.28,13
06019,arteriosclerosis,32.49,42
06021,arteriosclerosis,31.08,5
06023,arteriosclerosis,32.56,32
06025,arteriosclerosis,32.86,17
06027,arteriosclerosis,30.74,11
06029,arteriosclerosis,32.76,57
06031,arteriosclerosis,32.69,11
06033,arteriosclerosis,30.74,15
06035,arteriosclerosis,31.35,11
06037,arteriosclerosis,33.04,139
06039,arteriosclerosis,31.79,15
06041,arteriosclerosis,28.28,30
06043,arteriosclerosis,30.59,11
06045,arteriosclerosis,31.72,22
06047,arteriosclerosis,32.19,24
06049,arteriosclerosis,31.22,12
06051,arteriosclerosis,30.44,12
06053,arteriosclerosis,32.55,28
06055,arteriosclerosis,30.47,11
06057,arteriosclerosis,30.57,11
06059,arteriosclerosis,31.13,40
06061,arteriosclerosis,29.52,20
06063,arteriosclerosis,30.24,23
06065,arteriosclerosis,32.43,70
06067,arteriosclerosis,29.37,34
06069,arteriosclerosis,30.3,4
06071,arteriosclerosis,32.49,50
06073,arteriosclerosis,30.8,51
06075,arteriosclerosis,31.2,1
06077,arteriosclerosis,33.2,28
06079,arteriosclerosis,29.1,29
06081,arteriosclerosis,30.15,32
06083,arteriosclerosis,30.41,24
06085,arteriosclerosis,30.23,24
06087,arteriosclerosis,30.26,29
06089,arteriosclerosis,30.05,21
06091,arteriosclerosis,31.05,8
06093,arteriosclerosis,31.72,18
06095,arteriosclerosis,29.58,11
