fips,indicator,value
06085,food_insecurity,7.5
06087,food_insecurity,10.0
06089,food_insecurity,13.8
06091,food_insecurity,11.3
06093,food_insecurity,15.0
06095,food_insecurity,9.4
06097,food_insecurity,9.3
06099,food_insecurity,11.8
06101,food_insecurity,12.5
06103,food_insecurity,14.5
06105,food_insecurity,15.9
06107,food_insecurity,14.9
06109,food_insecurity,13.0
06111,food_insecurity,8.5
06113,food_insecurity,10.6
06115,food_insecurity,13.2
08001,food_insecurity,9.3
08003,food_insecurity,12.7
08005,food_insecurity,9.0
08007,food_insecurity,10.5
08009,food_insecurity,12.8
08011,food_insecurity,14.3
08013,food_insecurity,8.7
08014,food_insecurity,7.6
08015,food_insecurity,11.3
08017,food_insecurity,9.2
08019,food_insecurity,9.9
08021,food_insecurity,12.3
08023,food_insecurity,16.6
08025,food_insecurity,16.6
08027,food_insecurity,8.6
08029,food_insecurity,14.1
08031,food_insecurity,11.1
08033,food_insecurity,10.0
08035,food_insecurity,5.7
08037,food_insecurity,9.1
08039,food_insecurity,5.6
08041,food_insecurity,10.2
08043,food_insecurity,12.3
08045,food_insecurity,8.0
08047,food_insecurity,9.5
08049,food_insecurity,9.7
08051,food_insecurity,9.8
08053,food_insecurity,10.5
08055,food_insecurity,14.4
08057,food_insecurity,9.5
08059,food_insecurity,8.5
08061,food_insecurity,9.5
08063,food_insecurity,8.4
08065,food_insecurity,11.7
08067,food_insecurity,9.7
08069,food_insecurity,9.4
08071,food_insecurity,13.8
08073,food_insecurity,10.8
08075,food_insecurity,10.4
08077,food_insecurity,12.1
08079,food_insecurity,11.4
08081,food_insecurity,13.2
08083,food_insecurity,12.4
08085,food_insecurity,10.8
08087,food_insecurity,8.9
08089,food_insecurity,14.6
08091,food_insecurity,9.9
08093,food_insecurity,7.7
08095,food_insecurity,6.7
08097,food_insecurity,10.1
08099,food_insecurity,11.8
08101,food_insecurity,13.6
08103,food_insecurity,10.2
08105,food_insecurity,12.6
08107,food_insecurity,9.7
08109,food_insecurity,11.9
08111,food_insecurity,12.3
08113,food_insecurity,12.2
08115,food_insecurity,12.6
08117,food_insecurity,9.7
08119,food_insecurity,10.2
08121,food_insecurity,9.2
08123,food_insecurity,8.9
08125,food_insecurity,8.1
09001,food_insecurity,10.1
09003,food_insecurity,11.6
09005,food_insecurity,10.4
09007,food_insecurity,9.8
09009,food_insecurity,11.7
09011,food_insecurity,12.2
09013,food_insecurity,9.4
09015,food_insecurity,12.8
10001,food_insecurity,12.5
10003,food_insecurity,10.1
10005,food_insecurity,10.8
11001,food_insecurity,9.4
12001,food_insecurity,12.4
12003,food_insecurity,10.5
12005,food_insecurity,13.2
12007,food_insecurity,15.0
12009,food_insecurity,11.4
12011,food_insecurity,10.8
12013,food_insecurity,13.9
12015,food_insecurity,12.9
12017,food_insecurity,14.8
12019,food_insecurity,9.5
12021,food_insecurity,10.0
12023,food_insecurity,13.2
12027,food_insecurity,15.2
12029,food_insecurity,14.6
12031,food_insecurity,12.2
12033,food_insecurity,12.7
12035,food_insecurity,11.5
12037,food_insecurity,14.8
12039,food_insecurity,13.2
12041,food_insecurity,12.4
12043,food_insecurity,12.4
12045,food_insecurity,12.6
12047,food_insecurity,16.6
12049,food_insecurity,14.3
12051,food_insecurity,15.0
12053,food_insecurity,13.8
12055,food_insecurity,14.2
12057,food_insecurity,11.4
12059,food_insecurity,16.2
12061,food_insecurity,11.2
12063,food_insecurity,13.7
12065,food_insecurity,12.4
12067,food_insecurity,12.2
12069,food_insecurity,12.4
12071,food_insecurity,11.2
12073,food_insecurity,12.0
12075,food_insecurity,14.8
12077,food_insecurity,15.4
12079,food_insecurity,16.5
12081,food_insecurity,11.2
12083,food_insecurity,13.1
12085,food_insecurity,10.4
12086,food_insecurity,10.8
12087,food_insecurity,11.3
12089,food_insecurity,10.7
12091,food_insecurity,11.2
12093,food_insecurity,12.7
12095,food_insecurity,12.8
12097,food_insecurity,13.8
12099,food_insecurity,10.6
12101,food_insecurity,12.3
12103,food_insecurity,12.2
12105,food_insecurity,13.3
12107,food_insecurity,16.2
12109,food_insecurity,8.5
12111,food_insecurity,11.7
12113,food_insecurity,10.6
12115,food_insecurity,10.8
12117,food_insecurity,9.9
12119,food_insecurity,11.4
12121,food_insecurity,12.8
12123,food_insecurity,15.3
12125,food_insecurity,12.3
12127,food_insecurity,12.9
12129,food_insecurity,8.2
12131,food_insecurity,11.8
12133,food_insecurity,16.2
13001,food_insecurity,14.2
13003,food_insecurity,14.9
13005,food_insecurity,16.2
13007,food_insecurity,14.7
13009,food_insecurity,14.4
13011,food_insecurity,12.7
13013,food_insecurity,10.1
13015,food_insecurity,11.8
13019,food_insecurity,16.3
13021,food_insecurity,16.1
13023,food_insecurity,14.2
13025,food_insecurity,14.6
13027,food_insecurity,14.0
13029,food_insecurity,9.8
13031,food_insecurity,13.5
13033,food_insecurity,12.4
13035,food_insecurity,14.6
13037,food_insecurity,14.1
13039,food_insecurity,11.6
13043,food_insecurity,16.4
13045,food_insecurity,12.5
13047,food_insecurity,10.7
13049,food_insecurity,14.9
13051,food_insecurity,12.5
13053,food_insecurity,15.7
13055,food_insecurity,17.0
13057,food_insecurity,8.0
13059,food_insecurity,15.0
13061,food_insecurity,20.5
13063,food_insecurity,12.4
13065,food_insecurity,16.1
13067,food_insecurity,8.1
13069,food_insecurity,14.2
13071,food_insecurity,14.6
13073,food_insecurity,7.4
13075,food_insecurity,13.8
13077,food_insecurity,9.1
13079,food_insecurity,13.4
13081,food_insecurity,19.1
13083,food_insecurity,12.1
13085,food_insecurity,9.6
13087,food_insecurity,14.6
13089,food_insecurity,11.1
13091,food_insecurity,14.8
13093,food_insecurity,14.4
13095,food_insecurity,17.1
13097,food_insecurity,9.5
13099,food_insecurity,16.7
13101,food_insecurity,13.9
13103,food_insecurity,8.3
13105,food_insecurity,16.2
13107,food_insecurity,16.9
13109,food_insecurity,14.1
13111,food_insecurity,12.9
13113,food_insecurity,6.5
13115,food_insecurity,14.4
13117,food_insecurity,6.2
13119,food_insecurity,15.7
13121,food_insecurity,11.3
13123,food_insecurity,13.4
13125,food_insecurity,12.8
13127,food_insecurity,13.3
13129,food_insecurity,13.2
13131,food_insecurity,13.2
13133,food_insecurity,11.2
13135,food_insecurity,8.4
13137,food_insecurity,11.8
13139,food_insecurity,10.4
13141,food_insecurity,14.6
13143,food_insecurity,13.0
13145,food_insecurity,7.5
13147,food_insecurity,12.9
13149,food_insecurity,17.2
13151,food_insecurity,8.2
13153,food_insecurity,10.0
13155,food_insecurity,14.3
13157,food_insecurity,9.3
13159,food_insecurity,12.2
13161,food_insecurity,14.7
13163,food_insecurity,13.6
13165,food_insecurity,18.3
13167,food_insecurity,14.8
13169,food_insecurity,9.4
13171,food_insecurity,12.8
13173,food_insecurity,17.1
13175,food_insecurity,16.3
13177,food_insecurity,9.5
13179,food_insecurity,12.0
13181,food_insecurity,13.9
13183,food_insecurity,14.6
13185,food_insecurity,14.1
13187,food_insecurity,10.5
13189,food_insecurity,13.4
13191,food_insecurity,11.9
13193,food_insecurity,15.9
13195,food_insecurity,14.6
13197,food_insecurity,11.0
13199,food_insecurity,16.4
13201,food_insecurity,12.9
13205,food_insecurity,16.0
