sym,goid,goLabel
IL2,GO_0034105,positive regulation of tissue remodeling
PLAUR,GO_0034112,positive regulation of homotypic cell-cell adhesion
VCAM1,GO_0034113,heterotypic cell-cell adhesion
TNF,GO_0034116,positive regulation of heterotypic cell-cell adhesion
TNF,GO_0034138,toll-like receptor 3 signaling pathway
SRC,GO_0034139,regulation of toll-like receptor 3 signaling pathway
NR1H4,GO_0034162,toll-like receptor 9 signaling pathway
CDKN1A,GO_0034198,cellular response to amino acid starvation
FAS,GO_0034198,cellular response to amino acid starvation
FOS,GO_0034224,cellular response to zinc ion starvation
SP1,GO_0034224,cellular response to zinc ion starvation
HMGCS2,GO_0034284,response to monosaccharide
CD40,GO_0034341,response to type II interferon
CASP3,GO_0034349,glial cell apoptotic process
CCL2,GO_0034351,negative regulation of glial cell apoptotic process
LPL,GO_0034371,chylomicron remodeling
LPL,GO_0034372,very-low-density lipoprotein particle remodeling
LDLR,GO_0034381,plasma lipoprotein particle clearance
LDLR,GO_0034383,low-density lipoprotein particle clearance
LDLR,GO_0034384,high-density lipoprotein particle clearance
ESR1,GO_0034392,negative regulation of smooth muscle cell apoptotic process
FOXO1,GO_0034393,positive regulation of smooth muscle cell apoptotic process
PLAUR,GO_0034394,protein localization to cell surface
LPL,GO_0034447,very-low-density lipoprotein particle clearance
COL1A1,GO_0034504,protein localization to nucleus
COL1A1,GO_0034505,tooth mineralization
FOXO3,GO_0034599,cellular response to oxidative stress
HSPA1A,GO_0034599,cellular response to oxidative stress
NQO1,GO_0034599,cellular response to oxidative stress
HIF1A,GO_0034599,cellular response to oxidative stress
FOXO1,GO_0034599,cellular response to oxidative stress
NFE2L2,GO_0034599,cellular response to oxidative stress
PRKAA1,GO_0034599,cellular response to oxidative stress
HSPA1A,GO_0034605,cellular response to heat
HSF1,GO_0034605,cellular response to heat
SELE,GO_0034612,response to tumor necrosis factor
CASP3,GO_0034612,response to tumor necrosis factor
FOS,GO_0034614,cellular response to reactive oxygen species
