sym,goid,goLabel
PAX6,GO_0030154,cell differentiation
CEBPB,GO_0030154,cell differentiation
XBP1,GO_0030154,cell differentiation
KDR,GO_0030154,cell differentiation
FOXO1,GO_0030154,cell differentiation
PEG10,GO_0030154,cell differentiation
PLAU,GO_0030155,regulation of cell adhesion
CXCL8,GO_0030155,regulation of cell adhesion
PLAUR,GO_0030155,regulation of cell adhesion
PLAUR,GO_0030162,regulation of proteolysis
SHH,GO_0030162,regulation of proteolysis
NQO1,GO_0030163,protein catabolic process
MMP3,GO_0030163,protein catabolic process
CASP3,GO_0030163,protein catabolic process
COL3A1,GO_0030168,platelet activation
