trait,tlabel,n_genes
http://www.orpha.net/ORDO/Orphanet_98023,Rare systemic or rheumatologic disease,52
http://www.orpha.net/ORDO/Orphanet_506219,Rare disorder potentially indicated for hematopoietic stem cell transplant,52
http://purl.obolibrary.org/obo/HP_0001047,Atopic dermatitis,52
http://www.orpha.net/ORDO/Orphanet_156643,Genetic endocrine growth disease,52
https://purl.org/okn/frink/kg/digcfdekg/node/trait/c51150f19df4423c5162,Serum ApoB,52
https://purl.org/okn/frink/kg/digcfdekg/node/trait/52b63158fe3aed682dd1,Appendicular lean body mass,51
https://purl.org/okn/frink/kg/digcfdekg/node/trait/da3fa474814049c51b0a,Total testosterone levels,51
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ec6483a75de5db5b5072,serum urea measurement,51
https://purl.org/okn/frink/kg/digcfdekg/node/trait/55e5142275c97d47cee4,Blood urea nitrogen,51
https://purl.org/okn/frink/kg/digcfdekg/node/trait/7a651d57bffdaf6619e8,Fetal genetic effect on own birth weight adj maternal genotype,51
http://www.orpha.net/ORDO/Orphanet_71859,Rare genetic neurological disorder,51
https://purl.org/okn/frink/kg/digcfdekg/node/trait/2e1ebb1b39b4ef979f37,Fasting insulin adj BMI,51
http://www.ebi.ac.uk/efo/EFO_0004842,eosinophil count,51
https://purl.org/okn/frink/kg/digcfdekg/node/trait/22b32df7d85c35d5fc4e,Neutrophil percentage,51
http://www.orpha.net/ORDO/Orphanet_179006,Primary immunodeficiency due to a defect in adaptive immunity,50
https://purl.org/okn/frink/kg/digcfdekg/node/trait/6cc3191241ad0dd5fe0c,Type 1 diabetes (T1D),50
http://purl.obolibrary.org/obo/HP_0000821,Hypothyroidism,50
https://purl.org/okn/frink/kg/digcfdekg/node/trait/446d1ffc655f6bd32eba,Hemoglobin concentration,50
https://purl.org/okn/frink/kg/digcfdekg/node/trait/173301f5b2138a4fe252,Psoriasis,49
https://purl.org/okn/frink/kg/digcfdekg/node/trait/d8d2b8dd90266380dca4,Serum urate,49
http://www.orpha.net/ORDO/Orphanet_68367,Rare inborn errors of metabolism,49
http://www.orpha.net/ORDO/Orphanet_68346,Rare genetic skin disease,49
https://purl.org/okn/frink/kg/digcfdekg/node/trait/09dffd18696fc71c511f,Serum albumin,49
https://purl.org/okn/frink/kg/digcfdekg/node/trait/9a097fd10b581f37adc2,Bioavailable testosterone levels,49
https://purl.org/okn/frink/kg/digcfdekg/node/trait/2d04aebd3d4276fcc69d,Red blood cell count,49
http://www.orpha.net/ORDO/Orphanet_506213,Rare disorder potentially indicated for kidney transplant,49
https://purl.org/okn/frink/kg/digcfdekg/node/trait/9e16eca420eee5f32d37,Total body bone mineral density,48
http://www.orpha.net/ORDO/Orphanet_98049,Rare female infertility,48
http://purl.obolibrary.org/obo/MONDO_0005148,type 2 diabetes mellitus,48
http://www.ebi.ac.uk/efo/EFO_0007991,eosinophil percentage of leukocytes,48
http://www.ebi.ac.uk/efo/EFO_0005689,non-high density lipoprotein cholesterol measurement,48
http://www.ebi.ac.uk/efo/EFO_0007990,neutrophil percentage of leukocytes,48
