chemical,n_disease_links,tierA,max_genes
BPAF,13,6,36
TBBPA,13,6,31
BPB,13,3,27
TBBPA-DHEE,13,3,24
TCBPA,13,2,23
BPA,13,1,19
"3,3-diMe-BPA",13,0,19
TBu-EBP,13,0,6
BADGE,12,0,14
BPAP,12,0,11
BPF,12,0,9
BPZ,12,0,12
BisGMA,12,0,13
BPE,11,0,7
BPS,11,0,6
