chemical,disease,category,genes_ICE_x_rdkg,effect_domain,aop_curated,min_AC50_uM,key_genes,n_evidence_types,tier
TCBPA,myocardial ischemia,Cardiovascular,13,1,0,0.2,CCL2|CD38|CXCL10|F3|FGF2|ICAM1|IL1A|IL6,2,B
"3,3-diMe-BPA",coronary artery disease,Cardiovascular,13,1,0,0.286,CCL2|CD38|CXCL10|ESR1|ESR2|F3|IL1A|IL6,2,B
TCBPA,non-alcoholic steatohepatitis,Metabolic/Liver,13,1,0,0.2,CCL2|COL3A1|CXCL8|CYP19A1|IL1A|MMP1|NFE2L2|NR1H4,2,B
BisGMA,liver cancer,Cancer,13,1,0,4.756,AR|EGR1|ESR1|FOS|NFE2L2|NR1H4|NR1I3|PPARA,2,B
BPB,ischemia reperfusion injury,Cardiovascular,12,1,0,8.904,CCL2|CXCL8|EGR1|FOS|HGF|HSPA1A|JUN|MMP9,2,B
BPB,coronary artery disease,Cardiovascular,12,1,0,0.103,CCL2|CCND1|CD38|CXCL10|ESR1|ESR2|HGF|HSPA1A,2,B
TBBPA,brain ischemia,Cardiovascular,12,1,0,4.0,CASP3|CCL2|CXCL10|EGR1|HIF1A|ICAM1|IL1A|JUN,2,B
TCBPA,brain ischemia,Cardiovascular,12,1,0,4.0,CCL2|CXCL10|EGR1|ICAM1|IL1A|IL6|JUN|MMP9,2,B
"3,3-diMe-BPA",obesity disorder,Metabolic,12,1,0,0.286,CCL2|CD40|ESR1|IL6|LDLR|MMP9|NR1I2|NR1I3,2,B
BPB,obesity disorder,Metabolic,12,1,0,0.114,CCL2|CD40|ESR1|FASN|FOXO3|MMP9|NQO1|NR1I2,2,B
TBBPA-DHEE,obesity disorder,Metabolic,12,1,0,0.7,CCL2|CD40|ESR1|ICAM1|IL6|MMP9|NR1I2|NR1I3,2,B
TCBPA,obesity disorder,Metabolic,12,1,0,0.2,CCL2|CD40|ESR1|ICAM1|IL6|MMP9|NR1I2|PPARA,2,B
BPZ,breast carcinoma,Hormone-dependent cancer,12,1,0,0.18,AR|CYP19A1|CYP24A1|ESR1|ESR2|ESRRA|HIF1A|JUN,2,B
"3,3-diMe-BPA",brain ischemia,Cardiovascular,11,1,0,13.754,CCL2|CXCL10|EGR1|HIF1A|IL1A|IL6|MMP9|PLAT,2,B
BADGE,liver cancer,Cancer,11,1,0,16.017,AR|EGR1|ESR1|NFE2L2|NR1H4|PPARG|RAD54L|RARA,2,B
BPAP,liver cancer,Cancer,11,1,0,0.116,AR|EGR1|ESR1|FOS|JUN|NFE2L2|NR1H4|NR1I3,2,B
BPZ,liver cancer,Cancer,11,1,0,0.357,AR|ESR1|JUN|NFE2L2|NR1H4|NR1I3|PPARG|RAD54L,2,B
BisGMA,breast carcinoma,Hormone-dependent cancer,11,1,0,4.756,AR|CYP19A1|CYP24A1|ESR1|ESRRA|FOS|HIF1A|PGR,2,B
BADGE,prostate cancer,Hormone-dependent cancer,11,1,0,16.017,AR|CYP19A1|EGR1|ESR1|ESR2|HIF1A|NFE2L2|NR3C1,2,B
"3,3-diMe-BPA",ischemia reperfusion injury,Cardiovascular,10,1,0,5.363,CCL2|CXCL8|EGR1|IL1A|IL6|MMP9|PLAT|PLAU,2,B
TBBPA,type 2 diabetes mellitus,Metabolic,10,1,0,0.002,CASP3|FAS|HNF4A|ICAM1|PAX6|PPARA|PPARG|TGFB1,2,B
BPAP,breast carcinoma,Hormone-dependent cancer,10,1,0,0.116,AR|ESR1|ESR2|ESRRA|FOS|HIF1A|JUN|PGR,2,B
BisGMA,prostate cancer,Hormone-dependent cancer,10,1,0,8.785,AR|CYP19A1|EGR1|ESR1|HIF1A|NFE2L2|PAX6|PPARA,2,B
