DTXSID,abbr,chemLabel,assayName,entrez,ac50_uM,symbol
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",ACEA_AR_antagonist_80hr,367,11.1618954114873,AR
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",ACEA_ER_80hr,2099,4.23464446283289,ESR1
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",ATG_ERE_CIS_up,2099,1.41885321402478,ESR1
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",ATG_ERa_TRANS_up,2099,0.796865215943676,ESR1
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",ATG_PPARg_TRANS_up,5468,20.8671732645148,PPARG
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",ATG_PPRE_CIS_up,5465,9.39399759799493,PPARA
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",ATG_hAR_XSP2_up,367,20.3524249899483,AR
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",ATG_hERa_XSP2_up,2099,1.49965134824463,ESR1
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",ATG_hERb_XSP2_up,2100,1.34114562496778,ESR2
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",ATG_hPPARg_XSP2_up,5468,7.11568763765517,PPARG
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",CEETOX_H295R_11DCORT_dn,2908,21.9287495715905,NR3C1
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",CEETOX_H295R_ANDR_dn,367,32.5989015303276,AR
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",CEETOX_H295R_CORTISOL_dn,2908,33.4019937786293,NR3C1
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",CEETOX_H295R_ESTRADIOL_dn,2099,16.2226237744982,ESR1
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",CEETOX_H295R_OHPROG_up,5241,1.07939762860003,PGR
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",CEETOX_H295R_PROG_up,5241,1.25113853227839,PGR
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",CEETOX_H295R_TESTO_dn,367,30.7222010919344,AR
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",NVS_ADME_hCYP19A1,1588,9.63678363019324,CYP19A1
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",NVS_NR_hER,2099,5.45438538127806,ESR1
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",OT_ER_ERaERa_0480,2099,43.8080623030245,ESR1
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",OT_ER_ERaERa_1440,2099,56.0575000133367,ESR1
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",OT_ER_ERaERb_0480,2099,21.5933848858588,ESR1
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",OT_ER_ERaERb_1440,2099,29.1535282812258,ESR1
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",OT_ER_ERbERb_0480,2100,36.8619131628634,ESR2
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",OT_ER_ERbERb_1440,2100,50.1797155115327,ESR2
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",OT_ERa_EREGFP_0120,2099,59.1631488817934,ESR1
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",OT_ERa_EREGFP_0480,2099,26.6265050855025,ESR1
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",TOX21_AR_BLA_Antagonist_ratio,367,37.5082584720371,AR
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",TOX21_ERa_BLA_Agonist_ratio,2099,8.68860106989385,ESR1
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",TOX21_ERa_BLA_Antagonist_ratio,2099,59.3978765900605,ESR1
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",TOX21_ERa_LUC_VM7_Agonist,2099,1.84704594888358,ESR1
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",TOX21_ERa_LUC_VM7_Agonist_10nM_ICI182780,2099,41.1883593394492,ESR1
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",TOX21_ERb_BLA_Agonist_ratio,2100,5.97989080108621,ESR2
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",TOX21_PXR_Agonist,8856,64.6842208429128,NR1I2
DTXSID3022409,BPS,"4,4'-Sulfonyldiphenol",TOX21_SHH_3T3_GLI3_Antagonist,6469,33.4288029926468,SHH
DTXSID3047891,BPE,Bisphenol E,ATG_ERE_CIS_up,2099,0.710172410206253,ESR1
DTXSID3047891,BPE,Bisphenol E,ATG_ERa_TRANS_up,2099,0.247102424557359,ESR1
DTXSID3047891,BPE,Bisphenol E,ATG_HSE_CIS_up,3297,163.624886572975,HSF1
DTXSID3047891,BPE,Bisphenol E,ATG_MRE_CIS_up,4520,111.153873492021,MTF1
DTXSID3047891,BPE,Bisphenol E,ATG_NRF2_ARE_CIS_up,4780,71.0217736533892,NFE2L2
DTXSID3047891,BPE,Bisphenol E,ATG_Oct_MLP_CIS_up,5451,114.103624895327,POU2F1
DTXSID3047891,BPE,Bisphenol E,ATG_PPRE_CIS_up,5465,107.717581557295,PPARA
DTXSID3047891,BPE,Bisphenol E,ATG_PXRE_CIS_up,8856,21.7672793545773,NR1I2
DTXSID3047891,BPE,Bisphenol E,ATG_PXR_TRANS_up,8856,24.6902196025317,NR1I2
DTXSID3047891,BPE,Bisphenol E,ATG_VDRE_CIS_up,7421,88.745392882177,VDR
DTXSID3047891,BPE,Bisphenol E,ATG_Xbp1_CIS_up,7494,119.88370612333,XBP1
DTXSID3047891,BPE,Bisphenol E,TOX21_ARE_BLA_agonist_ratio,4780,22.9327437880291,NFE2L2
DTXSID3047891,BPE,Bisphenol E,TOX21_AR_BLA_Antagonist_ratio,367,45.9931995253375,AR
DTXSID3047891,BPE,Bisphenol E,TOX21_AR_LUC_MDAKB2_Antagonist_0.5nM_R1881,367,6.1644477948071,AR
DTXSID3047891,BPE,Bisphenol E,TOX21_CAR_Agonist,9970,76.8774635076713,NR1I3
DTXSID3047891,BPE,Bisphenol E,TOX21_ERa_BLA_Agonist_ratio,2099,4.78309263928023,ESR1
DTXSID3047891,BPE,Bisphenol E,TOX21_ERa_BLA_Antagonist_ratio,2099,54.7675711092197,ESR1
DTXSID3047891,BPE,Bisphenol E,TOX21_ERa_LUC_VM7_Agonist,2099,0.793114714441949,ESR1
DTXSID3047891,BPE,Bisphenol E,TOX21_ERa_LUC_VM7_Agonist_10nM_ICI182780,2099,16.6185130130979,ESR1
DTXSID3047891,BPE,Bisphenol E,TOX21_ERb_BLA_Agonist_ratio,2100,3.98077222603599,ESR2
DTXSID3047891,BPE,Bisphenol E,TOX21_ERb_BLA_Antagonist_ratio,2100,21.9522680627364,ESR2
DTXSID3047891,BPE,Bisphenol E,TOX21_H2AX_HTRF_CHO_Agonist_ratio,3014,116.465093505257,H2AX
DTXSID3047891,BPE,Bisphenol E,TOX21_PPARd_BLA_antagonist_ratio,5467,39.7374735364163,PPARD
DTXSID3047891,BPE,Bisphenol E,TOX21_PPARg_BLA_antagonist_ratio,5468,35.2341987914338,PPARG
DTXSID3047891,BPE,Bisphenol E,TOX21_PR_BLA_Antagonist_ratio,5241,39.21789944937,PGR
DTXSID3047891,BPE,Bisphenol E,TOX21_PXR_Agonist,8856,56.7033580938019,NR1I2
DTXSID3047891,BPE,Bisphenol E,TOX21_SHH_3T3_GLI3_Antagonist,6469,34.0386451807098,SHH
DTXSID4022442,BPB,Bisphenol B,ACEA_AR_antagonist_80hr,367,41.1025842019455,AR
DTXSID4022442,BPB,Bisphenol B,ACEA_ER_80hr,2099,0.272178228312449,ESR1
DTXSID4022442,BPB,Bisphenol B,APR_HepG2_MitoticArrest_24h_up,3020,106.265203563509,H3-3A
DTXSID4022442,BPB,Bisphenol B,APR_HepG2_P-H2AX_24h_up,3014,103.646262598535,H2AX
DTXSID4022442,BPB,Bisphenol B,APR_HepG2_P-H2AX_72h_up,3014,45.8214978338601,H2AX
DTXSID4022442,BPB,Bisphenol B,APR_HepG2_StressKinase_72h_up,3725,44.5704528829552,JUN
DTXSID4022442,BPB,Bisphenol B,APR_HepG2_p53Act_24h_up,7157,101.40322121793,TP53
DTXSID4022442,BPB,Bisphenol B,ATG_AP_1_CIS_up,2353,15.0083833674087,FOS
DTXSID4022442,BPB,Bisphenol B,ATG_EGR_CIS_up,1958,17.4997738731903,EGR1
DTXSID4022442,BPB,Bisphenol B,ATG_ERE_CIS_up,2099,0.166881531386815,ESR1
DTXSID4022442,BPB,Bisphenol B,ATG_ERa_TRANS_up,2099,0.132845213954632,ESR1
DTXSID4022442,BPB,Bisphenol B,ATG_MRE_CIS_up,4520,15.6885528260605,MTF1
DTXSID4022442,BPB,Bisphenol B,ATG_NFI_CIS_up,4774,57.2412955968106,NFIA
DTXSID4022442,BPB,Bisphenol B,ATG_NRF2_ARE_CIS_up,4780,0.644538663801431,NFE2L2
DTXSID4022442,BPB,Bisphenol B,ATG_Oct_MLP_CIS_up,5451,15.0847495937665,POU2F1
DTXSID4022442,BPB,Bisphenol B,ATG_PPARg_TRANS_up,5468,25.0569233289098,PPARG
DTXSID4022442,BPB,Bisphenol B,ATG_PXRE_CIS_up,8856,0.894419771091423,NR1I2
DTXSID4022442,BPB,Bisphenol B,ATG_PXR_TRANS_up,8856,0.877042367616179,NR1I2
DTXSID4022442,BPB,Bisphenol B,ATG_Pax6_CIS_up,5080,25.9800623554388,PAX6
DTXSID4022442,BPB,Bisphenol B,ATG_RORE_CIS_up,6095,26.0028489271495,RORA
DTXSID4022442,BPB,Bisphenol B,ATG_RXRb_TRANS_up,6257,15.8312005396558,RXRB
DTXSID4022442,BPB,Bisphenol B,ATG_SREBP_CIS_up,6720,16.114547713873,SREBF1
DTXSID4022442,BPB,Bisphenol B,ATG_Sp1_CIS_up,6667,22.5355589418605,SP1
DTXSID4022442,BPB,Bisphenol B,ATG_VDRE_CIS_up,7421,2.42498571822271,VDR
DTXSID4022442,BPB,Bisphenol B,ATG_Xbp1_CIS_up,7494,19.3148872229191,XBP1
DTXSID4022442,BPB,Bisphenol B,BSK_3C_HLADR_down,3122,39.9999999974246,HLA-DRA
DTXSID4022442,BPB,Bisphenol B,BSK_3C_IL8_down,3576,39.9999999974246,CXCL8
DTXSID4022442,BPB,Bisphenol B,BSK_3C_MCP1_down,6347,39.9999999974246,CCL2
DTXSID4022442,BPB,Bisphenol B,BSK_3C_uPAR_down,5329,39.9999999974246,PLAUR
DTXSID4022442,BPB,Bisphenol B,BSK_4H_MCP1_down,6347,39.9999999974246,CCL2
DTXSID4022442,BPB,Bisphenol B,BSK_4H_Pselectin_down,6403,39.9999999974246,SELP
DTXSID4022442,BPB,Bisphenol B,BSK_4H_VCAM1_down,7412,39.9999999974246,VCAM1
DTXSID4022442,BPB,Bisphenol B,BSK_4H_uPAR_down,5329,39.9999999974246,PLAUR
DTXSID4022442,BPB,Bisphenol B,BSK_BE3C_HLADR_down,3122,39.9999999974246,HLA-DRA
