mondo,dlabel,k,K,expected,fold,p,FDR
MONDO_0005203,ischemia reperfusion injury,26,89,1.695704845814978,15.33285705007469,2.07910620640228e-24,4.823526398853289e-22
MONDO_0007027,non-alcoholic steatohepatitis,28,143,2.7245594713656387,10.276890739318485,5.0890352004316705e-21,5.903280832500738e-19
MONDO_0005264,transient ischemic attack (disease),21,66,1.257488986784141,16.69994745139254,9.409470908530476e-21,7.276657502596901e-19
MONDO_0005299,brain ischemia,20,63,1.200330396475771,16.662079089824754,8.690946084749556e-20,5.040748729154743e-18
MONDO_0004989,breast carcinoma,45,538,10.25044052863436,4.390055224874831,6.836384960384018e-18,3.1720826216181843e-16
MONDO_0008315,prostate cancer,46,616,11.736563876651982,3.919375422265596,2.3176072661126197e-16,7.681212653401825e-15
MONDO_0005159,prostate carcinoma,46,616,11.736563876651982,3.919375422265596,2.3176072661126197e-16,7.681212653401825e-15
MONDO_0023122,familial prostate carcinoma,47,662,12.612995594713656,3.726315421825612,7.279203664078558e-16,2.110969062582782e-14
MONDO_0002691,liver cancer,45,612,11.660352422907488,3.859231553893234,9.585884633261213e-16,2.2464548834573963e-14
MONDO_0019182,inherited obesity,27,205,3.9058370044052864,6.91273086141266,1.0651294706048e-15,2.2464548834573963e-14
MONDO_0011122,obesity disorder,27,205,3.9058370044052864,6.91273086141266,1.0651294706048e-15,2.2464548834573963e-14
MONDO_0018055,pediatric hepatocellular carcinoma,40,507,9.659801762114537,4.140871726465324,5.124460274847657e-15,9.90728986470547e-14
MONDO_0005263,unipolar depression,37,440,8.383259911894273,4.413557540725171,8.83189689882733e-15,1.5761539080984157e-13
MONDO_0018534,squamous cell carcinoma of liver and intrahepatic biliary tract,40,521,9.926541850220264,4.029600701186025,1.2870654093534798e-14,1.8662448435625457e-13
MONDO_0018532,adenocarcinoma of liver and intrahepatic biliary tract,40,521,9.926541850220264,4.029600701186025,1.2870654093534798e-14,1.8662448435625457e-13
MONDO_0018533,undifferentiated carcinoma of liver and intrahepatic biliary tract,40,521,9.926541850220264,4.029600701186025,1.2870654093534798e-14,1.8662448435625457e-13
MONDO_0005010,coronary artery disease,28,247,4.706057268722467,5.949778849079123,1.5040335005875106e-14,2.0525633655076615e-13
MONDO_0002454,thyroid adenoma (disease),14,44,0.8383259911894273,16.69994745139254,3.424379074710265e-14,4.18134708069885e-13
MONDO_0002108,thyroid cancer,14,44,0.8383259911894273,16.69994745139254,3.424379074710265e-14,4.18134708069885e-13
MONDO_0024644,myocardial ischemia,23,176,3.353303964757709,6.858906988964793,1.9899836146015518e-13,2.3083809929378e-12
MONDO_0015074,thyroid tumor,12,37,0.7049559471365638,17.02234025933448,1.9122052882078296e-12,2.112531556496269e-11
MONDO_0004375,end stage renal failure,13,48,0.9145374449339208,14.214836223506744,2.9971498122916825e-12,3.1606307111439564e-11
MONDO_0001438,postinflammatory pulmonary fibrosis,16,85,1.6194933920704846,9.879632777966679,3.7759343305818714e-12,3.650069852895809e-11
MONDO_0002771,pulmonary fibrosis,16,85,1.6194933920704846,9.879632777966679,3.7759343305818714e-12,3.650069852895809e-11
